,xpaths,text,all_nodes_ordering,highlighted_xpaths,highlighted_segmented_text,highlighted_labels,segment_number_from_idx,highlighted_coordinates,num_entries_1,exploded_highlight_node_order,top,left,width,height,top_via_line_group,size,tagged_sequence
0,/html/body/document/type,EX-2.1,0,,,,,,,,,,,,,,o
1,/html/body/document/type/sequence,2,1,,,,,,,,,,,,,,o
2,/html/body/document/type/sequence/filename,d19211dex21.htm,2,,,,,,,,,,,,,,o
3,/html/body/document/type/sequence/filename/description,EX-2.1,3,,,,,,,,,,,,,,o
4,/html/body/document/type/sequence/filename/description/text/title,EX-2.1,4,,,,,,,,,,,,,,o
5,/html/body/document/type/sequence/filename/description/text/center[1]/div/p[1]/b,Exhibit 2.1,5,,,,,,,,,,,,,,o
6,/html/body/document/type/sequence/filename/description/text/center[1]/div/p[2]/b/i,Execution Version,6,,,,,,,,,,,,,,o
7,/html/body/document/type/sequence/filename/description/text/center[1]/div/p[5],AGREEMENT AND PLAN OF MERGER,7,/html/body/document/type/sequence/filename/description/text/center[1]/div/p[5],AGREEMENT AND PLAN OF MERGER,t,0,"[0.0022205047699553194, 0.21666666666666667, 0.5666666666666667, 0.0037133196473855814]",6.0,0.0,0.0022205047699553194,0.21666666666666667,0.5666666666666667,0.0037133196473855814,0.0022205047699553194,6.0,b_t
8,/html/body/document/type/sequence/filename/description/text/center[1]/div/p[6],among,8,/html/body/document/type/sequence/filename/description/text/center[1]/div/p[6],among,t,0,"[0.0022205047699553194, 0.21666666666666667, 0.5666666666666667, 0.0037133196473855814]",6.0,1.0,0.0022205047699553194,0.21666666666666667,0.5666666666666667,0.0037133196473855814,0.0022205047699553194,6.0,i_t
9,/html/body/document/type/sequence/filename/description/text/center[1]/div/p[7],"FRONT YARD RESIDENTIAL CORPORATION,",9,/html/body/document/type/sequence/filename/description/text/center[1]/div/p[7],"FRONT YARD RESIDENTIAL CORPORATION,",t,0,"[0.0022205047699553194, 0.21666666666666667, 0.5666666666666667, 0.0037133196473855814]",6.0,2.0,0.0022205047699553194,0.21666666666666667,0.5666666666666667,0.0037133196473855814,0.0022205047699553194,6.0,i_t
10,/html/body/document/type/sequence/filename/description/text/center[1]/div/p[8],"PRETIUM MIDWAY HOLDCO, LP",10,/html/body/document/type/sequence/filename/description/text/center[1]/div/p[8],"PRETIUM MIDWAY HOLDCO, LP",t,0,"[0.0022205047699553194, 0.21666666666666667, 0.5666666666666667, 0.0037133196473855814]",6.0,3.0,0.0022205047699553194,0.21666666666666667,0.5666666666666667,0.0037133196473855814,0.0022205047699553194,6.0,i_t
11,/html/body/document/type/sequence/filename/description/text/center[1]/div/p[9],AND,11,/html/body/document/type/sequence/filename/description/text/center[1]/div/p[9],AND,t,0,"[0.0022205047699553194, 0.21666666666666667, 0.5666666666666667, 0.0037133196473855814]",6.0,4.0,0.0022205047699553194,0.21666666666666667,0.5666666666666667,0.0037133196473855814,0.0022205047699553194,6.0,i_t
12,/html/body/document/type/sequence/filename/description/text/center[1]/div/p[10],MIDWAY ACQUISITIONCO REIT,12,/html/body/document/type/sequence/filename/description/text/center[1]/div/p[10],MIDWAY ACQUISITIONCO REIT,t,0,"[0.0022205047699553194, 0.21666666666666667, 0.5666666666666667, 0.0037133196473855814]",6.0,5.0,0.0022205047699553194,0.21666666666666667,0.5666666666666667,0.0037133196473855814,0.0022205047699553194,6.0,e_t
13,/html/body/document/type/sequence/filename/description/text/center[1]/div/p[11],"Dated as of October 19, 2020",13,,,,,,,,,,,,,,o
14,/html/body/document/type/sequence/filename/description/text/center[2]/div/p[1],TABLE OF CONTENTS,14,/html/body/document/type/sequence/filename/description/text/center[2]/div/p[1],TABLE OF CONTENTS,st,1,"[0.007540474177836816, 0.4530541666666667, 0.09388541666666667, 0.0003018959062915107]",1.0,6.0,0.007540474177836816,0.4530541666666667,0.09388541666666667,0.0003018959062915107,0.007540474177836816,1.0,s_st
15,/html/body/document/type/sequence/filename/description/text/center[2]/div/table/tbody/tr[2]/td[5],Page,15,,,,,,,,,,,,,,o
16,/html/body/document/type/sequence/filename/description/text/center[2]/div/table/tbody/tr[3]/td[1]/p,ARTICLE I THE MERGER; CLOSING; EFFECTIVE TIME,16,,,,,,,,,,,,,,o
17,/html/body/document/type/sequence/filename/description/text/center[2]/div/table/tbody/tr[3]/td[4],2,17,,,,,,,,,,,,,,o
18,/html/body/document/type/sequence/filename/description/text/center[2]/div/table/tbody/tr[5]/td[1]/p,1.1,18,,,,,,,,,,,,,,o
19,/html/body/document/type/sequence/filename/description/text/center[2]/div/table/tbody/tr[5]/td[3],The Merger,19,,,,,,,,,,,,,,o
20,/html/body/document/type/sequence/filename/description/text/center[2]/div/table/tbody/tr[5]/td[6],2,20,,,,,,,,,,,,,,o
21,/html/body/document/type/sequence/filename/description/text/center[2]/div/table/tbody/tr[7]/td[1]/p,1.2,21,,,,,,,,,,,,,,o
22,/html/body/document/type/sequence/filename/description/text/center[2]/div/table/tbody/tr[7]/td[3],Closing,22,,,,,,,,,,,,,,o
23,/html/body/document/type/sequence/filename/description/text/center[2]/div/table/tbody/tr[7]/td[6],2,23,,,,,,,,,,,,,,o
24,/html/body/document/type/sequence/filename/description/text/center[2]/div/table/tbody/tr[9]/td[1]/p,1.3,24,,,,,,,,,,,,,,o
25,/html/body/document/type/sequence/filename/description/text/center[2]/div/table/tbody/tr[9]/td[3],Effective Time,25,,,,,,,,,,,,,,o
26,/html/body/document/type/sequence/filename/description/text/center[2]/div/table/tbody/tr[9]/td[6],2,26,,,,,,,,,,,,,,o
