,xpaths,text,all_nodes_ordering,highlighted_xpaths,highlighted_segmented_text,highlighted_labels,segment_number_from_idx,highlighted_coordinates,num_entries_1,exploded_highlight_node_order,top,left,width,height,top_via_line_group,size,tagged_sequence
0,/html/body/document/type,EX-2.1,0,,,,,,,,,,,,,,o
1,/html/body/document/type/sequence,2,1,,,,,,,,,,,,,,o
2,/html/body/document/type/sequence/filename,d77373dex21.htm,2,,,,,,,,,,,,,,o
3,/html/body/document/type/sequence/filename/description,EX-2.1,3,,,,,,,,,,,,,,o
4,/html/body/document/type/sequence/filename/description/text/title,EX-2.1,4,,,,,,,,,,,,,,o
5,/html/body/document/type/sequence/filename/description/text/center[1]/div/p[1]/b,Exhibit 2.1,5,,,,,,,,,,,,,,o
6,/html/body/document/type/sequence/filename/description/text/center[1]/div/p[2],EXECUTION VERSION,6,,,,,,,,,,,,,,o
7,/html/body/document/type/sequence/filename/description/text/center[1]/div/p[6],AGREEMENT AND PLAN OF MERGER,7,/html/body/document/type/sequence/filename/description/text/center[1]/div/p[6],AGREEMENT AND PLAN OF MERGER,t,0,"[0.0030074390513368196, 0.4198513888888889, 0.16029722222222223, 0.0002762024011195404]",1.0,0.0,0.0030074390513368196,0.4198513888888889,0.16029722222222223,0.0002762024011195404,0.0030074390513368196,1.0,s_t
8,/html/body/document/type/sequence/filename/description/text/center[1]/div/p[7],among,8,/html/body/document/type/sequence/filename/description/text/center[1]/div/p[7],among,t,1,"[0.0035874640936878546, 0.48740208333333335, 0.025195277777777778, 0.0002762024011195404]",1.0,1.0,0.0035874640936878546,0.48740208333333335,0.025195277777777778,0.0002762024011195404,0.0035874640936878546,1.0,s_t
9,/html/body/document/type/sequence/filename/description/text/center[1]/div/p[8],"AVANGRID, INC.",9,/html/body/document/type/sequence/filename/description/text/center[1]/div/p[8],"AVANGRID, INC.",t,2,"[0.004167489136038889, 0.46506597222222223, 0.06986736111111111, 0.0002762024011195404]",1.0,2.0,0.004167489136038889,0.46506597222222223,0.06986736111111111,0.0002762024011195404,0.004167489136038889,1.0,s_t
10,/html/body/document/type/sequence/filename/description/text/center[1]/div/p[9],"NM GREEN HOLDINGS, INC.,",10,/html/body/document/type/sequence/filename/description/text/center[1]/div/p[9],"NM GREEN HOLDINGS, INC.,",t,3,"[0.004747514178389924, 0.43854166666666666, 0.12291111111111111, 0.0002762024011195404]",1.0,3.0,0.004747514178389924,0.43854166666666666,0.12291111111111111,0.0002762024011195404,0.004747514178389924,1.0,s_t
11,/html/body/document/type/sequence/filename/description/text/center[1]/div/p[10],and,11,/html/body/document/type/sequence/filename/description/text/center[1]/div/p[10],and,t,4,"[0.0053275392207409586, 0.49331597222222223, 0.013368055555555555, 0.0002762024011195404]",1.0,4.0,0.0053275392207409586,0.49331597222222223,0.013368055555555555,0.0002762024011195404,0.0053275392207409586,1.0,s_t
12,/html/body/document/type/sequence/filename/description/text/center[1]/div/p[11],"PNM RESOURCES, INC.",12,/html/body/document/type/sequence/filename/description/text/center[1]/div/p[11],"PNM RESOURCES, INC.",t,5,"[0.005907564263091993, 0.45061874999999996, 0.09876319444444444, 0.0002762024011195404]",1.0,5.0,0.005907564263091993,0.45061874999999996,0.09876319444444444,0.0002762024011195404,0.005907564263091993,1.0,s_t
13,/html/body/document/type/sequence/filename/description/text/center[1]/div/p[12],"Dated as of October 20, 2020",13,/html/body/document/type/sequence/filename/description/text/center[1]/div/p[12],"Dated as of October 20, 2020",t,6,"[0.006487589305443028, 0.44550208333333335, 0.10899513888888888, 0.0002762024011195404]",1.0,6.0,0.006487589305443028,0.44550208333333335,0.10899513888888888,0.0002762024011195404,0.006487589305443028,1.0,s_t
14,/html/body/document/type/sequence/filename/description/text/center[2]/div/p[1]/b,TABLE OF CONTENTS,14,/html/body/document/type/sequence/filename/description/text/center[2]/div/p[1]/b,TABLE OF CONTENTS,t,7,"[0.008807542166899903, 0.45061874999999996, 0.09876319444444444, 0.0002762024011195404]",1.0,7.0,0.008807542166899903,0.45061874999999996,0.09876319444444444,0.0002762024011195404,0.008807542166899903,1.0,s_t
15,/html/body/document/type/sequence/filename/description/text/center[2]/div/table/tbody/tr[2]/td[5]/b,Page,15,,,,,,,,,,,,,,o
16,/html/body/document/type/sequence/filename/description/text/center[2]/div/table/tbody/tr[4]/td[1],Article I THE MERGER,16,,,,,,,,,,,,,,o
17,/html/body/document/type/sequence/filename/description/text/center[2]/div/table/tbody/tr[4]/td[4],2,17,,,,,,,,,,,,,,o
18,/html/body/document/type/sequence/filename/description/text/center[2]/div/table/tbody/tr[6]/td[1]/p,SECTION 1.1,18,,,,,,,,,,,,,,o
19,/html/body/document/type/sequence/filename/description/text/center[2]/div/table/tbody/tr[6]/td[3]/p/b,Definitions,19,,,,,,,,,,,,,,o
20,/html/body/document/type/sequence/filename/description/text/center[2]/div/table/tbody/tr[6]/td[6],2,20,,,,,,,,,,,,,,o
21,/html/body/document/type/sequence/filename/description/text/center[2]/div/table/tbody/tr[8]/td[1]/p,SECTION 1.2,21,,,,,,,,,,,,,,o
22,/html/body/document/type/sequence/filename/description/text/center[2]/div/table/tbody/tr[8]/td[3]/p/b,The Merger,22,,,,,,,,,,,,,,o
23,/html/body/document/type/sequence/filename/description/text/center[2]/div/table/tbody/tr[8]/td[6],6,23,,,,,,,,,,,,,,o
24,/html/body/document/type/sequence/filename/description/text/center[2]/div/table/tbody/tr[10]/td[1]/p,SECTION 1.3,24,,,,,,,,,,,,,,o
25,/html/body/document/type/sequence/filename/description/text/center[2]/div/table/tbody/tr[10]/td[3]/p/b,Closing,25,,,,,,,,,,,,,,o
