,xpaths,text,all_nodes_ordering,highlighted_xpaths,highlighted_segmented_text,highlighted_labels,segment_number_from_idx,highlighted_coordinates,num_entries_1,exploded_highlight_node_order,top,left,width,height,top_via_line_group,size,tagged_sequence
0,/html/body/document/type,EX-2.1,0,,,,,,,,,,,,,,o
1,/html/body/document/type/sequence,2,1,,,,,,,,,,,,,,o
2,/html/body/document/type/sequence/filename,d46279dex21.htm,2,,,,,,,,,,,,,,o
3,/html/body/document/type/sequence/filename/description,EX-2.1,3,,,,,,,,,,,,,,o
4,/html/body/document/type/sequence/filename/description/text/title,EX-2.1,4,,,,,,,,,,,,,,o
5,/html/body/document/type/sequence/filename/description/text/center[1]/div/p[1]/b,Exhibit 2.1,5,,,,,,,,,,,,,,o
6,/html/body/document/type/sequence/filename/description/text/center[1]/div/p[5],AGREEMENT AND PLAN OF MERGER,6,/html/body/document/type/sequence/filename/description/text/center[1]/div/p[5],AGREEMENT AND PLAN OF MERGER,t,0,"[0.001702127961989076, 0.4198513888888889, 0.16029722222222223, 0.000304574712176897]",1,0,0.001702128,0.419851389,0.160297222,0.000304575,0.001702128,1,s_t
7,/html/body/document/type/sequence/filename/description/text/center[1]/div/p[6],by and among,7,/html/body/document/type/sequence/filename/description/text/center[1]/div/p[6],by and among,t,1,"[0.0023417328270624784, 0.47377361111111116, 0.05244680555555555, 0.000304574712176897]",1,1,0.002341733,0.473773611,0.052446806,0.000304575,0.002341733,1,s_t
8,/html/body/document/type/sequence/filename/description/text/center[1]/div/p[7],"GI DI Orion Acquisition Inc,",8,/html/body/document/type/sequence/filename/description/text/center[1]/div/p[7],"GI DI Orion Acquisition Inc,",t,2,"[0.002981339722633962, 0.4463923611111111, 0.10721041666666667, 0.000304574712176897]",1,2,0.00298134,0.446392361,0.107210417,0.000304575,0.00298134,1,s_t
9,/html/body/document/type/sequence/filename/description/text/center[1]/div/p[8],GI DI Orion Merger Sub Inc,9,/html/body/document/type/sequence/filename/description/text/center[1]/div/p[8],GI DI Orion Merger Sub Inc,t,3,"[0.003620946618205446, 0.44699444444444447, 0.10600555555555555, 0.000304574712176897]",1,3,0.003620947,0.446994444,0.106005556,0.000304575,0.003620947,1,s_t
10,/html/body/document/type/sequence/filename/description/text/center[1]/div/p[9],and,10,/html/body/document/type/sequence/filename/description/text/center[1]/div/p[9],and,t,4,"[0.004260553513776929, 0.49331597222222223, 0.013368055555555555, 0.000304574712176897]",1,4,0.004260554,0.493315972,0.013368056,0.000304575,0.004260554,1,s_t
11,/html/body/document/type/sequence/filename/description/text/center[1]/div/p[10],ORBCOMM Inc.,11,/html/body/document/type/sequence/filename/description/text/center[1]/div/p[10],ORBCOMM Inc.,t,5,"[0.004900160409348413, 0.4675944444444445, 0.0648057638888889, 0.000304574712176897]",1,5,0.00490016,0.467594444,0.064805764,0.000304575,0.00490016,1,s_t
12,/html/body/document/type/sequence/filename/description/text/center[1]/div/p[11],"Dated as of April 7, 2021",12,/html/body/document/type/sequence/filename/description/text/center[1]/div/p[11],"Dated as of April 7, 2021",t,6,"[0.005539767304919897, 0.45320625, 0.09358749999999999, 0.000304574712176897]",1,6,0.005539767,0.45320625,0.0935875,0.000304575,0.005539767,1,s_t
13,/html/body/document/type/sequence/filename/description/text/center[2]/div/p[1]/b,Table of Contents,13,/html/body/document/type/sequence/filename/description/text/center[2]/div/p[1]/b,Table of Contents,t,7,"[0.0069271660338280985, 0.4651909722222222, 0.06961250000000001, 0.000304574712176897]",1,7,0.006927166,0.465190972,0.0696125,0.000304575,0.006927166,1,s_t
14,/html/body/document/type/sequence/filename/description/text/center[2]/div/table/tbody/tr[2]/td[5]/b,Page,14,,,,,,,,,,,,,,o
15,/html/body/document/type/sequence/filename/description/text/center[2]/div/table/tbody/tr[3]/td[1]/p,ARTICLE I THE MERGER,15,,,,,,,,,,,,,,o
16,/html/body/document/type/sequence/filename/description/text/center[2]/div/table/tbody/tr[3]/td[4],1,16,,,,,,,,,,,,,,o
17,/html/body/document/type/sequence/filename/description/text/center[2]/div/table/tbody/tr[5]/td[1]/p,Section 1.1.,17,,,,,,,,,,,,,,o
18,/html/body/document/type/sequence/filename/description/text/center[2]/div/table/tbody/tr[5]/td[3],The Merger,18,,,,,,,,,,,,,,o
19,/html/body/document/type/sequence/filename/description/text/center[2]/div/table/tbody/tr[5]/td[6],1,19,,,,,,,,,,,,,,o
20,/html/body/document/type/sequence/filename/description/text/center[2]/div/table/tbody/tr[6]/td[1]/p,Section 1.2.,20,,,,,,,,,,,,,,o
21,/html/body/document/type/sequence/filename/description/text/center[2]/div/table/tbody/tr[6]/td[3],Closing,21,,,,,,,,,,,,,,o
22,/html/body/document/type/sequence/filename/description/text/center[2]/div/table/tbody/tr[6]/td[6],2,22,,,,,,,,,,,,,,o
23,/html/body/document/type/sequence/filename/description/text/center[2]/div/table/tbody/tr[7]/td[1]/p,Section 1.3.,23,,,,,,,,,,,,,,o
24,/html/body/document/type/sequence/filename/description/text/center[2]/div/table/tbody/tr[7]/td[3],Effective Time,24,,,,,,,,,,,,,,o
25,/html/body/document/type/sequence/filename/description/text/center[2]/div/table/tbody/tr[7]/td[6],2,25,,,,,,,,,,,,,,o
26,/html/body/document/type/sequence/filename/description/text/center[2]/div/table/tbody/tr[9]/td[1]/p,ARTICLE II EFFECTS OF THE MERGER,26,,,,,,,,,,,,,,o
27,/html/body/document/type/sequence/filename/description/text/center[2]/div/table/tbody/tr[9]/td[4],2,27,,,,,,,,,,,,,,o
28,/html/body/document/type/sequence/filename/description/text/center[2]/div/table/tbody/tr[11]/td[1]/p,Section 2.1.,28,,,,,,,,,,,,,,o
