,xpaths,text,all_nodes_ordering,highlighted_xpaths,highlighted_segmented_text,highlighted_labels,segment_number_from_idx,highlighted_coordinates,num_entries_1,exploded_highlight_node_order,top,left,width,height,top_via_line_group,size,tagged_sequence
0,/html/body/document/type,EX-2.1,0,,,,,,,,,,,,,,o
1,/html/body/document/type/sequence,2,1,,,,,,,,,,,,,,o
2,/html/body/document/type/sequence/filename,d256142dex21.htm,2,,,,,,,,,,,,,,o
3,/html/body/document/type/sequence/filename/description,EX-2.1,3,,,,,,,,,,,,,,o
4,/html/body/document/type/sequence/filename/description/text/title,EX-2.1,4,,,,,,,,,,,,,,o
5,/html/body/document/type/sequence/filename/description/text/center[1]/div/p[1]/b,Exhibit 2.1,5,,,,,,,,,,,,,,o
6,/html/body/document/type/sequence/filename/description/text/center[1]/div/p[2]/b,AGREEMENT AND PLAN OF MERGER,6,/html/body/document/type/sequence/filename/description/text/center[1]/div/p[2]/b,AGREEMENT AND PLAN OF MERGER,t,0,"[0.001272549053326684, 0.4156520833333333, 0.16869583333333332, 0.0002579491324310846]",1.0,0.0,0.001272549053326684,0.4156520833333333,0.16869583333333332,0.0002579491324310846,0.001272549053326684,1.0,s_t
7,/html/body/document/type/sequence/filename/description/text/center[1]/div/p[3]/b,by and among,7,/html/body/document/type/sequence/filename/description/text/center[1]/div/p[3]/b,by and among,t,1,"[0.0018142422314319617, 0.47196180555555556, 0.05607638888888889, 0.0002579491324310846]",1.0,1.0,0.0018142422314319617,0.47196180555555556,0.05607638888888889,0.0002579491324310846,0.0018142422314319617,1.0,s_t
8,/html/body/document/type/sequence/filename/description/text/center[1]/div/p[4]/b,OPEN TEXT CORPORATION,8,/html/body/document/type/sequence/filename/description/text/center[1]/div/p[4]/b,OPEN TEXT CORPORATION,t,2,"[0.002355935409537239, 0.4375055555555556, 0.1249888888888889, 0.0002579491324310846]",1.0,2.0,0.002355935409537239,0.4375055555555556,0.1249888888888889,0.0002579491324310846,0.002355935409537239,1.0,s_t
9,/html/body/document/type/sequence/filename/description/text/center[1]/div/p[5]/b,and,9,/html/body/document/type/sequence/filename/description/text/center[1]/div/p[5]/b,and,t,3,"[0.002897628587642517, 0.4925347222222222, 0.014925138888888889, 0.0002579491324310846]",1.0,3.0,0.002897628587642517,0.4925347222222222,0.014925138888888889,0.0002579491324310846,0.002897628587642517,1.0,s_t
10,/html/body/document/type/sequence/filename/description/text/center[1]/div/p[6]/b,ZIX CORPORATION,10,/html/body/document/type/sequence/filename/description/text/center[1]/div/p[6]/b,ZIX CORPORATION,t,4,"[0.0034393217657477946, 0.4557236111111111, 0.08854722222222222, 0.0002579491324310846]",1.0,4.0,0.0034393217657477946,0.4557236111111111,0.08854722222222222,0.0002579491324310846,0.0034393217657477946,1.0,s_t
11,/html/body/document/type/sequence/filename/description/text/center[1]/div/p[7]/b,"Dated November 7, 2021",11,/html/body/document/type/sequence/filename/description/text/center[1]/div/p[7]/b,"Dated November 7, 2021",t,5,"[0.003981014943853072, 0.4514916666666667, 0.09701597222222222, 0.0002579491324310846]",1.0,5.0,0.003981014943853072,0.4514916666666667,0.09701597222222222,0.0002579491324310846,0.003981014943853072,1.0,s_t
12,/html/body/document/type/sequence/filename/description/text/center[2]/div/p[1]/b,TABLE OF CONTENTS,12,/html/body/document/type/sequence/filename/description/text/center[2]/div/p[1]/b,TABLE OF CONTENTS,t,6,"[0.004711870819074478, 0.45061874999999996, 0.09876319444444444, 0.0002579491324310846]",1.0,6.0,0.004711870819074478,0.45061874999999996,0.09876319444444444,0.0002579491324310846,0.004711870819074478,1.0,s_t
13,/html/body/document/type/sequence/filename/description/text/center[2]/div/table/tbody/tr[2]/td[5]/b,Page,13,,,,,,,,,,,,,,o
14,/html/body/document/type/sequence/filename/description/text/center[2]/div/table/tbody/tr[3]/td[1]/p,ARTICLE I DEFINITIONS & INTERPRETATIONS,14,,,,,,,,,,,,,,o
15,/html/body/document/type/sequence/filename/description/text/center[2]/div/table/tbody/tr[3]/td[4],2,15,,,,,,,,,,,,,,o
16,/html/body/document/type/sequence/filename/description/text/center[2]/div/table/tbody/tr[5]/td[1]/p,1.1,16,,,,,,,,,,,,,,o
17,/html/body/document/type/sequence/filename/description/text/center[2]/div/table/tbody/tr[5]/td[3],Certain Definitions,17,,,,,,,,,,,,,,o
18,/html/body/document/type/sequence/filename/description/text/center[2]/div/table/tbody/tr[5]/td[6],2,18,,,,,,,,,,,,,,o
19,/html/body/document/type/sequence/filename/description/text/center[2]/div/table/tbody/tr[6]/td[1]/p,1.2,19,,,,,,,,,,,,,,o
20,/html/body/document/type/sequence/filename/description/text/center[2]/div/table/tbody/tr[6]/td[3],Additional Definitions,20,,,,,,,,,,,,,,o
21,/html/body/document/type/sequence/filename/description/text/center[2]/div/table/tbody/tr[6]/td[6],17,21,,,,,,,,,,,,,,o
22,/html/body/document/type/sequence/filename/description/text/center[2]/div/table/tbody/tr[7]/td[1]/p,1.3,22,,,,,,,,,,,,,,o
23,/html/body/document/type/sequence/filename/description/text/center[2]/div/table/tbody/tr[7]/td[3],Certain Interpretations,23,,,,,,,,,,,,,,o
24,/html/body/document/type/sequence/filename/description/text/center[2]/div/table/tbody/tr[7]/td[6],19,24,,,,,,,,,,,,,,o
25,/html/body/document/type/sequence/filename/description/text/center[2]/div/table/tbody/tr[8]/td[1]/p,1.4,25,,,,,,,,,,,,,,o
26,/html/body/document/type/sequence/filename/description/text/center[2]/div/table/tbody/tr[8]/td[3],Company Disclosure Letter,26,,,,,,,,,,,,,,o
27,/html/body/document/type/sequence/filename/description/text/center[2]/div/table/tbody/tr[8]/td[6],22,27,,,,,,,,,,,,,,o
