,xpaths,text,all_nodes_ordering,highlighted_xpaths,highlighted_segmented_text,highlighted_labels,segment_number_from_idx,highlighted_coordinates,num_entries_1,exploded_highlight_node_order,top,left,width,height,top_via_line_group,size,tagged_sequence
0,/html/body/document/type,EX-2.1,0,,,,,,,,,,,,,,o
1,/html/body/document/type/sequence,2,1,,,,,,,,,,,,,,o
2,/html/body/document/type/sequence/filename,foe-20210511xex2_1.htm,2,,,,,,,,,,,,,,o
3,/html/body/document/type/sequence/filename/description,EX-2.1,3,,,,,,,,,,,,,,o
4,/html/body/document/type/sequence/filename/description/text/title,Exhibit 21,4,,,,,,,,,,,,,,o
5,/html/body/document/type/sequence/filename/description/text/div[1]/div/p[1]/font[3],Exhibit 2.1,5,,,,,,,,,,,,,,o
6,/html/body/document/type/sequence/filename/description/text/div[1]/p[2]/font,AGREEMENT AND PLAN OF MERGER,6,/html/body/document/type/sequence/filename/description/text/div[1]/p[2]/font,AGREEMENT AND PLAN OF MERGER,t,0,"[0.0019546779750861383, 0.07222222222222222, 0.8555555555555555, 0.00448085078187119]",6,0,0.001954678,0.072222222,0.855555556,0.004480851,0.001954678,6,b_t
7,/html/body/document/type/sequence/filename/description/text/div[1]/p[3]/font,Among,7,/html/body/document/type/sequence/filename/description/text/div[1]/p[3]/font,Among,t,0,"[0.0019546779750861383, 0.07222222222222222, 0.8555555555555555, 0.00448085078187119]",6,1,0.001954678,0.072222222,0.855555556,0.004480851,0.001954678,6,i_t
8,/html/body/document/type/sequence/filename/description/text/div[1]/p[4]/font,"FERRO CORPORATION,",8,/html/body/document/type/sequence/filename/description/text/div[1]/p[4]/font,"FERRO CORPORATION,",t,0,"[0.0019546779750861383, 0.07222222222222222, 0.8555555555555555, 0.00448085078187119]",6,2,0.001954678,0.072222222,0.855555556,0.004480851,0.001954678,6,i_t
9,/html/body/document/type/sequence/filename/description/text/div[1]/p[5]/font,PMHC II Inc.,9,/html/body/document/type/sequence/filename/description/text/div[1]/p[5]/font,PMHC II Inc.,t,0,"[0.0019546779750861383, 0.07222222222222222, 0.8555555555555555, 0.00448085078187119]",6,3,0.001954678,0.072222222,0.855555556,0.004480851,0.001954678,6,i_t
10,/html/body/document/type/sequence/filename/description/text/div[1]/p[6]/font,and,10,/html/body/document/type/sequence/filename/description/text/div[1]/p[6]/font,and,t,0,"[0.0019546779750861383, 0.07222222222222222, 0.8555555555555555, 0.00448085078187119]",6,4,0.001954678,0.072222222,0.855555556,0.004480851,0.001954678,6,i_t
11,/html/body/document/type/sequence/filename/description/text/div[1]/p[7]/font,"PMHC Fortune Merger Sub, Inc.",11,/html/body/document/type/sequence/filename/description/text/div[1]/p[7]/font,"PMHC Fortune Merger Sub, Inc.",t,0,"[0.0019546779750861383, 0.07222222222222222, 0.8555555555555555, 0.00448085078187119]",6,5,0.001954678,0.072222222,0.855555556,0.004480851,0.001954678,6,e_t
12,/html/body/document/type/sequence/filename/description/text/div[1]/p[8]/font[1],Dated as of May 11,12,,,,,,,,,,,,,,o
13,/html/body/document/type/sequence/filename/description/text/div[1]/p[8]/font[2],", 2021",13,,,,,,,,,,,,,,o
14,/html/body/document/type/sequence/filename/description/text/div[2]/p[4]/font,TABLE OF CONTENTS,14,/html/body/document/type/sequence/filename/description/text/div[2]/p[4]/font,TABLE OF CONTENTS,st,1,"[0.009947323085078187, 0.4407277777777778, 0.11854375, 0.00029817121653856346]",1,6,0.009947323,0.440727778,0.11854375,0.000298171,0.009947323,1,s_st
15,/html/body/document/type/sequence/filename/description/text/div[2]/p[5]/font,Page,15,,,,,,,,,,,,,,o
16,/html/body/document/type/sequence/filename/description/text/div[2]/p[6]/font[1]/font[4]/a,RECITALS,16,,,,,,,,,,,,,,o
17,/html/body/document/type/sequence/filename/description/text/div[2]/p[6]/font[1],.....................................................................................................................................,17,,,,,,,,,,,,,,o
18,/html/body/document/type/sequence/filename/description/text/div[2]/p[6]/font[2]/font[5]/a,1,18,,,,,,,,,,,,,,o
19,/html/body/document/type/sequence/filename/description/text/div[2]/p[7]/font[1]/font[1]/a,Article I,19,,,,,,,,,,,,,,o
20,/html/body/document/type/sequence/filename/description/text/div[2]/p[7]/font[1]/font[2]/a,THE MERGER,20,,,,,,,,,,,,,,o
21,/html/body/document/type/sequence/filename/description/text/div[2]/p[7]/font[1],.....................................................................................................................,21,,,,,,,,,,,,,,o
22,/html/body/document/type/sequence/filename/description/text/div[2]/p[7]/font[2]/font[5]/a,1,22,,,,,,,,,,,,,,o
23,/html/body/document/type/sequence/filename/description/text/div[2]/p[8]/font[1]/font/a,Section 1.1,23,,,,,,,,,,,,,,o
24,/html/body/document/type/sequence/filename/description/text/div[2]/p[8]/font[2]/font[2]/a,The Merger,24,,,,,,,,,,,,,,o
25,/html/body/document/type/sequence/filename/description/text/div[2]/p[8]/font[2],.......................................................................................................,25,,,,,,,,,,,,,,o
26,/html/body/document/type/sequence/filename/description/text/div[2]/p[8]/font[3]/font[5]/a,1,26,,,,,,,,,,,,,,o
27,/html/body/document/type/sequence/filename/description/text/div[2]/p[9]/font[1]/font/a,Section 1.2,27,,,,,,,,,,,,,,o
28,/html/body/document/type/sequence/filename/description/text/div[2]/p[9]/font[2]/font[2]/a,Closing,28,,,,,,,,,,,,,,o
29,/html/body/document/type/sequence/filename/description/text/div[2]/p[9]/font[2],...............................................................................................................,29,,,,,,,,,,,,,,o
30,/html/body/document/type/sequence/filename/description/text/div[2]/p[9]/font[3]/font[5]/a,2,30,,,,,,,,,,,,,,o
31,/html/body/document/type/sequence/filename/description/text/div[2]/p[10]/font[1]/font/a,Section 1.3,31,,,,,,,,,,,,,,o
