,xpaths,text,all_nodes_ordering,highlighted_xpaths,highlighted_segmented_text,highlighted_labels,segment_number_from_idx,highlighted_coordinates,num_entries_1,exploded_highlight_node_order,top,left,width,height,top_via_line_group,size,tagged_sequence
0,/html/body/document/type,EX-2.1,0,,,,,,,,,,,,,,o
1,/html/body/document/type/sequence,2,1,,,,,,,,,,,,,,o
2,/html/body/document/type/sequence/filename,d174639dex21.htm,2,,,,,,,,,,,,,,o
3,/html/body/document/type/sequence/filename/description,EX-2.1,3,,,,,,,,,,,,,,o
4,/html/body/document/type/sequence/filename/description/text/title,EX-2.1,4,,,,,,,,,,,,,,o
5,/html/body/document/type/sequence/filename/description/text/center[1]/div/p[1]/b,Exhibit 2.1,5,,,,,,,,,,,,,,o
6,/html/body/document/type/sequence/filename/description/text/center[1]/div/p[4],AGREEMENT AND PLAN OF MERGER,6,/html/body/document/type/sequence/filename/description/text/center[1]/div/p[4],AGREEMENT AND PLAN OF MERGER,t,0,"[0.0014506993264382202, 0.4198513888888889, 0.16029722222222223, 0.00027604990982369615]",1.0,0.0,0.0014506993264382202,0.4198513888888889,0.16029722222222223,0.00027604990982369615,0.0014506993264382202,1.0,s_t
7,/html/body/document/type/sequence/filename/description/text/center[1]/div/p[5],by and between,7,/html/body/document/type/sequence/filename/description/text/center[1]/div/p[5],by and between,t,1,"[0.00203040229673525, 0.4709527777777778, 0.05809458333333333, 0.00027604990982369615]",1.0,1.0,0.00203040229673525,0.4709527777777778,0.05809458333333333,0.00027604990982369615,0.00203040229673525,1.0,s_t
8,/html/body/document/type/sequence/filename/description/text/center[1]/div/p[6],KIMCO REALTY CORPORATION,8,/html/body/document/type/sequence/filename/description/text/center[1]/div/p[6],KIMCO REALTY CORPORATION,t,2,"[0.002610107107365012, 0.43219375000000004, 0.13561180555555555, 0.00027604990982369615]",1.0,2.0,0.002610107107365012,0.43219375000000004,0.13561180555555555,0.00027604990982369615,0.002610107107365012,1.0,s_t
9,/html/body/document/type/sequence/filename/description/text/center[1]/div/p[7],and,9,/html/body/document/type/sequence/filename/description/text/center[1]/div/p[7],and,t,3,"[0.0031898119179947734, 0.49331597222222223, 0.013368055555555555, 0.00027604990982369615]",1.0,3.0,0.0031898119179947734,0.49331597222222223,0.013368055555555555,0.00027604990982369615,0.0031898119179947734,1.0,s_t
10,/html/body/document/type/sequence/filename/description/text/center[1]/div/p[8],WEINGARTEN REALTY INVESTORS,10,/html/body/document/type/sequence/filename/description/text/center[1]/div/p[8],WEINGARTEN REALTY INVESTORS,t,4,"[0.0037695167286245354, 0.4240777777777778, 0.15183888888888888, 0.00027604990982369615]",1.0,4.0,0.0037695167286245354,0.4240777777777778,0.15183888888888888,0.00027604990982369615,0.0037695167286245354,1.0,s_t
11,/html/body/document/type/sequence/filename/description/text/center[1]/div/p[9],"Dated as of April 15, 2021",11,/html/body/document/type/sequence/filename/description/text/center[1]/div/p[9],"Dated as of April 15, 2021",t,5,"[0.004349221539254297, 0.4508895833333333, 0.09821527777777778, 0.00027604990982369615]",1.0,5.0,0.004349221539254297,0.4508895833333333,0.09821527777777778,0.00027604990982369615,0.004349221539254297,1.0,s_t
12,/html/body/document/type/sequence/filename/description/text/center[2]/div/p[1]/b,TABLE OF CONTENTS,12,/html/body/document/type/sequence/filename/description/text/center[2]/div/p[1]/b,TABLE OF CONTENTS,t,6,"[0.005514667451875299, 0.45061874999999996, 0.09876319444444444, 0.00027604990982369615]",1.0,6.0,0.005514667451875299,0.45061874999999996,0.09876319444444444,0.00027604990982369615,0.005514667451875299,1.0,s_t
13,/html/body/document/type/sequence/filename/description/text/center[2]/div/table/tbody/tr[2]/td[5]/b,Page,13,,,,,,,,,,,,,,o
14,/html/body/document/type/sequence/filename/description/text/center[2]/div/table/tbody/tr[3]/td[1]/p,ARTICLE I MERGER,14,,,,,,,,,,,,,,o
15,/html/body/document/type/sequence/filename/description/text/center[2]/div/table/tbody/tr[3]/td[4],1,15,,,,,,,,,,,,,,o
16,/html/body/document/type/sequence/filename/description/text/center[2]/div/table/tbody/tr[5]/td[1]/p,Section 1.1,16,,,,,,,,,,,,,,o
17,/html/body/document/type/sequence/filename/description/text/center[2]/div/table/tbody/tr[5]/td[3],Merger,17,,,,,,,,,,,,,,o
18,/html/body/document/type/sequence/filename/description/text/center[2]/div/table/tbody/tr[5]/td[6],1,18,,,,,,,,,,,,,,o
19,/html/body/document/type/sequence/filename/description/text/center[2]/div/table/tbody/tr[6]/td[1]/p,Section 1.2,19,,,,,,,,,,,,,,o
20,/html/body/document/type/sequence/filename/description/text/center[2]/div/table/tbody/tr[6]/td[3],Closing,20,,,,,,,,,,,,,,o
21,/html/body/document/type/sequence/filename/description/text/center[2]/div/table/tbody/tr[6]/td[6],2,21,,,,,,,,,,,,,,o
22,/html/body/document/type/sequence/filename/description/text/center[2]/div/table/tbody/tr[7]/td[1]/p,Section 1.3,22,,,,,,,,,,,,,,o
23,/html/body/document/type/sequence/filename/description/text/center[2]/div/table/tbody/tr[7]/td[3],Charter and Bylaws of the Surviving Corporation,23,,,,,,,,,,,,,,o
24,/html/body/document/type/sequence/filename/description/text/center[2]/div/table/tbody/tr[7]/td[6],2,24,,,,,,,,,,,,,,o
25,/html/body/document/type/sequence/filename/description/text/center[2]/div/table/tbody/tr[8]/td[1]/p,Section 1.4,25,,,,,,,,,,,,,,o
26,/html/body/document/type/sequence/filename/description/text/center[2]/div/table/tbody/tr[8]/td[3],Directors of the Surviving Corporation,26,,,,,,,,,,,,,,o
27,/html/body/document/type/sequence/filename/description/text/center[2]/div/table/tbody/tr[8]/td[6],2,27,,,,,,,,,,,,,,o
