,xpaths,text,all_nodes_ordering,highlighted_xpaths,highlighted_segmented_text,highlighted_labels,segment_number_from_idx,highlighted_coordinates,num_entries_1,exploded_highlight_node_order,top,left,width,height,top_via_line_group,size,tagged_sequence
0,/html/body/document/type,EX-2.1,0,,,,,,,,,,,,,,o
1,/html/body/document/type/sequence,2,1,,,,,,,,,,,,,,o
2,/html/body/document/type/sequence/filename,d176004dex21.htm,2,,,,,,,,,,,,,,o
3,/html/body/document/type/sequence/filename/description,EX-2.1,3,,,,,,,,,,,,,,o
4,/html/body/document/type/sequence/filename/description/text/title,EX-2.1,4,,,,,,,,,,,,,,o
5,/html/body/document/type/sequence/filename/description/text/center[1]/div/p[1]/b,Exhibit 2.1,5,,,,,,,,,,,,,,o
6,/html/body/document/type/sequence/filename/description/text/center[1]/div/p[2]/b/u,EXECUTION VERSION,6,,,,,,,,,,,,,,o
7,/html/body/document/type/sequence/filename/description/text/center[1]/div/p[4],AGREEMENT AND PLAN OF MERGER,7,/html/body/document/type/sequence/filename/description/text/center[1]/div/p[4],AGREEMENT AND PLAN OF MERGER,t,0,"[0.006051645606817514, 0.21666666666666667, 0.5666666666666667, 0.0031681604466647076]",6.0,0.0,0.006051645606817514,0.21666666666666667,0.5666666666666667,0.0031681604466647076,0.006051645606817514,6.0,b_t
8,/html/body/document/type/sequence/filename/description/text/center[1]/div/p[5],by and among,8,/html/body/document/type/sequence/filename/description/text/center[1]/div/p[5],by and among,t,0,"[0.006051645606817514, 0.21666666666666667, 0.5666666666666667, 0.0031681604466647076]",6.0,1.0,0.006051645606817514,0.21666666666666667,0.5666666666666667,0.0031681604466647076,0.006051645606817514,6.0,i_t
9,/html/body/document/type/sequence/filename/description/text/center[1]/div/p[6],"NEW YORK COMMUNITY BANCORP, INC.,",9,/html/body/document/type/sequence/filename/description/text/center[1]/div/p[6],"NEW YORK COMMUNITY BANCORP, INC.,",t,0,"[0.006051645606817514, 0.21666666666666667, 0.5666666666666667, 0.0031681604466647076]",6.0,2.0,0.006051645606817514,0.21666666666666667,0.5666666666666667,0.0031681604466647076,0.006051645606817514,6.0,i_t
10,/html/body/document/type/sequence/filename/description/text/center[1]/div/p[7],615 CORP.,10,/html/body/document/type/sequence/filename/description/text/center[1]/div/p[7],615 CORP.,t,0,"[0.006051645606817514, 0.21666666666666667, 0.5666666666666667, 0.0031681604466647076]",6.0,3.0,0.006051645606817514,0.21666666666666667,0.5666666666666667,0.0031681604466647076,0.006051645606817514,6.0,i_t
11,/html/body/document/type/sequence/filename/description/text/center[1]/div/p[8],and,11,/html/body/document/type/sequence/filename/description/text/center[1]/div/p[8],and,t,0,"[0.006051645606817514, 0.21666666666666667, 0.5666666666666667, 0.0031681604466647076]",6.0,4.0,0.006051645606817514,0.21666666666666667,0.5666666666666667,0.0031681604466647076,0.006051645606817514,6.0,i_t
12,/html/body/document/type/sequence/filename/description/text/center[1]/div/p[9],"FLAGSTAR BANCORP, INC.",12,/html/body/document/type/sequence/filename/description/text/center[1]/div/p[9],"FLAGSTAR BANCORP, INC.",t,0,"[0.006051645606817514, 0.21666666666666667, 0.5666666666666667, 0.0031681604466647076]",6.0,5.0,0.006051645606817514,0.21666666666666667,0.5666666666666667,0.0031681604466647076,0.006051645606817514,6.0,e_t
13,/html/body/document/type/sequence/filename/description/text/center[1]/div/p[11],"Dated as of April 24, 2021",13,,,,,,,,,,,,,,o
14,/html/body/document/type/sequence/filename/description/text/center[2]/div/p[1],TABLE OF CONTENTS,14,/html/body/document/type/sequence/filename/description/text/center[2]/div/p[1],TABLE OF CONTENTS,st,2,"[0.0108084778136938, 0.4530541666666667, 0.09388541666666667, 0.00027549221275345283]",1.0,6.0,0.0108084778136938,0.4530541666666667,0.09388541666666667,0.00027549221275345283,0.0108084778136938,1.0,s_st
15,/html/body/document/type/sequence/filename/description/text/center[2]/div/table/tbody/tr[2]/td[1],ARTICLE I,15,,,,,,,,,,,,,,o
16,/html/body/document/type/sequence/filename/description/text/center[2]/div/table/tbody/tr[4]/td[1],THE MERGER,16,,,,,,,,,,,,,,o
17,/html/body/document/type/sequence/filename/description/text/center[2]/div/table/tbody/tr[6]/td[1],1.1,17,,,,,,,,,,,,,,o
18,/html/body/document/type/sequence/filename/description/text/center[2]/div/table/tbody/tr[6]/td[3]/p,The Merger,18,,,,,,,,,,,,,,o
19,/html/body/document/type/sequence/filename/description/text/center[2]/div/table/tbody/tr[6]/td[6],1,19,,,,,,,,,,,,,,o
20,/html/body/document/type/sequence/filename/description/text/center[2]/div/table/tbody/tr[7]/td[1],1.2,20,,,,,,,,,,,,,,o
21,/html/body/document/type/sequence/filename/description/text/center[2]/div/table/tbody/tr[7]/td[3]/p,Closing,21,,,,,,,,,,,,,,o
22,/html/body/document/type/sequence/filename/description/text/center[2]/div/table/tbody/tr[7]/td[6],2,22,,,,,,,,,,,,,,o
23,/html/body/document/type/sequence/filename/description/text/center[2]/div/table/tbody/tr[8]/td[1],1.3,23,,,,,,,,,,,,,,o
24,/html/body/document/type/sequence/filename/description/text/center[2]/div/table/tbody/tr[8]/td[3]/p,Effective Time,24,,,,,,,,,,,,,,o
25,/html/body/document/type/sequence/filename/description/text/center[2]/div/table/tbody/tr[8]/td[6],2,25,,,,,,,,,,,,,,o
26,/html/body/document/type/sequence/filename/description/text/center[2]/div/table/tbody/tr[9]/td[1],1.4,26,,,,,,,,,,,,,,o
27,/html/body/document/type/sequence/filename/description/text/center[2]/div/table/tbody/tr[9]/td[3]/p,Effects of the Merger,27,,,,,,,,,,,,,,o
28,/html/body/document/type/sequence/filename/description/text/center[2]/div/table/tbody/tr[9]/td[6],2,28,,,,,,,,,,,,,,o
