highlighted_xpaths,highlighted_segmented_text,highlighted_labels,segment_number_from_idx,highlighted_coordinates,num_entries_1,exploded_highlight_node_order,top,left,width,height,top_via_line_group,size
/html/body/document/type/sequence/filename/description/text/p[6]/font,AGREEMENT AND PLAN OF MERGER,t,0,"[0.0018892069796501252, 0.004730928444707274, 0.9903429923122413, 0.0044329480542663335]",7,0,0.0018892069796501252,0.004730928444707274,0.9903429923122413,0.0044329480542663335,0.0018892069796501252,7
/html/body/document/type/sequence/filename/description/text/p[8]/font,among,t,0,"[0.0018892069796501252, 0.004730928444707274, 0.9903429923122413, 0.0044329480542663335]",7,1,0.0018892069796501252,0.004730928444707274,0.9903429923122413,0.0044329480542663335,0.0018892069796501252,7
/html/body/document/type/sequence/filename/description/text/p[10]/font,MERCK SHARP & DOHME CORP.,t,0,"[0.0018892069796501252, 0.004730928444707274, 0.9903429923122413, 0.0044329480542663335]",7,2,0.0018892069796501252,0.004730928444707274,0.9903429923122413,0.0044329480542663335,0.0018892069796501252,7
/html/body/document/type/sequence/filename/description/text/p[12]/font,"ASTROS MERGER SUB, INC.",t,0,"[0.0018892069796501252, 0.004730928444707274, 0.9903429923122413, 0.0044329480542663335]",7,3,0.0018892069796501252,0.004730928444707274,0.9903429923122413,0.0044329480542663335,0.0018892069796501252,7
/html/body/document/type/sequence/filename/description/text/p[14]/font,and,t,0,"[0.0018892069796501252, 0.004730928444707274, 0.9903429923122413, 0.0044329480542663335]",7,4,0.0018892069796501252,0.004730928444707274,0.9903429923122413,0.0044329480542663335,0.0018892069796501252,7
/html/body/document/type/sequence/filename/description/text/p[16]/font,ACCELERON PHARMA INC.,t,0,"[0.0018892069796501252, 0.004730928444707274, 0.9903429923122413, 0.0044329480542663335]",7,5,0.0018892069796501252,0.004730928444707274,0.9903429923122413,0.0044329480542663335,0.0018892069796501252,7
/html/body/document/type/sequence/filename/description/text/p[18]/font,"Dated as of September 29, 2021",t,0,"[0.0018892069796501252, 0.004730928444707274, 0.9903429923122413, 0.0044329480542663335]",7,6,0.0018892069796501252,0.004730928444707274,0.9903429923122413,0.0044329480542663335,0.0018892069796501252,7
/html/body/document/type/sequence/filename/description/text/p[23]/font,TABLE OF CONTENTS,t,1,"[0.00862787843627276, 0.4599166173861621, 0.079969840331165, 0.0003272648161370939]",1,7,0.00862787843627276,0.4599166173861621,0.079969840331165,0.0003272648161370939,0.00862787843627276,1
/html/body/document/type/sequence/filename/description/text/p[56]/font[1],Article I,sn,15,"[0.07430382006426277, 0.4811933767001774, 0.03741620342992312, 0.0003272648161370939]",1,8,0.07430382006426277,0.4811933767001774,0.03741620342992312,0.0003272648161370939,0.07430382006426277,1
/html/body/document/type/sequence/filename/description/text/p[56]/font[2],THE OFFER,st,16,"[0.07464588539807211, 0.47898166765227673, 0.041839148432879954, 0.0003272648161370939]",1,9,0.07464588539807211,0.47898166765227673,0.041839148432879954,0.0003272648161370939,0.07464588539807211,1
/html/body/document/type/sequence/filename/description/text/p[58]/font[1],Section 1.1,ssn,17,"[0.07533023920028561, 0.03311649911295092, 0.03548196333530455, 0.0003272648161370939]",1,10,0.07533023920028561,0.03311649911295092,0.03548196333530455,0.0003272648161370939,0.07533023920028561,1
/html/body/document/type/sequence/filename/description/text/p[58]/font[2]/u,The Offer,sst,18,"[0.07533023920028561, 0.08436842105263158, 0.032555943228858665, 0.0003272648161370939]",1,11,0.07533023920028561,0.08436842105263158,0.032555943228858665,0.0003272648161370939,0.07533023920028561,1
/html/body/document/type/sequence/filename/description/text/p[60]/font[1],(a),sssn,19,"[0.0760145930024991, 0.06150206978119456, 0.010724659964518038, 0.0003272648161370939]",2,12,0.0760145930024991,0.06150206978119456,0.010724659964518038,0.0003272648161370939,0.0760145930024991,1
/html/body/document/type/sequence/filename/description/text/p[60]/font[2],(i),ssssn,20,"[0.0760145930024991, 0.08602542874039029, 0.007447545830869308, 0.0003272648161370939]",1,13,0.0760145930024991,0.08602542874039029,0.007447545830869308,0.0003272648161370939,0.0760145930024991,1
