xpaths,text,all_nodes_ordering,highlighted_xpaths,highlighted_segmented_text,highlighted_labels,segment_number_from_idx,highlighted_coordinates,num_entries_1,exploded_highlight_node_order,top,left,width,height,top_via_line_group,size,tagged_sequence
/html/body/document/type,EX-2.1,0,,,,,,,,,,,,,,o
/html/body/document/type/sequence,2,1,,,,,,,,,,,,,,o
/html/body/document/type/sequence/filename,tm2113073d1_ex2-1.htm,2,,,,,,,,,,,,,,o
/html/body/document/type/sequence/filename/description,EXHIBIT 2.1,3,,,,,,,,,,,,,,o
/html/body/document/type/sequence/filename/description/text/p[2]/b,Exhibit 2.1,4,,,,,,,,,,,,,,o
/html/body/document/type/sequence/filename/description/text/p[4],AGREEMENT AND PLAN OF MERGER,5,/html/body/document/type/sequence/filename/description/text/p[4],AGREEMENT AND PLAN OF MERGER,t,0,"[0.0015965332421028623, 0.005555555555555556, 0.9888888888888889, 0.004584331166609648]",7.0,0.0,0.0015965332421028623,0.005555555555555556,0.9888888888888889,0.004584331166609648,0.0015965332421028623,7.0,b_t
/html/body/document/type/sequence/filename/description/text/p[6],entered into by and among,6,/html/body/document/type/sequence/filename/description/text/p[6],entered into by and among,t,0,"[0.0015965332421028623, 0.005555555555555556, 0.9888888888888889, 0.004584331166609648]",7.0,1.0,0.0015965332421028623,0.005555555555555556,0.9888888888888889,0.004584331166609648,0.0015965332421028623,7.0,i_t
/html/body/document/type/sequence/filename/description/text/p[8],"GENERAL FINANCE CORPORATION,",7,/html/body/document/type/sequence/filename/description/text/p[8],"GENERAL FINANCE CORPORATION,",t,0,"[0.0015965332421028623, 0.005555555555555556, 0.9888888888888889, 0.004584331166609648]",7.0,2.0,0.0015965332421028623,0.005555555555555556,0.9888888888888889,0.004584331166609648,0.0015965332421028623,7.0,i_t
/html/body/document/type/sequence/filename/description/text/p[10],"UNITED RENTALS (NORTH AMERICA), INC.",8,/html/body/document/type/sequence/filename/description/text/p[10],"UNITED RENTALS (NORTH AMERICA), INC.",t,0,"[0.0015965332421028623, 0.005555555555555556, 0.9888888888888889, 0.004584331166609648]",7.0,3.0,0.0015965332421028623,0.005555555555555556,0.9888888888888889,0.004584331166609648,0.0015965332421028623,7.0,i_t
/html/body/document/type/sequence/filename/description/text/p[12],And,9,/html/body/document/type/sequence/filename/description/text/p[12],And,t,0,"[0.0015965332421028623, 0.005555555555555556, 0.9888888888888889, 0.004584331166609648]",7.0,4.0,0.0015965332421028623,0.005555555555555556,0.9888888888888889,0.004584331166609648,0.0015965332421028623,7.0,i_t
/html/body/document/type/sequence/filename/description/text/p[14]/font,UR Merger Sub VI Corporation,10,/html/body/document/type/sequence/filename/description/text/p[14]/font,UR Merger Sub VI Corporation,t,0,"[0.0015965332421028623, 0.005555555555555556, 0.9888888888888889, 0.004584331166609648]",7.0,5.0,0.0015965332421028623,0.005555555555555556,0.9888888888888889,0.004584331166609648,0.0015965332421028623,7.0,i_t
/html/body/document/type/sequence/filename/description/text/p[16],"Dated as of April 15, 2021",11,/html/body/document/type/sequence/filename/description/text/p[16],"Dated as of April 15, 2021",t,0,"[0.0015965332421028623, 0.005555555555555556, 0.9888888888888889, 0.004584331166609648]",7.0,6.0,0.0015965332421028623,0.005555555555555556,0.9888888888888889,0.004584331166609648,0.0015965332421028623,7.0,e_t
/html/body/document/type/sequence/filename/description/text/p[21],TABLE OF CONTENTS,12,/html/body/document/type/sequence/filename/description/text/p[21],TABLE OF CONTENTS,st,1,"[0.008894970920287376, 0.4530541666666667, 0.09388541666666667, 0.00034211426616489907]",1.0,7.0,0.008894970920287376,0.4530541666666667,0.09388541666666667,0.00034211426616489907,0.008894970920287376,1.0,s_st
/html/body/document/type/sequence/filename/description/text/p[23],Page,13,,,,,,,,,,,,,,o
/html/body/document/type/sequence/filename/description/text/table[1]/tbody/tr[1]/td,ARTICLE I,14,,,,,,,,,,,,,,o
