highlighted_xpaths,highlighted_segmented_text,highlighted_labels,segment_number_from_idx,highlighted_coordinates,num_entries_1,exploded_highlight_node_order,top,left,width,height,top_via_line_group,size
/html/body/document/type/sequence/filename/description/text/p[8]/b,AGREEMENT AND PLAN OF MERGER,t,0,"[0.001951275268606512, 0.005555555555555556, 0.9888888888888889, 0.002775872767055289]",6,0,0.001951275268606512,0.005555555555555556,0.9888888888888889,0.002775872767055289,0.001951275268606512,6
/html/body/document/type/sequence/filename/description/text/p[10],by and among:,t,0,"[0.001951275268606512, 0.005555555555555556, 0.9888888888888889, 0.002775872767055289]",6,1,0.001951275268606512,0.005555555555555556,0.9888888888888889,0.002775872767055289,0.001951275268606512,6
/html/body/document/type/sequence/filename/description/text/p[12]/b,"FLEXION THERAPEUTICS, INC.,",t,0,"[0.001951275268606512, 0.005555555555555556, 0.9888888888888889, 0.002775872767055289]",6,2,0.001951275268606512,0.005555555555555556,0.9888888888888889,0.002775872767055289,0.001951275268606512,6
/html/body/document/type/sequence/filename/description/text/p[14]/b,"PACIRA BIOSCIENCES, INC.,",t,0,"[0.001951275268606512, 0.005555555555555556, 0.9888888888888889, 0.002775872767055289]",6,3,0.001951275268606512,0.005555555555555556,0.9888888888888889,0.002775872767055289,0.001951275268606512,6
/html/body/document/type/sequence/filename/description/text/p[16],and,t,0,"[0.001951275268606512, 0.005555555555555556, 0.9888888888888889, 0.002775872767055289]",6,4,0.001951275268606512,0.005555555555555556,0.9888888888888889,0.002775872767055289,0.001951275268606512,6
/html/body/document/type/sequence/filename/description/text/p[18]/b,OYSTER ACQUISITION COMPANY INC.,t,0,"[0.001951275268606512, 0.005555555555555556, 0.9888888888888889, 0.002775872767055289]",6,5,0.001951275268606512,0.005555555555555556,0.9888888888888889,0.002775872767055289,0.001951275268606512,6
/html/body/document/type/sequence/filename/description/text/p[26]/b,TABLE OF CONTENTS,st,1,"[0.0072254335260115606, 0.45061874999999996, 0.09876319444444444, 0.0002449299500342902]",1,6,0.0072254335260115606,0.45061874999999996,0.09876319444444444,0.0002449299500342902,0.0072254335260115606,1
/html/body/document/type/sequence/filename/description/text/div[3]/p,-,n,2,"[0.02368472616831586, 0.4956215277777778, 0.00875111111111111, 0.0002449299500342902]",5,7,0.02368472616831586,0.4956215277777778,0.00875111111111111,0.0002449299500342902,0.02368472616831586,3
/html/body/document/type/sequence/filename/description/text/div[3]/p,i,n,2,"[0.02368472616831586, 0.4956215277777778, 0.00875111111111111, 0.0002449299500342902]",5,8,0.02368472616831586,0.4956215277777778,0.00875111111111111,0.0002449299500342902,0.02368472616831586,3
/html/body/document/type/sequence/filename/description/text/div[3]/p,-,n,2,"[0.02368472616831586, 0.4956215277777778, 0.00875111111111111, 0.0002449299500342902]",5,9,0.02368472616831586,0.4956215277777778,0.00875111111111111,0.0002449299500342902,0.02368472616831586,3
/html/body/document/type/sequence/filename/description/text/p[33]/b,TABLE OF CONTENTS,st,3,"[0.024852225596812647, 0.45061874999999996, 0.09876319444444444, 0.0004980242317363901]",2,10,0.024852225596812647,0.45061874999999996,0.09876319444444444,0.0004980242317363901,0.024852225596812647,2
/html/body/document/type/sequence/filename/description/text/p[35],(continued),st,3,"[0.024852225596812647, 0.45061874999999996, 0.09876319444444444, 0.0004980242317363901]",2,11,0.024852225596812647,0.45061874999999996,0.09876319444444444,0.0004980242317363901,0.024852225596812647,2
/html/body/document/type/sequence/filename/description/text/div[5]/p,-,n,4,"[0.04055223539401065, 0.49433611111111114, 0.011322708333333334, 0.0002449299500342902]",5,12,0.04055223539401065,0.49433611111111114,0.011322708333333334,0.0002449299500342902,0.04055223539401065,3
/html/body/document/type/sequence/filename/description/text/div[5]/p,ii,n,4,"[0.04055223539401065, 0.49433611111111114, 0.011322708333333334, 0.0002449299500342902]",5,13,0.04055223539401065,0.49433611111111114,0.011322708333333334,0.0002449299500342902,0.04055223539401065,3
/html/body/document/type/sequence/filename/description/text/div[5]/p,-,n,4,"[0.04055223539401065, 0.49433611111111114, 0.011322708333333334, 0.0002449299500342902]",5,14,0.04055223539401065,0.49433611111111114,0.011322708333333334,0.0002449299500342902,0.04055223539401065,3
