highlighted_xpaths,highlighted_segmented_text,highlighted_labels,segment_number_from_idx,highlighted_coordinates,num_entries_1,exploded_highlight_node_order,top,left,width,height,top_via_line_group,size
/html/body/document/type/sequence/filename/description/text/p[6]/b,AGREEMENT AND PLAN OF MERGER,t,0,"[0.0020984396750534998, 0.005614035087719298, 0.9887719298245614, 0.004176102719660926]",7,0,0.0020984396750534998,0.005614035087719298,0.9887719298245614,0.004176102719660926,0.0020984396750534998,7
/html/body/document/type/sequence/filename/description/text/p[8]/b,among,t,0,"[0.0020984396750534998, 0.005614035087719298, 0.9887719298245614, 0.004176102719660926]",7,1,0.0020984396750534998,0.005614035087719298,0.9887719298245614,0.004176102719660926,0.0020984396750534998,7
/html/body/document/type/sequence/filename/description/text/p[10]/b,"CONOCOPHILLIPS,",t,0,"[0.0020984396750534998, 0.005614035087719298, 0.9887719298245614, 0.004176102719660926]",7,2,0.0020984396750534998,0.005614035087719298,0.9887719298245614,0.004176102719660926,0.0020984396750534998,7
/html/body/document/type/sequence/filename/description/text/p[12]/b,FALCON MERGER SUB CORP.,t,0,"[0.0020984396750534998, 0.005614035087719298, 0.9887719298245614, 0.004176102719660926]",7,3,0.0020984396750534998,0.005614035087719298,0.9887719298245614,0.004176102719660926,0.0020984396750534998,7
/html/body/document/type/sequence/filename/description/text/p[14]/b,and,t,0,"[0.0020984396750534998, 0.005614035087719298, 0.9887719298245614, 0.004176102719660926]",7,4,0.0020984396750534998,0.005614035087719298,0.9887719298245614,0.004176102719660926,0.0020984396750534998,7
/html/body/document/type/sequence/filename/description/text/p[16]/b,CONCHO RESOURCES INC.,t,0,"[0.0020984396750534998, 0.005614035087719298, 0.9887719298245614, 0.004176102719660926]",7,5,0.0020984396750534998,0.005614035087719298,0.9887719298245614,0.004176102719660926,0.0020984396750534998,7
/html/body/document/type/sequence/filename/description/text/p[18]/b,"Dated as of October 18, 2020",t,0,"[0.0020984396750534998, 0.005614035087719298, 0.9887719298245614, 0.004176102719660926]",7,6,0.0020984396750534998,0.005614035087719298,0.9887719298245614,0.004176102719660926,0.0020984396750534998,7
/html/body/document/type/sequence/filename/description/text/p[22]/b,TABLE OF CONTENTS,st,1,"[0.00810288587396896, 0.45009894736842104, 0.09980280701754385, 0.00031164945669111385]",1,7,0.00810288587396896,0.45009894736842104,0.09980280701754385,0.00031164945669111385,0.00810288587396896,1
/html/body/document/type/sequence/filename/description/text/div[3]/p,-,n,2,"[0.023571087241071244, 0.4955754385964913, 0.008843228070175438, 0.00031164945669111385]",5,8,0.023571087241071244,0.4955754385964913,0.008843228070175438,0.00031164945669111385,0.023571087241071244,3
/html/body/document/type/sequence/filename/description/text/div[3]/p,i,n,2,"[0.023571087241071244, 0.4955754385964913, 0.008843228070175438, 0.00031164945669111385]",5,9,0.023571087241071244,0.4955754385964913,0.008843228070175438,0.00031164945669111385,0.023571087241071244,3
