highlighted_xpaths,highlighted_segmented_text,highlighted_labels,segment_number_from_idx,highlighted_coordinates,num_entries_1,exploded_highlight_node_order,top,left,width,height,top_via_line_group,size
/html/body/document/type/sequence/filename/description/text/p[8],AGREEMENT AND PLAN OF MERGER,t,0,"[0.0014718311911631839, 0.005555555555555556, 0.9888888888888889, 0.002703214712482877]",6,0,0.0014718311911631839,0.005555555555555556,0.9888888888888889,0.002703214712482877,0.0014718311911631839,6
/html/body/document/type/sequence/filename/description/text/p[9],BY AND BETWEEN,t,0,"[0.0014718311911631839, 0.005555555555555556, 0.9888888888888889, 0.002703214712482877]",6,1,0.0014718311911631839,0.005555555555555556,0.9888888888888889,0.002703214712482877,0.0014718311911631839,6
/html/body/document/type/sequence/filename/description/text/p[11],"Bridge Bancorp, INC.",t,0,"[0.0014718311911631839, 0.005555555555555556, 0.9888888888888889, 0.002703214712482877]",6,2,0.0014718311911631839,0.005555555555555556,0.9888888888888889,0.002703214712482877,0.0014718311911631839,6
/html/body/document/type/sequence/filename/description/text/p[14],AND,t,0,"[0.0014718311911631839, 0.005555555555555556, 0.9888888888888889, 0.002703214712482877]",6,3,0.0014718311911631839,0.005555555555555556,0.9888888888888889,0.002703214712482877,0.0014718311911631839,6
/html/body/document/type/sequence/filename/description/text/p[16],"Dime community bancshares, inc.",t,0,"[0.0014718311911631839, 0.005555555555555556, 0.9888888888888889, 0.002703214712482877]",6,4,0.0014718311911631839,0.005555555555555556,0.9888888888888889,0.002703214712482877,0.0014718311911631839,6
/html/body/document/type/sequence/filename/description/text/p[19],"Dated as of JULY 1, 2020",t,0,"[0.0014718311911631839, 0.005555555555555556, 0.9888888888888889, 0.002703214712482877]",6,5,0.0014718311911631839,0.005555555555555556,0.9888888888888889,0.002703214712482877,0.0014718311911631839,6
/html/body/document/type/sequence/filename/description/text/p[27],TABLE OF CONTENTS,st,1,"[0.006360933811314156, 0.45061874999999996, 0.09876319444444444, 0.00021858879076680948]",1,6,0.006360933811314156,0.45061874999999996,0.09876319444444444,0.00021858879076680948,0.006360933811314156,1
/html/body/document/type/sequence/filename/description/text/p[44],AGREEMENT AND PLAN OF MERGER,st,2,"[0.039775873626533766, 0.4156520833333333, 0.16869583333333332, 0.00021858879076680948]",1,7,0.039775873626533766,0.4156520833333333,0.16869583333333332,0.00021858879076680948,0.039775873626533766,1
/html/body/document/type/sequence/filename/description/text/div[9]/p,1,n,3,"[0.046107662265745676, 0.4976833333333333, 0.00463325, 0.00021858879076680948]",1,8,0.046107662265745676,0.4976833333333333,0.00463325,0.00021858879076680948,0.046107662265745676,1
/html/body/document/type/sequence/filename/description/text/p[66],ARTICLE I,sn,4,"[0.047149602168400806, 0.4761125, 0.047775624999999995, 0.00021858879076680948]",1,9,0.047149602168400806,0.4761125,0.047775624999999995,0.00021858879076680948,0.047149602168400806,1
