highlighted_xpaths,highlighted_segmented_text,highlighted_labels,segment_number_from_idx,highlighted_coordinates,num_entries_1,exploded_highlight_node_order,top,left,width,height,top_via_line_group,size
/html/body/document/type/sequence/filename/description/text/p[8]/font,Agreement and Plan of Merger,t,0,"[0.003146385589554, 0.005555555555555556, 0.9888888888888889, 0.005676604001153674]",11,0,0.003146385589554,0.005555555555555556,0.9888888888888889,0.005676604001153674,0.003146385589554,11
/html/body/document/type/sequence/filename/description/text/p[10]/font,among,t,0,"[0.003146385589554, 0.005555555555555556, 0.9888888888888889, 0.005676604001153674]",11,1,0.003146385589554,0.005555555555555556,0.9888888888888889,0.005676604001153674,0.003146385589554,11
/html/body/document/type/sequence/filename/description/text/p[12]/font,Electronic Arts Inc,t,0,"[0.003146385589554, 0.005555555555555556, 0.9888888888888889, 0.005676604001153674]",11,2,0.003146385589554,0.005555555555555556,0.9888888888888889,0.005676604001153674,0.003146385589554,11
/html/body/document/type/sequence/filename/description/text/p[12],".,",t,0,"[0.003146385589554, 0.005555555555555556, 0.9888888888888889, 0.005676604001153674]",11,3,0.003146385589554,0.005555555555555556,0.9888888888888889,0.005676604001153674,0.003146385589554,11
/html/body/document/type/sequence/filename/description/text/p[13]/font,a Delaware corporation;,t,0,"[0.003146385589554, 0.005555555555555556, 0.9888888888888889, 0.005676604001153674]",11,4,0.003146385589554,0.005555555555555556,0.9888888888888889,0.005676604001153674,0.003146385589554,11
/html/body/document/type/sequence/filename/description/text/p[15]/font[1],"Giants Acquisition Sub, Inc.,",t,0,"[0.003146385589554, 0.005555555555555556, 0.9888888888888889, 0.005676604001153674]",11,5,0.003146385589554,0.005555555555555556,0.9888888888888889,0.005676604001153674,0.003146385589554,11
/html/body/document/type/sequence/filename/description/text/p[15]/font[2],a Delaware corporation,t,0,"[0.003146385589554, 0.005555555555555556, 0.9888888888888889, 0.005676604001153674]",11,6,0.003146385589554,0.005555555555555556,0.9888888888888889,0.005676604001153674,0.003146385589554,11
/html/body/document/type/sequence/filename/description/text/p[15],",",t,0,"[0.003146385589554, 0.005555555555555556, 0.9888888888888889, 0.005676604001153674]",11,7,0.003146385589554,0.005555555555555556,0.9888888888888889,0.005676604001153674,0.003146385589554,11
/html/body/document/type/sequence/filename/description/text/p[17]/font,and,t,0,"[0.003146385589554, 0.005555555555555556, 0.9888888888888889, 0.005676604001153674]",11,8,0.003146385589554,0.005555555555555556,0.9888888888888889,0.005676604001153674,0.003146385589554,11
/html/body/document/type/sequence/filename/description/text/p[19]/font[1],"Glu Mobile Inc.,",t,0,"[0.003146385589554, 0.005555555555555556, 0.9888888888888889, 0.005676604001153674]",11,9,0.003146385589554,0.005555555555555556,0.9888888888888889,0.005676604001153674,0.003146385589554,11
