highlighted_xpaths,highlighted_segmented_text,highlighted_labels,segment_number_from_idx,highlighted_coordinates,num_entries_1,exploded_highlight_node_order,top,left,width,height,top_via_line_group,size
/html/body/document/type/sequence/filename/description/text/p[6]/b,AGREEMENT AND PLAN OF MERGER,t,0,"[0.0022676037660787694, 0.005555555555555556, 0.9888888888888889, 0.006975202227821244]",8,0,0.0022676037660787694,0.005555555555555556,0.9888888888888889,0.006975202227821244,0.0022676037660787694,8
/html/body/document/type/sequence/filename/description/text/p[8],dated as of,t,0,"[0.0022676037660787694, 0.005555555555555556, 0.9888888888888889, 0.006975202227821244]",8,1,0.0022676037660787694,0.005555555555555556,0.9888888888888889,0.006975202227821244,0.0022676037660787694,8
/html/body/document/type/sequence/filename/description/text/p[10],"November 21, 2021",t,0,"[0.0022676037660787694, 0.005555555555555556, 0.9888888888888889, 0.006975202227821244]",8,2,0.0022676037660787694,0.005555555555555556,0.9888888888888889,0.006975202227821244,0.0022676037660787694,8
/html/body/document/type/sequence/filename/description/text/p[12],among,t,0,"[0.0022676037660787694, 0.005555555555555556, 0.9888888888888889, 0.006975202227821244]",8,3,0.0022676037660787694,0.005555555555555556,0.9888888888888889,0.006975202227821244,0.0022676037660787694,8
/html/body/document/type/sequence/filename/description/text/p[14]/b,GOODRICH PETROLEUM CORPORATION,t,0,"[0.0022676037660787694, 0.005555555555555556, 0.9888888888888889, 0.006975202227821244]",8,4,0.0022676037660787694,0.005555555555555556,0.9888888888888889,0.006975202227821244,0.0022676037660787694,8
/html/body/document/type/sequence/filename/description/text/p[16]/b,"PALOMA PARTNERS VI HOLDINGS, LLC",t,0,"[0.0022676037660787694, 0.005555555555555556, 0.9888888888888889, 0.006975202227821244]",8,5,0.0022676037660787694,0.005555555555555556,0.9888888888888889,0.006975202227821244,0.0022676037660787694,8
/html/body/document/type/sequence/filename/description/text/p[18],and,t,0,"[0.0022676037660787694, 0.005555555555555556, 0.9888888888888889, 0.006975202227821244]",8,6,0.0022676037660787694,0.005555555555555556,0.9888888888888889,0.006975202227821244,0.0022676037660787694,8
/html/body/document/type/sequence/filename/description/text/p[20]/b,"PALOMA VI MERGER SUB, INC.",t,0,"[0.0022676037660787694, 0.005555555555555556, 0.9888888888888889, 0.006975202227821244]",8,7,0.0022676037660787694,0.005555555555555556,0.9888888888888889,0.006975202227821244,0.0022676037660787694,8
/html/body/document/type/sequence/filename/description/text/p[24]/b,TABLE OF CONTENTS,st,1,"[0.011576713963665296, 0.45061874999999996, 0.09876319444444444, 0.00039782522211908233]",1,8,0.011576713963665296,0.45061874999999996,0.09876319444444444,0.00039782522211908233,0.011576713963665296,1
/html/body/document/type/sequence/filename/description/text/div[3]/table/tbody/tr/td[2],i,n,2,"[0.03337753613579101, 0.4987034722222222, 0.0025770416666666667, 0.00039782522211908233]",1,9,0.03337753613579101,0.4987034722222222,0.0025770416666666667,0.00039782522211908233,0.03337753613579101,1
/html/body/document/type/sequence/filename/description/text/div[5]/table/tbody/tr/td[2],ii,n,3,"[0.05666357247049463, 0.49741736111111107, 0.005148652777777778, 0.00039782522211908233]",1,10,0.05666357247049463,0.49741736111111107,0.005148652777777778,0.00039782522211908233,0.05666357247049463,1
/html/body/document/type/sequence/filename/description/text/div[7]/table/tbody/tr/td[2],iii,n,4,"[0.07419440392520886, 0.4961319444444444, 0.007720277777777778, 0.00039782522211908233]",1,11,0.07419440392520886,0.4961319444444444,0.007720277777777778,0.00039782522211908233,0.07419440392520886,1
/html/body/document/type/sequence/filename/description/text/p[35]/font/b,AGREEMENT AND PLAN OF MERGER,st,6,"[0.07650179021349954, 0.4156520833333333, 0.16869583333333332, 0.00039782522211908233]",1,12,0.07650179021349954,0.4156520833333333,0.16869583333333332,0.00039782522211908233,0.07650179021349954,1
/html/body/document/type/sequence/filename/description/text/div[9]/p,1,n,7,"[0.08761437475135923, 0.4976833333333333, 0.00463325, 0.00039782522211908233]",1,13,0.08761437475135923,0.4976833333333333,0.00463325,0.00039782522211908233,0.08761437475135923,1
/html/body/document/type/sequence/filename/description/text/p[60]/font/b,Article 1,sn,8,"[0.09321044954250099, 0.4755965277777778, 0.04880097222222222, 0.00039782522211908233]",1,14,0.09321044954250099,0.4755965277777778,0.04880097222222222,0.00039782522211908233,0.09321044954250099,1
/html/body/document/type/sequence/filename/description/text/p[60]/b/font,Definitions,st,9,"[0.09362153560535738, 0.47722430555555556, 0.04555125, 0.00039782522211908233]",1,15,0.09362153560535738,0.47722430555555556,0.04555125,0.00039782522211908233,0.09362153560535738,1
/html/body/document/type/sequence/filename/description/text/p[62]/font[1],Section 1.01,ssn,10,"[0.09444370773107015, 0.03888888888888889, 0.04628361111111111, 0.00039782522211908233]",1,16,0.09444370773107015,0.03888888888888889,0.04628361111111111,0.00039782522211908233,0.09444370773107015,1
/html/body/document/type/sequence/filename/description/text/p[62]/font[2]/font/i,Definitions,sst,11,"[0.09444370773107015, 0.10741111111111111, 0.04114583333333333, 0.00039782522211908233]",1,17,0.09444370773107015,0.10741111111111111,0.04114583333333333,0.00039782522211908233,0.09444370773107015,1
/html/body/document/type/sequence/filename/description/text/div[11]/p,2,n,12,"[0.10185651770322239, 0.4976833333333333, 0.00463325, 0.00039782522211908233]",1,18,0.10185651770322239,0.4976833333333333,0.00463325,0.00039782522211908233,0.10185651770322239,1
/html/body/document/type/sequence/filename/description/text/div[13]/p,3,n,13,"[0.12020952128364938, 0.4976833333333333, 0.00463325, 0.00039782522211908233]",1,19,0.12020952128364938,0.4976833333333333,0.00463325,0.00039782522211908233,0.12020952128364938,1
/html/body/document/type/sequence/filename/description/text/div[15]/p,4,n,14,"[0.13732926667550724, 0.4976833333333333, 0.00463325, 0.00039782522211908233]",1,20,0.13732926667550724,0.4976833333333333,0.00463325,0.00039782522211908233,0.13732926667550724,1
/html/body/document/type/sequence/filename/description/text/div[17]/p,5,n,15,"[0.14704946293595014, 0.4976833333333333, 0.00463325, 0.00039782522211908233]",1,21,0.14704946293595014,0.4976833333333333,0.00463325,0.00039782522211908233,0.14704946293595014,1
/html/body/document/type/sequence/filename/description/text/div[19]/p,6,n,16,"[0.1633470362020952, 0.4976833333333333, 0.00463325, 0.00039782522211908233]",1,22,0.1633470362020952,0.4976833333333333,0.00463325,0.00039782522211908233,0.1633470362020952,1
/html/body/document/type/sequence/filename/description/text/div[21]/p,7,n,17,"[0.17717809309110197, 0.4976833333333333, 0.00463325, 0.00039782522211908233]",1,23,0.17717809309110197,0.4976833333333333,0.00463325,0.00039782522211908233,0.17717809309110197,1
/html/body/document/type/sequence/filename/description/text/div[23]/p,8,n,18,"[0.19183132210582152, 0.4976833333333333, 0.00463325, 0.00039782522211908233]",1,24,0.19183132210582152,0.4976833333333333,0.00463325,0.00039782522211908233,0.19183132210582152,1
/html/body/document/type/sequence/filename/description/text/div[25]/p,9,n,19,"[0.2044291208062591, 0.4976833333333333, 0.00463325, 0.00039782522211908233]",1,25,0.2044291208062591,0.4976833333333333,0.00463325,0.00039782522211908233,0.2044291208062591,1
/html/body/document/type/sequence/filename/description/text/div[27]/p,10,n,20,"[0.22237103832382973, 0.4953666666666666, 0.009261041666666667, 0.00039782522211908233]",1,26,0.22237103832382973,0.4953666666666666,0.009261041666666667,0.00039782522211908233,0.22237103832382973,1
