highlighted_xpaths,highlighted_segmented_text,highlighted_labels,segment_number_from_idx,highlighted_coordinates,num_entries_1,exploded_highlight_node_order,top,left,width,height,top_via_line_group,size
/html/body/document/type/sequence/filename/description/text/p[4]/b,AGREEMENT AND PLAN OF MERGER,t,0,"[0.0016290336223303023, 0.004730928444707274, 0.9903429923122413, 0.004667817955405183]",7,0,0.0016290336223303023,0.004730928444707274,0.9903429923122413,0.004667817955405183,0.0016290336223303023,7
/html/body/document/type/sequence/filename/description/text/p[6]/b,Among,t,0,"[0.0016290336223303023, 0.004730928444707274, 0.9903429923122413, 0.004667817955405183]",7,1,0.0016290336223303023,0.004730928444707274,0.9903429923122413,0.004667817955405183,0.0016290336223303023,7
/html/body/document/type/sequence/filename/description/text/p[8]/b,"WHITE SANDS PARENT, INC.,",t,0,"[0.0016290336223303023, 0.004730928444707274, 0.9903429923122413, 0.004667817955405183]",7,2,0.0016290336223303023,0.004730928444707274,0.9903429923122413,0.004667817955405183,0.0016290336223303023,7
/html/body/document/type/sequence/filename/description/text/p[10]/b,"WHITE SANDS BIDCO, INC.",t,0,"[0.0016290336223303023, 0.004730928444707274, 0.9903429923122413, 0.004667817955405183]",7,3,0.0016290336223303023,0.004730928444707274,0.9903429923122413,0.004667817955405183,0.0016290336223303023,7
/html/body/document/type/sequence/filename/description/text/p[12]/b,and,t,0,"[0.0016290336223303023, 0.004730928444707274, 0.9903429923122413, 0.004667817955405183]",7,4,0.0016290336223303023,0.004730928444707274,0.9903429923122413,0.004667817955405183,0.0016290336223303023,7
/html/body/document/type/sequence/filename/description/text/p[14]/b,"BOINGO WIRELESS, INC.",t,0,"[0.0016290336223303023, 0.004730928444707274, 0.9903429923122413, 0.004667817955405183]",7,5,0.0016290336223303023,0.004730928444707274,0.9903429923122413,0.004667817955405183,0.0016290336223303023,7
/html/body/document/type/sequence/filename/description/text/p[16]/b,"Dated as of February 26, 2021",t,0,"[0.0016290336223303023, 0.004730928444707274, 0.9903429923122413, 0.004667817955405183]",7,6,0.0016290336223303023,0.004730928444707274,0.9903429923122413,0.004667817955405183,0.0016290336223303023,7
/html/body/document/type/sequence/filename/description/text/p[20]/font/b,TABLE OF CONTENTS,t,1,"[0.008724724513051856, 0.4578344175044352, 0.0841277350680071, 0.00034460421512652427]",1,7,0.008724724513051856,0.4578344175044352,0.0841277350680071,0.00034460421512652427,0.008724724513051856,1
/html/body/document/type/sequence/filename/description/text/p[48]/font[1]/b,1.,sn,291,"[0.06207560912572543, 0.03311649911295092, 0.0059136605558840925, 0.00034460421512652427]",1,8,0.06207560912572543,0.03311649911295092,0.0059136605558840925,0.00034460421512652427,0.06207560912572543,1
/html/body/document/type/sequence/filename/description/text/p[48]/b/font/u,Definitions,st,292,"[0.06207560912572543, 0.06268480189237138, 0.036800236546422234, 0.00034460421512652427]",1,9,0.06207560912572543,0.06268480189237138,0.036800236546422234,0.00034460421512652427,0.06207560912572543,1
/html/body/document/type/sequence/filename/description/text/p[50]/font[1],1.1,ssn,294,"[0.06279622189328259, 0.06150206978119456, 0.00985612063867534, 0.00034460421512652427]",1,10,0.06279622189328259,0.06150206978119456,0.00985612063867534,0.00034460421512652427,0.06279622189328259,1
/html/body/document/type/sequence/filename/description/text/p[50]/font[2]/b/u,Definitions,sst,293,"[0.06279622189328259, 0.09501301005322295, 0.036800236546422234, 0.00034460421512652427]",1,11,0.06279622189328259,0.09501301005322295,0.036800236546422234,0.00034460421512652427,0.06279622189328259,1
/html/body/document/type/sequence/filename/description/text/div[9]/p,1,n,2,"[0.06497333239350579, 0.4979302188054406, 0.003942454169130692, 0.00034460421512652427]",1,12,0.06497333239350579,0.4979302188054406,0.003942454169130692,0.00034460421512652427,0.06497333239350579,1
/html/body/document/type/sequence/filename/description/text/div[11]/p,2,n,3,"[0.07603204811917014, 0.4979302188054406, 0.003942454169130692, 0.00034460421512652427]",1,13,0.07603204811917014,0.4979302188054406,0.003942454169130692,0.00034460421512652427,0.07603204811917014,1
/html/body/document/type/sequence/filename/description/text/div[13]/p,3,n,4,"[0.0881715655177275, 0.4979302188054406, 0.003942454169130692, 0.00034460421512652427]",1,14,0.0881715655177275,0.4979302188054406,0.003942454169130692,0.00034460421512652427,0.0881715655177275,1
/html/body/document/type/sequence/filename/description/text/div[15]/p,4,n,5,"[0.09923004628650642, 0.4979302188054406, 0.003942454169130692, 0.00034460421512652427]",1,15,0.09923004628650642,0.4979302188054406,0.003942454169130692,0.00034460421512652427,0.09923004628650642,1
/html/body/document/type/sequence/filename/description/text/div[17]/p,5,n,6,"[0.10740654589882756, 0.4979302188054406, 0.003942454169130692, 0.00034460421512652427]",1,16,0.10740654589882756,0.4979302188054406,0.003942454169130692,0.00034460421512652427,0.10740654589882756,1
/html/body/document/type/sequence/filename/description/text/div[19]/p,6,n,7,"[0.1155830455111487, 0.4979302188054406, 0.003942454169130692, 0.00034460421512652427]",1,17,0.1155830455111487,0.4979302188054406,0.003942454169130692,0.00034460421512652427,0.1155830455111487,1
/html/body/document/type/sequence/filename/description/text/div[21]/p,7,n,8,"[0.124480157891027, 0.4979302188054406, 0.003942454169130692, 0.00034460421512652427]",1,18,0.124480157891027,0.4979302188054406,0.003942454169130692,0.00034460421512652427,0.124480157891027,1
/html/body/document/type/sequence/filename/description/text/div[23]/p,8,n,9,"[0.13373745917624116, 0.4979302188054406, 0.003942454169130692, 0.00034460421512652427]",1,19,0.13373745917624116,0.4979302188054406,0.003942454169130692,0.00034460421512652427,0.13373745917624116,1
/html/body/document/type/sequence/filename/description/text/div[25]/p,9,n,10,"[0.14515636380724137, 0.4979302188054406, 0.003942454169130692, 0.00034460421512652427]",1,20,0.14515636380724137,0.4979302188054406,0.003942454169130692,0.00034460421512652427,0.14515636380724137,1
