xpaths,text,all_nodes_ordering,highlighted_xpaths,highlighted_segmented_text,highlighted_labels,segment_number_from_idx,highlighted_coordinates,num_entries_1,exploded_highlight_node_order,top,left,width,height,top_via_line_group,size,period_space_section_title,is_section_title
/html/body/document/type,EX-2.1,0,,,,,,,,,,,,,,,
/html/body/document/type/sequence,2,1,,,,,,,,,,,,,,,
/html/body/document/type/sequence/filename,d222750dex21.htm,2,,,,,,,,,,,,,,,
/html/body/document/type/sequence/filename/description,EX-2.1,3,,,,,,,,,,,,,,,
/html/body/document/type/sequence/filename/description/text/title,EX-2.1,4,,,,,,,,,,,,,,,
/html/body/document/type/sequence/filename/description/text/center[1]/div/p[1]/b,Exhibit 2.1,5,,,,,,,,,,,,,,,
/html/body/document/type/sequence/filename/description/text/center[1]/div/p[2],EXECUTION VERSION,6,,,,,,,,,,,,,,,
/html/body/document/type/sequence/filename/description/text/center[1]/div/p[3],AGREEMENT AND PLAN OF MERGER,7,/html/body/document/type/sequence/filename/description/text/center[1]/div/p[3],AGREEMENT AND PLAN OF MERGER,t,0,"[0.001671491269026053, 0.21666666666666667, 0.5666666666666667, 0.0038098795405733495]",8.0,0.0,0.001671491269026053,0.21666666666666667,0.5666666666666667,0.0038098795405733495,0.001671491269026053,8.0,,
/html/body/document/type/sequence/filename/description/text/center[1]/div/p[4],entered into by and among,8,/html/body/document/type/sequence/filename/description/text/center[1]/div/p[4],entered into by and among,t,0,"[0.001671491269026053, 0.21666666666666667, 0.5666666666666667, 0.0038098795405733495]",8.0,1.0,0.001671491269026053,0.21666666666666667,0.5666666666666667,0.0038098795405733495,0.001671491269026053,8.0,,
/html/body/document/type/sequence/filename/description/text/center[1]/div/p[5]/font,HILL-ROM,9,/html/body/document/type/sequence/filename/description/text/center[1]/div/p[5]/font,HILL-ROM,t,0,"[0.001671491269026053, 0.21666666666666667, 0.5666666666666667, 0.0038098795405733495]",8.0,2.0,0.001671491269026053,0.21666666666666667,0.5666666666666667,0.0038098795405733495,0.001671491269026053,8.0,,
/html/body/document/type/sequence/filename/description/text/center[1]/div/p[5],"HOLDINGS, INC.,",10,/html/body/document/type/sequence/filename/description/text/center[1]/div/p[5],"HOLDINGS, INC.,",t,0,"[0.001671491269026053, 0.21666666666666667, 0.5666666666666667, 0.0038098795405733495]",8.0,3.0,0.001671491269026053,0.21666666666666667,0.5666666666666667,0.0038098795405733495,0.001671491269026053,8.0,,
/html/body/document/type/sequence/filename/description/text/center[1]/div/p[6],BAXTER INTERNATIONAL INC.,11,/html/body/document/type/sequence/filename/description/text/center[1]/div/p[6],BAXTER INTERNATIONAL INC.,t,0,"[0.001671491269026053, 0.21666666666666667, 0.5666666666666667, 0.0038098795405733495]",8.0,4.0,0.001671491269026053,0.21666666666666667,0.5666666666666667,0.0038098795405733495,0.001671491269026053,8.0,,
/html/body/document/type/sequence/filename/description/text/center[1]/div/p[7],and,12,/html/body/document/type/sequence/filename/description/text/center[1]/div/p[7],and,t,0,"[0.001671491269026053, 0.21666666666666667, 0.5666666666666667, 0.0038098795405733495]",8.0,5.0,0.001671491269026053,0.21666666666666667,0.5666666666666667,0.0038098795405733495,0.001671491269026053,8.0,,
/html/body/document/type/sequence/filename/description/text/center[1]/div/p[8],"BEL AIR SUBSIDIARY, INC.",13,/html/body/document/type/sequence/filename/description/text/center[1]/div/p[8],"BEL AIR SUBSIDIARY, INC.",t,0,"[0.001671491269026053, 0.21666666666666667, 0.5666666666666667, 0.0038098795405733495]",8.0,6.0,0.001671491269026053,0.21666666666666667,0.5666666666666667,0.0038098795405733495,0.001671491269026053,8.0,,
/html/body/document/type/sequence/filename/description/text/center[1]/div/p[9],"Dated as of September 1, 2021",14,/html/body/document/type/sequence/filename/description/text/center[1]/div/p[9],"Dated as of September 1, 2021",t,0,"[0.001671491269026053, 0.21666666666666667, 0.5666666666666667, 0.0038098795405733495]",8.0,7.0,0.001671491269026053,0.21666666666666667,0.5666666666666667,0.0038098795405733495,0.001671491269026053,8.0,,
/html/body/document/type/sequence/filename/description/text/center[2]/div/p[1],TABLE OF CONTENTS,15,/html/body/document/type/sequence/filename/description/text/center[2]/div/p[1],TABLE OF CONTENTS,st,1,"[0.0059949575123727705, 0.4530541666666667, 0.09388541666666667, 0.0002801382015127463]",1.0,8.0,0.0059949575123727705,0.4530541666666667,0.09388541666666667,0.0002801382015127463,0.0059949575123727705,1.0,,
/html/body/document/type/sequence/filename/description/text/center[2]/div/table/tbody/tr[2]/td[3],Page,16,,,,,,,,,,,,,,,
/html/body/document/type/sequence/filename/description/text/center[2]/div/table/tbody/tr[4]/td[1]/p,ARTICLE I,17,,,,,,,,,,,,,,,
/html/body/document/type/sequence/filename/description/text/center[2]/div/table/tbody/tr[6]/td[1]/p,Definitions; Interpretation and Construction,18,,,,,,,,,,,,,,,
/html/body/document/type/sequence/filename/description/text/center[2]/div/table/tbody/tr[8]/td[1]/p,1.1.,19,,,,,,,,,,,,,,,
/html/body/document/type/sequence/filename/description/text/center[2]/div/table/tbody/tr[8]/td[3],Definitions,20,,,,,,,,,,,,,,,
/html/body/document/type/sequence/filename/description/text/center[2]/div/table/tbody/tr[8]/td[6],2,21,,,,,,,,,,,,,,,
/html/body/document/type/sequence/filename/description/text/center[2]/div/table/tbody/tr[9]/td[1]/p,1.2.,22,,,,,,,,,,,,,,,
