xpaths,text,all_nodes_ordering,highlighted_xpaths,highlighted_segmented_text,highlighted_labels,segment_number_from_idx,highlighted_coordinates,num_entries_1,exploded_highlight_node_order,top,left,width,height,top_via_line_group,size,tagged_sequence
/html/body/document/type,EX-2.1,0,,,,,,,,,,,,,,o
/html/body/document/type/sequence,2,1,,,,,,,,,,,,,,o
/html/body/document/type/sequence/filename,tm215689d1_ex2-1.htm,2,,,,,,,,,,,,,,o
/html/body/document/type/sequence/filename/description,EXHIBIT 2.1,3,,,,,,,,,,,,,,o
/html/body/document/type/sequence/filename/description/text/p[2]/b,Exhibit 2.1,4,,,,,,,,,,,,,,o
/html/body/document/type/sequence/filename/description/text/p[4]/i,EXECUTION VERSION,5,,,,,,,,,,,,,,o
/html/body/document/type/sequence/filename/description/text/p[8]/font,Agreement and Plan of Merger,6,/html/body/document/type/sequence/filename/description/text/p[8]/font,Agreement and Plan of Merger,t,0,"[0.003146385589554, 0.005555555555555556, 0.9888888888888889, 0.005676604001153674]",11.0,0.0,0.003146385589554,0.005555555555555556,0.9888888888888889,0.005676604001153674,0.003146385589554,11.0,b_t
/html/body/document/type/sequence/filename/description/text/p[10]/font,among,7,/html/body/document/type/sequence/filename/description/text/p[10]/font,among,t,0,"[0.003146385589554, 0.005555555555555556, 0.9888888888888889, 0.005676604001153674]",11.0,1.0,0.003146385589554,0.005555555555555556,0.9888888888888889,0.005676604001153674,0.003146385589554,11.0,i_t
/html/body/document/type/sequence/filename/description/text/p[12]/font,Electronic Arts Inc,8,/html/body/document/type/sequence/filename/description/text/p[12]/font,Electronic Arts Inc,t,0,"[0.003146385589554, 0.005555555555555556, 0.9888888888888889, 0.005676604001153674]",11.0,2.0,0.003146385589554,0.005555555555555556,0.9888888888888889,0.005676604001153674,0.003146385589554,11.0,i_t
/html/body/document/type/sequence/filename/description/text/p[12],".,",9,/html/body/document/type/sequence/filename/description/text/p[12],".,",t,0,"[0.003146385589554, 0.005555555555555556, 0.9888888888888889, 0.005676604001153674]",11.0,3.0,0.003146385589554,0.005555555555555556,0.9888888888888889,0.005676604001153674,0.003146385589554,11.0,i_t
/html/body/document/type/sequence/filename/description/text/p[13]/font,a Delaware corporation;,10,/html/body/document/type/sequence/filename/description/text/p[13]/font,a Delaware corporation;,t,0,"[0.003146385589554, 0.005555555555555556, 0.9888888888888889, 0.005676604001153674]",11.0,4.0,0.003146385589554,0.005555555555555556,0.9888888888888889,0.005676604001153674,0.003146385589554,11.0,i_t
/html/body/document/type/sequence/filename/description/text/p[15]/font[1],"Giants Acquisition Sub, Inc.,",11,/html/body/document/type/sequence/filename/description/text/p[15]/font[1],"Giants Acquisition Sub, Inc.,",t,0,"[0.003146385589554, 0.005555555555555556, 0.9888888888888889, 0.005676604001153674]",11.0,5.0,0.003146385589554,0.005555555555555556,0.9888888888888889,0.005676604001153674,0.003146385589554,11.0,i_t
/html/body/document/type/sequence/filename/description/text/p[15]/font[2],a Delaware corporation,12,/html/body/document/type/sequence/filename/description/text/p[15]/font[2],a Delaware corporation,t,0,"[0.003146385589554, 0.005555555555555556, 0.9888888888888889, 0.005676604001153674]",11.0,6.0,0.003146385589554,0.005555555555555556,0.9888888888888889,0.005676604001153674,0.003146385589554,11.0,i_t
/html/body/document/type/sequence/filename/description/text/p[15],",",13,/html/body/document/type/sequence/filename/description/text/p[15],",",t,0,"[0.003146385589554, 0.005555555555555556, 0.9888888888888889, 0.005676604001153674]",11.0,7.0,0.003146385589554,0.005555555555555556,0.9888888888888889,0.005676604001153674,0.003146385589554,11.0,i_t
/html/body/document/type/sequence/filename/description/text/p[17]/font,and,14,/html/body/document/type/sequence/filename/description/text/p[17]/font,and,t,0,"[0.003146385589554, 0.005555555555555556, 0.9888888888888889, 0.005676604001153674]",11.0,8.0,0.003146385589554,0.005555555555555556,0.9888888888888889,0.005676604001153674,0.003146385589554,11.0,i_t
