xpaths,text,all_nodes_ordering,highlighted_xpaths,highlighted_segmented_text,highlighted_labels,segment_number_from_idx,highlighted_coordinates,num_entries_1,exploded_highlight_node_order,top,left,width,height,top_via_line_group,size,period_space_section_title,is_section_title
/html/body/document/type,EX-2.1,0,,,,,,,,,,,,,,,
/html/body/document/type/sequence,2,1,,,,,,,,,,,,,,,
/html/body/document/type/sequence/filename,tm2119488d1_ex2-1.htm,2,,,,,,,,,,,,,,,
/html/body/document/type/sequence/filename/description,EXHIBIT 2.1,3,,,,,,,,,,,,,,,
/html/body/document/type/sequence/filename/description/text/p[1]/b,Exhibit 2.1,4,,,,,,,,,,,,,,,
/html/body/document/type/sequence/filename/description/text/p[3]/b,Execution Version,5,,,,,,,,,,,,,,,
/html/body/document/type/sequence/filename/description/text/p[4]/b,CONFIDENTIAL,6,,,,,,,,,,,,,,,
/html/body/document/type/sequence/filename/description/text/p[7]/b,AGREEMENT AND PLAN OF MERGER,7,/html/body/document/type/sequence/filename/description/text/p[7]/b,AGREEMENT AND PLAN OF MERGER,t,0,"[0.00255516592541909, 0.005555555555555556, 0.9888888888888889, 0.003634964078002053]",6.0,0.0,0.00255516592541909,0.005555555555555556,0.9888888888888889,0.003634964078002053,0.00255516592541909,6.0,,
/html/body/document/type/sequence/filename/description/text/p[9]/b,by and among,8,/html/body/document/type/sequence/filename/description/text/p[9]/b,by and among,t,0,"[0.00255516592541909, 0.005555555555555556, 0.9888888888888889, 0.003634964078002053]",6.0,1.0,0.00255516592541909,0.005555555555555556,0.9888888888888889,0.003634964078002053,0.00255516592541909,6.0,,
/html/body/document/type/sequence/filename/description/text/p[11]/b,"ICONIX ACQUISITION LLC,",9,/html/body/document/type/sequence/filename/description/text/p[11]/b,"ICONIX ACQUISITION LLC,",t,0,"[0.00255516592541909, 0.005555555555555556, 0.9888888888888889, 0.003634964078002053]",6.0,2.0,0.00255516592541909,0.005555555555555556,0.9888888888888889,0.003634964078002053,0.00255516592541909,6.0,,
/html/body/document/type/sequence/filename/description/text/p[13]/b,ICONIX MERGER SUB INC.,10,/html/body/document/type/sequence/filename/description/text/p[13]/b,ICONIX MERGER SUB INC.,t,0,"[0.00255516592541909, 0.005555555555555556, 0.9888888888888889, 0.003634964078002053]",6.0,3.0,0.00255516592541909,0.005555555555555556,0.9888888888888889,0.003634964078002053,0.00255516592541909,6.0,,
/html/body/document/type/sequence/filename/description/text/p[15]/b,and,11,/html/body/document/type/sequence/filename/description/text/p[15]/b,and,t,0,"[0.00255516592541909, 0.005555555555555556, 0.9888888888888889, 0.003634964078002053]",6.0,4.0,0.00255516592541909,0.005555555555555556,0.9888888888888889,0.003634964078002053,0.00255516592541909,6.0,,
/html/body/document/type/sequence/filename/description/text/p[17]/b,"ICONIX BRAND GROUP, INC.",12,/html/body/document/type/sequence/filename/description/text/p[17]/b,"ICONIX BRAND GROUP, INC.",t,0,"[0.00255516592541909, 0.005555555555555556, 0.9888888888888889, 0.003634964078002053]",6.0,5.0,0.00255516592541909,0.005555555555555556,0.9888888888888889,0.003634964078002053,0.00255516592541909,6.0,,
/html/body/document/type/sequence/filename/description/text/p[19],"Dated as of June 11, 2021",13,,,,,,,,,,,,,,,
/html/body/document/type/sequence/filename/description/text/p[22]/i,"This document is intended solely to facilitate discussions among the parties identified herein. It is not intended to create, and will not be deemed to create, a legally binding or enforceable offer or agreement of any type or nature prior to the duly authorized and approved execution of this document by all such parties and the delivery of an executed copy hereof by all such parties to all other parties.",14,,,,,,,,,,,,,,,
/html/body/document/type/sequence/filename/description/text/p[24]/b,"THIS DOCUMENT SHALL BE KEPT CONFIDENTIAL PURSUANT TO THE TERMS OF THE CONFIDENTIALITY AGREEMENT ENTERED INTO BETWEEN THE COMPANY AND THE RECIPIENT HEREOF AND, IF APPLICABLE, ITS AFFILIATES, WITH RESPECT TO THE SUBJECT MATTER HEREOF.",15,,,,,,,,,,,,,,,
/html/body/document/type/sequence/filename/description/text/p[28]/b,Table of Contents,16,/html/body/document/type/sequence/filename/description/text/p[28]/b,Table of Contents,st,1,"[0.011450136845706466, 0.4651909722222222, 0.06961250000000001, 0.00032073212452959286]",1.0,6.0,0.011450136845706466,0.4651909722222222,0.06961250000000001,0.00032073212452959286,0.011450136845706466,1.0,,
/html/body/document/type/sequence/filename/description/text/table[1]/tbody/tr[1]/td[2]/b,Page,17,,,,,,,,,,,,,,,
/html/body/document/type/sequence/filename/description/text/table[1]/tbody/tr[3]/td,ARTICLE I.,18,,,,,,,,,,,,,,,
/html/body/document/type/sequence/filename/description/text/table[1]/tbody/tr[5]/td,DEFINITIONS,19,,,,,,,,,,,,,,,
/html/body/document/type/sequence/filename/description/text/table[1]/tbody/tr[7]/td[1],Section 1.1,20,,,,,,,,,,,,,,,
/html/body/document/type/sequence/filename/description/text/table[1]/tbody/tr[7]/td[2],Certain Definitions,21,,,,,,,,,,,,,,,
/html/body/document/type/sequence/filename/description/text/table[1]/tbody/tr[7]/td[3],2,22,,,,,,,,,,,,,,,
/html/body/document/type/sequence/filename/description/text/table[1]/tbody/tr[8]/td[1],Section 1.2,23,,,,,,,,,,,,,,,
/html/body/document/type/sequence/filename/description/text/table[1]/tbody/tr[8]/td[2],Additional Definitions,24,,,,,,,,,,,,,,,
