highlighted_xpaths,highlighted_segmented_text,highlighted_labels,segment_number_from_idx,highlighted_coordinates,num_entries_1,exploded_highlight_node_order,top,left,width,height,top_via_line_group,size
/html/body/document/type/sequence/filename/description/text/center[1]/div/p[4]/b,AGREEMENT AND PLAN OF MERGER,t,0,"[0.0018274318434718102, 0.21368421052631578, 0.5726315789473684, 0.00693156528189911]",29,0,0.0018274318434718102,0.21368421052631578,0.5726315789473684,0.00693156528189911,0.0018274318434718102,29
/html/body/document/type/sequence/filename/description/text/center[1]/div/p[5],among:,t,0,"[0.0018274318434718102, 0.21368421052631578, 0.5726315789473684, 0.00693156528189911]",29,1,0.0018274318434718102,0.21368421052631578,0.5726315789473684,0.00693156528189911,0.0018274318434718102,29
/html/body/document/type/sequence/filename/description/text/center[1]/div/p[6]/b,C,t,0,"[0.0018274318434718102, 0.21368421052631578, 0.5726315789473684, 0.00693156528189911]",29,2,0.0018274318434718102,0.21368421052631578,0.5726315789473684,0.00693156528189911,0.0018274318434718102,29
/html/body/document/type/sequence/filename/description/text/center[1]/div/p[6]/b/small[1],ONSTELLATION,t,0,"[0.0018274318434718102, 0.21368421052631578, 0.5726315789473684, 0.00693156528189911]",29,3,0.0018274318434718102,0.21368421052631578,0.5726315789473684,0.00693156528189911,0.0018274318434718102,29
/html/body/document/type/sequence/filename/description/text/center[1]/div/p[6]/b,P,t,0,"[0.0018274318434718102, 0.21368421052631578, 0.5726315789473684, 0.00693156528189911]",29,4,0.0018274318434718102,0.21368421052631578,0.5726315789473684,0.00693156528189911,0.0018274318434718102,29
/html/body/document/type/sequence/filename/description/text/center[1]/div/p[6]/b/small[2],HARMACEUTICALS,t,0,"[0.0018274318434718102, 0.21368421052631578, 0.5726315789473684, 0.00693156528189911]",29,5,0.0018274318434718102,0.21368421052631578,0.5726315789473684,0.00693156528189911,0.0018274318434718102,29
/html/body/document/type/sequence/filename/description/text/center[1]/div/p[6]/b,", I",t,0,"[0.0018274318434718102, 0.21368421052631578, 0.5726315789473684, 0.00693156528189911]",29,6,0.0018274318434718102,0.21368421052631578,0.5726315789473684,0.00693156528189911,0.0018274318434718102,29
/html/body/document/type/sequence/filename/description/text/center[1]/div/p[6]/b/small[3],NC,t,0,"[0.0018274318434718102, 0.21368421052631578, 0.5726315789473684, 0.00693156528189911]",29,7,0.0018274318434718102,0.21368421052631578,0.5726315789473684,0.00693156528189911,0.0018274318434718102,29
/html/body/document/type/sequence/filename/description/text/center[1]/div/p[6]/b,".,",t,0,"[0.0018274318434718102, 0.21368421052631578, 0.5726315789473684, 0.00693156528189911]",29,8,0.0018274318434718102,0.21368421052631578,0.5726315789473684,0.00693156528189911,0.0018274318434718102,29
/html/body/document/type/sequence/filename/description/text/center[1]/div/p[7],a Delaware corporation;,t,0,"[0.0018274318434718102, 0.21368421052631578, 0.5726315789473684, 0.00693156528189911]",29,9,0.0018274318434718102,0.21368421052631578,0.5726315789473684,0.00693156528189911,0.0018274318434718102,29
