highlighted_xpaths,highlighted_segmented_text,highlighted_labels,segment_number_from_idx,highlighted_coordinates,num_entries_1,exploded_highlight_node_order,top,left,width,height,top_via_line_group,size
/html/body/document/type/sequence/filename/description/text/center[1]/div/p[3]/b,TRANSACTION AGREEMENT,t,0,"[0.0006252037097395478, 0.21368421052631578, 0.5726315789473684, 0.001955613499659249]",11,0,0.0006252037097395478,0.21368421052631578,0.5726315789473684,0.001955613499659249,0.0006252037097395478,11
/html/body/document/type/sequence/filename/description/text/center[1]/div/p[4],dated as of,t,0,"[0.0006252037097395478, 0.21368421052631578, 0.5726315789473684, 0.001955613499659249]",11,1,0.0006252037097395478,0.21368421052631578,0.5726315789473684,0.001955613499659249,0.0006252037097395478,11
/html/body/document/type/sequence/filename/description/text/center[1]/div/p[5],"June 7, 2021",t,0,"[0.0006252037097395478, 0.21368421052631578, 0.5726315789473684, 0.001955613499659249]",11,2,0.0006252037097395478,0.21368421052631578,0.5726315789473684,0.001955613499659249,0.0006252037097395478,11
/html/body/document/type/sequence/filename/description/text/center[1]/div/p[6],by and among,t,0,"[0.0006252037097395478, 0.21368421052631578, 0.5726315789473684, 0.001955613499659249]",11,3,0.0006252037097395478,0.21368421052631578,0.5726315789473684,0.001955613499659249,0.0006252037097395478,11
/html/body/document/type/sequence/filename/description/text/center[1]/div/p[7]/b,"CONTANGO OIL & GAS COMPANY,",t,0,"[0.0006252037097395478, 0.21368421052631578, 0.5726315789473684, 0.001955613499659249]",11,4,0.0006252037097395478,0.21368421052631578,0.5726315789473684,0.001955613499659249,0.0006252037097395478,11
/html/body/document/type/sequence/filename/description/text/center[1]/div/p[8]/b,"INDEPENDENCE ENERGY LLC,",t,0,"[0.0006252037097395478, 0.21368421052631578, 0.5726315789473684, 0.001955613499659249]",11,5,0.0006252037097395478,0.21368421052631578,0.5726315789473684,0.001955613499659249,0.0006252037097395478,11
/html/body/document/type/sequence/filename/description/text/center[1]/div/p[9]/b,"IE OPCO LLC,",t,0,"[0.0006252037097395478, 0.21368421052631578, 0.5726315789473684, 0.001955613499659249]",11,6,0.0006252037097395478,0.21368421052631578,0.5726315789473684,0.001955613499659249,0.0006252037097395478,11
/html/body/document/type/sequence/filename/description/text/center[1]/div/p[10]/b,"IE PUBCO INC.,",t,0,"[0.0006252037097395478, 0.21368421052631578, 0.5726315789473684, 0.001955613499659249]",11,7,0.0006252037097395478,0.21368421052631578,0.5726315789473684,0.001955613499659249,0.0006252037097395478,11
/html/body/document/type/sequence/filename/description/text/center[1]/div/p[11]/b,IE L MERGER SUB LLC,t,0,"[0.0006252037097395478, 0.21368421052631578, 0.5726315789473684, 0.001955613499659249]",11,8,0.0006252037097395478,0.21368421052631578,0.5726315789473684,0.001955613499659249,0.0006252037097395478,11
/html/body/document/type/sequence/filename/description/text/center[1]/div/p[12]/b,and,t,0,"[0.0006252037097395478, 0.21368421052631578, 0.5726315789473684, 0.001955613499659249]",11,9,0.0006252037097395478,0.21368421052631578,0.5726315789473684,0.001955613499659249,0.0006252037097395478,11
/html/body/document/type/sequence/filename/description/text/center[1]/div/p[13]/b,IE C MERGER SUB INC.,t,0,"[0.0006252037097395478, 0.21368421052631578, 0.5726315789473684, 0.001955613499659249]",11,10,0.0006252037097395478,0.21368421052631578,0.5726315789473684,0.001955613499659249,0.0006252037097395478,11
