highlighted_xpaths,highlighted_segmented_text,highlighted_labels,segment_number_from_idx,highlighted_coordinates,num_entries_1,exploded_highlight_node_order,top,left,width,height,top_via_line_group,size
/html/body/document/type/sequence/filename/description/text/center[1]/div/p[3]/b,AGREEMENT AND PLAN OF MERGER,t,0,"[0.0018391004968186177, 0.21666666666666667, 0.5666666666666667, 0.004105290682471891]",8,0,0.0018391004968186177,0.21666666666666667,0.5666666666666667,0.004105290682471891,0.0018391004968186177,8
/html/body/document/type/sequence/filename/description/text/center[1]/div/p[4]/b,by and among,t,0,"[0.0018391004968186177, 0.21666666666666667, 0.5666666666666667, 0.004105290682471891]",8,1,0.0018391004968186177,0.21666666666666667,0.5666666666666667,0.004105290682471891,0.0018391004968186177,8
/html/body/document/type/sequence/filename/description/text/center[1]/div/p[5]/b,"TELEDYNE TECHNOLOGIES INCORPORATED,",t,0,"[0.0018391004968186177, 0.21666666666666667, 0.5666666666666667, 0.004105290682471891]",8,2,0.0018391004968186177,0.21666666666666667,0.5666666666666667,0.004105290682471891,0.0018391004968186177,8
/html/body/document/type/sequence/filename/description/text/center[1]/div/p[6]/b,"FIREWORK MERGER SUB I, INC.,",t,0,"[0.0018391004968186177, 0.21666666666666667, 0.5666666666666667, 0.004105290682471891]",8,3,0.0018391004968186177,0.21666666666666667,0.5666666666666667,0.004105290682471891,0.0018391004968186177,8
/html/body/document/type/sequence/filename/description/text/center[1]/div/p[7]/b,"FIREWORK MERGER SUB II, LLC",t,0,"[0.0018391004968186177, 0.21666666666666667, 0.5666666666666667, 0.004105290682471891]",8,4,0.0018391004968186177,0.21666666666666667,0.5666666666666667,0.004105290682471891,0.0018391004968186177,8
/html/body/document/type/sequence/filename/description/text/center[1]/div/p[8]/b,and,t,0,"[0.0018391004968186177, 0.21666666666666667, 0.5666666666666667, 0.004105290682471891]",8,5,0.0018391004968186177,0.21666666666666667,0.5666666666666667,0.004105290682471891,0.0018391004968186177,8
/html/body/document/type/sequence/filename/description/text/center[1]/div/p[9]/b,"FLIR SYSTEMS, INC.",t,0,"[0.0018391004968186177, 0.21666666666666667, 0.5666666666666667, 0.004105290682471891]",8,6,0.0018391004968186177,0.21666666666666667,0.5666666666666667,0.004105290682471891,0.0018391004968186177,8
/html/body/document/type/sequence/filename/description/text/center[1]/div/p[10]/b,"Dated as of January 4, 2021",t,0,"[0.0018391004968186177, 0.21666666666666667, 0.5666666666666667, 0.004105290682471891]",8,7,0.0018391004968186177,0.21666666666666667,0.5666666666666667,0.004105290682471891,0.0018391004968186177,8
/html/body/document/type/sequence/filename/description/text/center[2]/div/p[1]/b,TABLE OF CONTENTS,st,1,"[0.006423777564717162, 0.45061874999999996, 0.09876319444444444, 0.00026148348295999303]",1,8,0.006423777564717162,0.45061874999999996,0.09876319444444444,0.00026148348295999303,0.006423777564717162,1
/html/body/document/type/sequence/filename/description/text/center[2]/div/p[4],-i-,n,2,"[0.018835526889218166, 0.49562708333333333, 0.008740208333333334, 0.00026148348295999303]",1,9,0.018835526889218166,0.49562708333333333,0.008740208333333334,0.00026148348295999303,0.018835526889218166,1
/html/body/document/type/sequence/filename/description/text/center[3]/div/p[1]/b,TABLE OF CONTENTS,st,3,"[0.01957639675760481, 0.45061874999999996, 0.09876319444444444, 0.0005316830820186525]",2,10,0.01957639675760481,0.45061874999999996,0.09876319444444444,0.0005316830820186525,0.01957639675760481,2
/html/body/document/type/sequence/filename/description/text/center[3]/div/p[2],(continued),st,3,"[0.01957639675760481, 0.45061874999999996, 0.09876319444444444, 0.0005316830820186525]",2,11,0.01957639675760481,0.45061874999999996,0.09876319444444444,0.0005316830820186525,0.01957639675760481,2
/html/body/document/type/sequence/filename/description/text/center[3]/div/p[5],-ii-,n,4,"[0.031587204741567156, 0.4943416666666666, 0.011311875, 0.00026148348295999303]",1,12,0.031587204741567156,0.4943416666666666,0.011311875,0.00026148348295999303,0.031587204741567156,1
/html/body/document/type/sequence/filename/description/text/center[4]/div/p[1]/b,TABLE OF CONTENTS,st,5,"[0.03232807460995381, 0.45061874999999996, 0.09876319444444444, 0.0005316830820186525]",2,13,0.03232807460995381,0.45061874999999996,0.09876319444444444,0.0005316830820186525,0.03232807460995381,2
/html/body/document/type/sequence/filename/description/text/center[4]/div/p[2],(continued),st,5,"[0.03232807460995381, 0.45061874999999996, 0.09876319444444444, 0.0005316830820186525]",2,14,0.03232807460995381,0.45061874999999996,0.09876319444444444,0.0005316830820186525,0.03232807460995381,2
/html/body/document/type/sequence/filename/description/text/center[4]/div/p[5],-iii-,n,6,"[0.04328423254597751, 0.4930555555555556, 0.013883472222222222, 0.00026148348295999303]",1,15,0.04328423254597751,0.4930555555555556,0.013883472222222222,0.00026148348295999303,0.04328423254597751,1
/html/body/document/type/sequence/filename/description/text/center[5]/div/p[1]/b/u,"ANNEX, EXHIBIT AND SCHEDULE INDEX",st,7,"[0.04402510241436416, 0.40787777777777784, 0.18423958333333335, 0.00026148348295999303]",1,16,0.04402510241436416,0.40787777777777784,0.18423958333333335,0.00026148348295999303,0.04402510241436416,1
/html/body/document/type/sequence/filename/description/text/center[5]/div/p[5],iv,n,8,"[0.046779395101542755, 0.4963972222222222, 0.0072048611111111115, 0.00026148348295999303]",1,17,0.046779395101542755,0.4963972222222222,0.0072048611111111115,0.00026148348295999303,0.046779395101542755,1
/html/body/document/type/sequence/filename/description/text/center[6]/div/p[1]/b/u,AGREEMENT AND PLAN OF MERGER,st,9,"[0.0475202649699294, 0.4156520833333333, 0.16869583333333332, 0.00026148348295999303]",1,18,0.0475202649699294,0.4156520833333333,0.16869583333333332,0.00026148348295999303,0.0475202649699294,1
/html/body/document/type/sequence/filename/description/text/center[6]/div/p[3]/b/u,RECITALS,st,10,"[0.049978209709753335, 0.47667638888888886, 0.04664715277777777, 0.00026148348295999303]",1,19,0.049978209709753335,0.47667638888888886,0.04664715277777777,0.00026148348295999303,0.049978209709753335,1
/html/body/document/type/sequence/filename/description/text/center[6]/div/p[12],1,n,11,"[0.05727359888433714, 0.4976833333333333, 0.00463325, 0.00026148348295999303]",1,20,0.05727359888433714,0.4976833333333333,0.00463325,0.00026148348295999303,0.05727359888433714,1
/html/body/document/type/sequence/filename/description/text/center[7]/div/p[3]/b,ARTICLE I,sn,12,"[0.0599320142944304, 0.4761125, 0.047775624999999995, 0.00026148348295999303]",1,21,0.0599320142944304,0.4761125,0.047775624999999995,0.00026148348295999303,0.0599320142944304,1
/html/body/document/type/sequence/filename/description/text/center[7]/div/p[4]/b,THE MERGERS,st,13,"[0.060481129608646385, 0.46566319444444443, 0.06866861111111111, 0.00026148348295999303]",1,22,0.060481129608646385,0.46566319444444443,0.06866861111111111,0.00026148348295999303,0.060481129608646385,1
/html/body/document/type/sequence/filename/description/text/center[7]/div/p[5]/b[1],Section,ssn,14,"[0.061030244922862374, 0.2393284722222222, 0.042686666666666664, 0.00026148348295999303]",2,23,0.061030244922862374,0.2393284722222222,0.042686666666666664,0.00026148348295999303,0.061030244922862374,2
/html/body/document/type/sequence/filename/description/text/center[7]/div/p[5]/b[3],1.1,ssn,14,"[0.061030244922862374, 0.2393284722222222, 0.042686666666666664, 0.00026148348295999303]",2,24,0.061030244922862374,0.2393284722222222,0.042686666666666664,0.00026148348295999303,0.061030244922862374,2
/html/body/document/type/sequence/filename/description/text/center[7]/div/p[5]/b[4]/u,Merger I,sst,15,"[0.061030244922862374, 0.2843263888888889, 0.035552291666666666, 0.00026148348295999303]",1,25,0.061030244922862374,0.2843263888888889,0.035552291666666666,0.00026148348295999303,0.061030244922862374,1
