xpaths,text,all_nodes_ordering,highlighted_xpaths,highlighted_segmented_text,highlighted_labels,segment_number_from_idx,highlighted_coordinates,num_entries_1,exploded_highlight_node_order,top,left,width,height,top_via_line_group,size,period_space_section_title,is_section_title
/html/body/document/type,EX-2.1,0,,,,,,,,,,,,,,,
/html/body/document/type/sequence,2,1,,,,,,,,,,,,,,,
/html/body/document/type/sequence/filename,d148042dex21.htm,2,,,,,,,,,,,,,,,
/html/body/document/type/sequence/filename/description,EX-2.1,3,,,,,,,,,,,,,,,
/html/body/document/type/sequence/filename/description/text/title,EX-2.1,4,,,,,,,,,,,,,,,
/html/body/document/type/sequence/filename/description/text/center[1]/div/p[1]/b,Exhibit 2.1,5,,,,,,,,,,,,,,,
/html/body/document/type/sequence/filename/description/text/center[1]/div/p[2]/b,EXECUTION COPY,6,,,,,,,,,,,,,,,
/html/body/document/type/sequence/filename/description/text/center[1]/div/p[3]/b,AGREEMENT AND PLAN OF MERGER,7,/html/body/document/type/sequence/filename/description/text/center[1]/div/p[3]/b,AGREEMENT AND PLAN OF MERGER,t,0,"[0.0012880727604027583, 0.2856016815554388, 0.42879663688912245, 0.003251598309797207]",7.0,0.0,0.0012880727604027583,0.2856016815554388,0.42879663688912245,0.003251598309797207,0.0012880727604027583,7.0,,
/html/body/document/type/sequence/filename/description/text/center[1]/div/p[4]/b,between,8,/html/body/document/type/sequence/filename/description/text/center[1]/div/p[4]/b,between,t,0,"[0.0012880727604027583, 0.2856016815554388, 0.42879663688912245, 0.003251598309797207]",7.0,1.0,0.0012880727604027583,0.2856016815554388,0.42879663688912245,0.003251598309797207,0.0012880727604027583,7.0,,
/html/body/document/type/sequence/filename/description/text/center[1]/div/p[5]/b,"PROJECT METAL PARENT, LLC,",9,/html/body/document/type/sequence/filename/description/text/center[1]/div/p[5]/b,"PROJECT METAL PARENT, LLC,",t,0,"[0.0012880727604027583, 0.2856016815554388, 0.42879663688912245, 0.003251598309797207]",7.0,2.0,0.0012880727604027583,0.2856016815554388,0.42879663688912245,0.003251598309797207,0.0012880727604027583,7.0,,
/html/body/document/type/sequence/filename/description/text/center[1]/div/p[6]/b,"PROJECT METAL MERGER SUB, INC.",10,/html/body/document/type/sequence/filename/description/text/center[1]/div/p[6]/b,"PROJECT METAL MERGER SUB, INC.",t,0,"[0.0012880727604027583, 0.2856016815554388, 0.42879663688912245, 0.003251598309797207]",7.0,3.0,0.0012880727604027583,0.2856016815554388,0.42879663688912245,0.003251598309797207,0.0012880727604027583,7.0,,
/html/body/document/type/sequence/filename/description/text/center[1]/div/p[7]/b,and,11,/html/body/document/type/sequence/filename/description/text/center[1]/div/p[7]/b,and,t,0,"[0.0012880727604027583, 0.2856016815554388, 0.42879663688912245, 0.003251598309797207]",7.0,4.0,0.0012880727604027583,0.2856016815554388,0.42879663688912245,0.003251598309797207,0.0012880727604027583,7.0,,
/html/body/document/type/sequence/filename/description/text/center[1]/div/p[8]/b,"MEDALLIA, INC.",12,/html/body/document/type/sequence/filename/description/text/center[1]/div/p[8]/b,"MEDALLIA, INC.",t,0,"[0.0012880727604027583, 0.2856016815554388, 0.42879663688912245, 0.003251598309797207]",7.0,5.0,0.0012880727604027583,0.2856016815554388,0.42879663688912245,0.003251598309797207,0.0012880727604027583,7.0,,
/html/body/document/type/sequence/filename/description/text/center[1]/div/p[9]/b,"Dated July 25, 2021",13,/html/body/document/type/sequence/filename/description/text/center[1]/div/p[9]/b,"Dated July 25, 2021",t,0,"[0.0012880727604027583, 0.2856016815554388, 0.42879663688912245, 0.003251598309797207]",7.0,6.0,0.0012880727604027583,0.2856016815554388,0.42879663688912245,0.003251598309797207,0.0012880727604027583,7.0,,
/html/body/document/type/sequence/filename/description/text/center[2]/div/p[1]/b,TABLE OF CONTENTS,14,/html/body/document/type/sequence/filename/description/text/center[2]/div/p[1]/b,TABLE OF CONTENTS,st,1,"[0.004979500793264322, 0.4626332107199159, 0.07473410404624277, 0.00023562306592733384]",1.0,7.0,0.004979500793264322,0.4626332107199159,0.07473410404624277,0.00023562306592733384,0.004979500793264322,1.0,,
/html/body/document/type/sequence/filename/description/text/center[2]/div/table/tbody/tr[2]/td[5]/b,Page,15,,,,,,,,,,,,,,,
/html/body/document/type/sequence/filename/description/text/center[2]/div/table/tbody/tr[3]/td[1]/p,ARTICLE I DEFINITIONS & INTERPRETATIONS,16,,,,,,,,,,,,,,,
/html/body/document/type/sequence/filename/description/text/center[2]/div/table/tbody/tr[3]/td[4],2,17,,,,,,,,,,,,,,,
/html/body/document/type/sequence/filename/description/text/center[2]/div/table/tbody/tr[5]/td[1]/p,1.1,18,,,,,,,,,,,,,,,
/html/body/document/type/sequence/filename/description/text/center[2]/div/table/tbody/tr[5]/td[3]/p,Certain Definitions,19,,,,,,,,,,,,,,,
/html/body/document/type/sequence/filename/description/text/center[2]/div/table/tbody/tr[5]/td[6],2,20,,,,,,,,,,,,,,,
/html/body/document/type/sequence/filename/description/text/center[2]/div/table/tbody/tr[6]/td[1]/p,1.2,21,,,,,,,,,,,,,,,
/html/body/document/type/sequence/filename/description/text/center[2]/div/table/tbody/tr[6]/td[3]/p,Additional Definitions,22,,,,,,,,,,,,,,,
/html/body/document/type/sequence/filename/description/text/center[2]/div/table/tbody/tr[6]/td[6],18,23,,,,,,,,,,,,,,,
