highlighted_xpaths,highlighted_segmented_text,highlighted_labels,segment_number_from_idx,highlighted_coordinates,num_entries_1,exploded_highlight_node_order,top,left,width,height,top_via_line_group,size
/html/body/document/type/sequence/filename/description/text/div[4]/font,AGREEMENT AND PLAN OF MERGER,t,0,"[0.004615763733555749, 0.005555555555555556, 0.9888888888888889, 0.006770519771012625]",7,0,0.004615763733555749,0.005555555555555556,0.9888888888888889,0.006770519771012625,0.004615763733555749,7
/html/body/document/type/sequence/filename/description/text/div[5]/font,among,t,0,"[0.004615763733555749, 0.005555555555555556, 0.9888888888888889, 0.006770519771012625]",7,1,0.004615763733555749,0.005555555555555556,0.9888888888888889,0.006770519771012625,0.004615763733555749,7
/html/body/document/type/sequence/filename/description/text/div[6]/font,"ASP FLAG INTERMEDIATE HOLDINGS, INC.,",t,0,"[0.004615763733555749, 0.005555555555555556, 0.9888888888888889, 0.006770519771012625]",7,2,0.004615763733555749,0.005555555555555556,0.9888888888888889,0.006770519771012625,0.004615763733555749,7
/html/body/document/type/sequence/filename/description/text/div[7]/font,"ASP FLAG MERGER SUB, INC.",t,0,"[0.004615763733555749, 0.005555555555555556, 0.9888888888888889, 0.006770519771012625]",7,3,0.004615763733555749,0.005555555555555556,0.9888888888888889,0.006770519771012625,0.004615763733555749,7
/html/body/document/type/sequence/filename/description/text/div[8]/font,and,t,0,"[0.004615763733555749, 0.005555555555555556, 0.9888888888888889, 0.006770519771012625]",7,4,0.004615763733555749,0.005555555555555556,0.9888888888888889,0.006770519771012625,0.004615763733555749,7
/html/body/document/type/sequence/filename/description/text/div[9]/font,"FOUNDATION BUILDING MATERIALS, INC.",t,0,"[0.004615763733555749, 0.005555555555555556, 0.9888888888888889, 0.006770519771012625]",7,5,0.004615763733555749,0.005555555555555556,0.9888888888888889,0.006770519771012625,0.004615763733555749,7
/html/body/document/type/sequence/filename/description/text/div[10]/font,"Dated as of November 14, 2020",t,0,"[0.004615763733555749, 0.005555555555555556, 0.9888888888888889, 0.006770519771012625]",7,6,0.004615763733555749,0.005555555555555556,0.9888888888888889,0.006770519771012625,0.004615763733555749,7
/html/body/document/type/sequence/filename/description/text/div[18]/font,TABLE OF CONTENTS,st,1,"[0.01830888652993138, 0.4407277777777778, 0.11854375, 0.0003412063540205482]",1,7,0.01830888652993138,0.4407277777777778,0.11854375,0.0003412063540205482,0.01830888652993138,1
/html/body/document/type/sequence/filename/description/text/div[21]/div/div/font,i,n,2,"[0.03652614019789969, 0.50123125, 0.0058647986111111106, 0.0003412063540205482]",1,8,0.03652614019789969,0.50123125,0.0058647986111111106,0.0003412063540205482,0.03652614019789969,1
/html/body/document/type/sequence/filename/description/text/div[22]/div[1]/font,TABLE OF CONTENTS,st,3,"[0.03768605224248398, 0.005555555555555556, 0.5537166666666666, 0.0007050707055389166]",2,9,0.03768605224248398,0.005555555555555556,0.5537166666666666,0.0007050707055389166,0.03768605224248398,2
/html/body/document/type/sequence/filename/description/text/div[22]/div[2]/font,(Continued),st,3,"[0.03768605224248398, 0.005555555555555556, 0.5537166666666666, 0.0007050707055389166]",2,10,0.03768605224248398,0.005555555555555556,0.5537166666666666,0.0007050707055389166,0.03768605224248398,2
/html/body/document/type/sequence/filename/description/text/div[24]/div/div/font,ii,n,4,"[0.058316146642908594, 0.50246875, 0.006174041666666667, 0.0003412063540205482]",1,11,0.058316146642908594,0.50246875,0.006174041666666667,0.0003412063540205482,0.058316146642908594,1
