,xpaths,text,all_nodes_ordering,highlighted_xpaths,highlighted_segmented_text,highlighted_labels,segment_number_from_idx,highlighted_coordinates,num_entries_1,exploded_highlight_node_order,top,left,width,height,top_via_line_group,size,tagged_sequence
0,/html/body/document/type,EX-2.1,0,,,,,,,,,,,,,,o
1,/html/body/document/type/sequence,2,1,,,,,,,,,,,,,,o
2,/html/body/document/type/sequence/filename,tm2118507d3_ex2-1.htm,2,,,,,,,,,,,,,,o
3,/html/body/document/type/sequence/filename/description,EXHIBIT 2.1,3,,,,,,,,,,,,,,o
4,/html/body/document/type/sequence/filename/description/text/p[2]/b,Exhibit 2.1,4,,,,,,,,,,,,,,o
5,/html/body/document/type/sequence/filename/description/text/p[4]/b,AGREEMENT AND PLAN OF MERGER,5,/html/body/document/type/sequence/filename/description/text/p[4]/b,AGREEMENT AND PLAN OF MERGER,t,0,"[0.0018286311389759666, 0.005614035087719298, 0.9887719298245614, 0.006060606060606061]",9.0,0.0,0.0018286311389759666,0.005614035087719298,0.9887719298245614,0.006060606060606061,0.0018286311389759666,9.0,b_t
6,/html/body/document/type/sequence/filename/description/text/p[6],by and among,6,/html/body/document/type/sequence/filename/description/text/p[6],by and among,t,0,"[0.0018286311389759666, 0.005614035087719298, 0.9887719298245614, 0.006060606060606061]",9.0,1.0,0.0018286311389759666,0.005614035087719298,0.9887719298245614,0.006060606060606061,0.0018286311389759666,9.0,i_t
7,/html/body/document/type/sequence/filename/description/text/p[8]/b,ELANCO ANIMAL HEALTH INCORPORATED,7,/html/body/document/type/sequence/filename/description/text/p[8]/b,ELANCO ANIMAL HEALTH INCORPORATED,t,0,"[0.0018286311389759666, 0.005614035087719298, 0.9887719298245614, 0.006060606060606061]",9.0,2.0,0.0018286311389759666,0.005614035087719298,0.9887719298245614,0.006060606060606061,0.0018286311389759666,9.0,i_t
8,/html/body/document/type/sequence/filename/description/text/p[8],",",8,/html/body/document/type/sequence/filename/description/text/p[8],",",t,0,"[0.0018286311389759666, 0.005614035087719298, 0.9887719298245614, 0.006060606060606061]",9.0,3.0,0.0018286311389759666,0.005614035087719298,0.9887719298245614,0.006060606060606061,0.0018286311389759666,9.0,i_t
9,/html/body/document/type/sequence/filename/description/text/p[10]/b,"KNIGHT MERGER SUB, INC.",9,/html/body/document/type/sequence/filename/description/text/p[10]/b,"KNIGHT MERGER SUB, INC.",t,0,"[0.0018286311389759666, 0.005614035087719298, 0.9887719298245614, 0.006060606060606061]",9.0,4.0,0.0018286311389759666,0.005614035087719298,0.9887719298245614,0.006060606060606061,0.0018286311389759666,9.0,i_t
10,/html/body/document/type/sequence/filename/description/text/p[12],and,10,/html/body/document/type/sequence/filename/description/text/p[12],and,t,0,"[0.0018286311389759666, 0.005614035087719298, 0.9887719298245614, 0.006060606060606061]",9.0,5.0,0.0018286311389759666,0.005614035087719298,0.9887719298245614,0.006060606060606061,0.0018286311389759666,9.0,i_t
11,/html/body/document/type/sequence/filename/description/text/p[14]/b,"KINDRED BIOSCIENCES, INC.",11,/html/body/document/type/sequence/filename/description/text/p[14]/b,"KINDRED BIOSCIENCES, INC.",t,0,"[0.0018286311389759666, 0.005614035087719298, 0.9887719298245614, 0.006060606060606061]",9.0,6.0,0.0018286311389759666,0.005614035087719298,0.9887719298245614,0.006060606060606061,0.0018286311389759666,9.0,i_t
12,/html/body/document/type/sequence/filename/description/text/p[16],dated as of,12,/html/body/document/type/sequence/filename/description/text/p[16],dated as of,t,0,"[0.0018286311389759666, 0.005614035087719298, 0.9887719298245614, 0.006060606060606061]",9.0,7.0,0.0018286311389759666,0.005614035087719298,0.9887719298245614,0.006060606060606061,0.0018286311389759666,9.0,i_t
13,/html/body/document/type/sequence/filename/description/text/p[18],"June 15, 2021",13,/html/body/document/type/sequence/filename/description/text/p[18],"June 15, 2021",t,0,"[0.0018286311389759666, 0.005614035087719298, 0.9887719298245614, 0.006060606060606061]",9.0,8.0,0.0018286311389759666,0.005614035087719298,0.9887719298245614,0.006060606060606061,0.0018286311389759666,9.0,e_t
14,/html/body/document/type/sequence/filename/description/text/p[20]/b,TABLE OF CONTENTS,14,/html/body/document/type/sequence/filename/description/text/p[20]/b,TABLE OF CONTENTS,st,1,"[0.01018808777429467, 0.45009894736842104, 0.09980280701754385, 0.00039184952978056425]",1.0,9.0,0.01018808777429467,0.45009894736842104,0.09980280701754385,0.00039184952978056425,0.01018808777429467,1.0,s_st
15,/html/body/document/type/sequence/filename/description/text/p[21]/b,Page,15,,,,,,,,,,,,,,o
16,/html/body/document/type/sequence/filename/description/text/table[1]/tbody/tr[1]/td[1],AGREEMENT AND PLAN OF MERGER,16,,,,,,,,,,,,,,o
17,/html/body/document/type/sequence/filename/description/text/table[1]/tbody/tr[1]/td[2],1,17,,,,,,,,,,,,,,o
18,/html/body/document/type/sequence/filename/description/text/table[1]/tbody/tr[2]/td[1]/font,Article,18,,,,,,,,,,,,,,o
19,/html/body/document/type/sequence/filename/description/text/table[1]/tbody/tr[2]/td[1],I     THE MERGER,19,,,,,,,,,,,,,,o
20,/html/body/document/type/sequence/filename/description/text/table[1]/tbody/tr[2]/td[2],2,20,,,,,,,,,,,,,,o
21,/html/body/document/type/sequence/filename/description/text/table[1]/tbody/tr[3]/td[1],Section 1.1.   The Merger,21,,,,,,,,,,,,,,o
22,/html/body/document/type/sequence/filename/description/text/table[1]/tbody/tr[3]/td[2],2,22,,,,,,,,,,,,,,o
23,/html/body/document/type/sequence/filename/description/text/table[1]/tbody/tr[4]/td[1],Section 1.2.   Closing,23,,,,,,,,,,,,,,o
