,xpaths,text,all_nodes_ordering,highlighted_xpaths,highlighted_segmented_text,highlighted_labels,segment_number_from_idx,highlighted_coordinates,num_entries_1,exploded_highlight_node_order,top,left,width,height,top_via_line_group,size,tagged_sequence
0,/html/body/document/type,EX-2.1,0,,,,,,,,,,,,,,o
1,/html/body/document/type/sequence,2,1,,,,,,,,,,,,,,o
2,/html/body/document/type/sequence/filename,d339700dex21.htm,2,,,,,,,,,,,,,,o
3,/html/body/document/type/sequence/filename/description,EX-2.1,3,,,,,,,,,,,,,,o
4,/html/body/document/type/sequence/filename/description/text/title,EX-2.1,4,,,,,,,,,,,,,,o
5,/html/body/document/type/sequence/filename/description/text/center[1]/div/p[1]/b,Exhibit 2.1,5,,,,,,,,,,,,,,o
6,/html/body/document/type/sequence/filename/description/text/center[1]/div/p[2],AGREEMENT AND PLAN OF MERGER,6,/html/body/document/type/sequence/filename/description/text/center[1]/div/p[2],AGREEMENT AND PLAN OF MERGER,t,0,"[0.0010969059686814435, 0.21368421052631578, 0.5726315789473684, 0.00385808306225887]",7.0,0.0,0.0010969059686814435,0.21368421052631578,0.5726315789473684,0.00385808306225887,0.0010969059686814435,7.0,b_t
7,/html/body/document/type/sequence/filename/description/text/center[1]/div/p[3],by and among,7,/html/body/document/type/sequence/filename/description/text/center[1]/div/p[3],by and among,t,0,"[0.0010969059686814435, 0.21368421052631578, 0.5726315789473684, 0.00385808306225887]",7.0,1.0,0.0010969059686814435,0.21368421052631578,0.5726315789473684,0.00385808306225887,0.0010969059686814435,7.0,i_t
8,/html/body/document/type/sequence/filename/description/text/center[1]/div/p[4],"CELESTIAL-SATURN PARENT INC.,",8,/html/body/document/type/sequence/filename/description/text/center[1]/div/p[4],"CELESTIAL-SATURN PARENT INC.,",t,0,"[0.0010969059686814435, 0.21368421052631578, 0.5726315789473684, 0.00385808306225887]",7.0,2.0,0.0010969059686814435,0.21368421052631578,0.5726315789473684,0.00385808306225887,0.0010969059686814435,7.0,i_t
9,/html/body/document/type/sequence/filename/description/text/center[1]/div/p[5],CELESTIAL-SATURN MERGER SUB INC.,9,/html/body/document/type/sequence/filename/description/text/center[1]/div/p[5],CELESTIAL-SATURN MERGER SUB INC.,t,0,"[0.0010969059686814435, 0.21368421052631578, 0.5726315789473684, 0.00385808306225887]",7.0,3.0,0.0010969059686814435,0.21368421052631578,0.5726315789473684,0.00385808306225887,0.0010969059686814435,7.0,i_t
10,/html/body/document/type/sequence/filename/description/text/center[1]/div/p[6],and,10,/html/body/document/type/sequence/filename/description/text/center[1]/div/p[6],and,t,0,"[0.0010969059686814435, 0.21368421052631578, 0.5726315789473684, 0.00385808306225887]",7.0,4.0,0.0010969059686814435,0.21368421052631578,0.5726315789473684,0.00385808306225887,0.0010969059686814435,7.0,i_t
11,/html/body/document/type/sequence/filename/description/text/center[1]/div/p[7],"CORELOGIC, INC.",11,/html/body/document/type/sequence/filename/description/text/center[1]/div/p[7],"CORELOGIC, INC.",t,0,"[0.0010969059686814435, 0.21368421052631578, 0.5726315789473684, 0.00385808306225887]",7.0,5.0,0.0010969059686814435,0.21368421052631578,0.5726315789473684,0.00385808306225887,0.0010969059686814435,7.0,i_t
12,/html/body/document/type/sequence/filename/description/text/center[1]/div/p[8],"Dated as of February 4, 2021",12,/html/body/document/type/sequence/filename/description/text/center[1]/div/p[8],"Dated as of February 4, 2021",t,0,"[0.0010969059686814435, 0.21368421052631578, 0.5726315789473684, 0.00385808306225887]",7.0,6.0,0.0010969059686814435,0.21368421052631578,0.5726315789473684,0.00385808306225887,0.0010969059686814435,7.0,e_t
13,/html/body/document/type/sequence/filename/description/text/center[2]/div/p[1]/b,TABLE OF CONTENTS,13,/html/body/document/type/sequence/filename/description/text/center[2]/div/p[1]/b,TABLE OF CONTENTS,st,1,"[0.005995158484000303, 0.45009894736842104, 0.09980280701754385, 0.00028368257810726984]",1.0,7.0,0.005995158484000303,0.45009894736842104,0.09980280701754385,0.00028368257810726984,0.005995158484000303,1.0,s_st
14,/html/body/document/type/sequence/filename/description/text/center[2]/div/p[2],ARTICLE I,14,,,,,,,,,,,,,,o
15,/html/body/document/type/sequence/filename/description/text/center[2]/div/table/tbody/tr[2]/td[1],DEFINITIONS,15,,,,,,,,,,,,,,o
16,/html/body/document/type/sequence/filename/description/text/center[2]/div/table/tbody/tr[3]/td[1]/p,Section 1.1,16,,,,,,,,,,,,,,o
17,/html/body/document/type/sequence/filename/description/text/center[2]/div/table/tbody/tr[3]/td[3]/p,Definitions,17,,,,,,,,,,,,,,o
18,/html/body/document/type/sequence/filename/description/text/center[2]/div/table/tbody/tr[3]/td[6],2,18,,,,,,,,,,,,,,o
19,/html/body/document/type/sequence/filename/description/text/center[2]/div/table/tbody/tr[5]/td[1],ARTICLE II,19,,,,,,,,,,,,,,o
20,/html/body/document/type/sequence/filename/description/text/center[2]/div/table/tbody/tr[7]/td[1],THE MERGER,20,,,,,,,,,,,,,,o
21,/html/body/document/type/sequence/filename/description/text/center[2]/div/table/tbody/tr[9]/td[1]/p,Section 2.1,21,,,,,,,,,,,,,,o
22,/html/body/document/type/sequence/filename/description/text/center[2]/div/table/tbody/tr[9]/td[3]/p,The Merger,22,,,,,,,,,,,,,,o
23,/html/body/document/type/sequence/filename/description/text/center[2]/div/table/tbody/tr[9]/td[6],2,23,,,,,,,,,,,,,,o
24,/html/body/document/type/sequence/filename/description/text/center[2]/div/table/tbody/tr[10]/td[1]/p,Section 2.2,24,,,,,,,,,,,,,,o
25,/html/body/document/type/sequence/filename/description/text/center[2]/div/table/tbody/tr[10]/td[3]/p,The Closing,25,,,,,,,,,,,,,,o
