,xpaths,text,all_nodes_ordering,highlighted_xpaths,highlighted_segmented_text,highlighted_labels,segment_number_from_idx,highlighted_coordinates,num_entries_1,exploded_highlight_node_order,top,left,width,height,top_via_line_group,size,tagged_sequence
0,/html/body/document/type,EX-2.1,0,,,,,,,,,,,,,,o
1,/html/body/document/type/sequence,2,1,,,,,,,,,,,,,,o
2,/html/body/document/type/sequence/filename,tm2128840d1_ex2-1.htm,2,,,,,,,,,,,,,,o
3,/html/body/document/type/sequence/filename/description,EXHIBIT 2.1,3,,,,,,,,,,,,,,o
4,/html/body/document/type/sequence/filename/description/text/p[3]/font/b,Exhibit 2.1,4,,,,,,,,,,,,,,o
5,/html/body/document/type/sequence/filename/description/text/p[6]/font,AGREEMENT AND PLAN OF MERGER,5,/html/body/document/type/sequence/filename/description/text/p[6]/font,AGREEMENT AND PLAN OF MERGER,t,0,"[0.0018892069796501252, 0.004730928444707274, 0.9903429923122413, 0.0044329480542663335]",7.0,0.0,0.0018892069796501252,0.004730928444707274,0.9903429923122413,0.0044329480542663335,0.0018892069796501252,7.0,b_t
6,/html/body/document/type/sequence/filename/description/text/p[8]/font,among,6,/html/body/document/type/sequence/filename/description/text/p[8]/font,among,t,0,"[0.0018892069796501252, 0.004730928444707274, 0.9903429923122413, 0.0044329480542663335]",7.0,1.0,0.0018892069796501252,0.004730928444707274,0.9903429923122413,0.0044329480542663335,0.0018892069796501252,7.0,i_t
7,/html/body/document/type/sequence/filename/description/text/p[10]/font,MERCK SHARP & DOHME CORP.,7,/html/body/document/type/sequence/filename/description/text/p[10]/font,MERCK SHARP & DOHME CORP.,t,0,"[0.0018892069796501252, 0.004730928444707274, 0.9903429923122413, 0.0044329480542663335]",7.0,2.0,0.0018892069796501252,0.004730928444707274,0.9903429923122413,0.0044329480542663335,0.0018892069796501252,7.0,i_t
8,/html/body/document/type/sequence/filename/description/text/p[12]/font,"ASTROS MERGER SUB, INC.",8,/html/body/document/type/sequence/filename/description/text/p[12]/font,"ASTROS MERGER SUB, INC.",t,0,"[0.0018892069796501252, 0.004730928444707274, 0.9903429923122413, 0.0044329480542663335]",7.0,3.0,0.0018892069796501252,0.004730928444707274,0.9903429923122413,0.0044329480542663335,0.0018892069796501252,7.0,i_t
9,/html/body/document/type/sequence/filename/description/text/p[14]/font,and,9,/html/body/document/type/sequence/filename/description/text/p[14]/font,and,t,0,"[0.0018892069796501252, 0.004730928444707274, 0.9903429923122413, 0.0044329480542663335]",7.0,4.0,0.0018892069796501252,0.004730928444707274,0.9903429923122413,0.0044329480542663335,0.0018892069796501252,7.0,i_t
10,/html/body/document/type/sequence/filename/description/text/p[16]/font,ACCELERON PHARMA INC.,10,/html/body/document/type/sequence/filename/description/text/p[16]/font,ACCELERON PHARMA INC.,t,0,"[0.0018892069796501252, 0.004730928444707274, 0.9903429923122413, 0.0044329480542663335]",7.0,5.0,0.0018892069796501252,0.004730928444707274,0.9903429923122413,0.0044329480542663335,0.0018892069796501252,7.0,i_t
11,/html/body/document/type/sequence/filename/description/text/p[18]/font,"Dated as of September 29, 2021",11,/html/body/document/type/sequence/filename/description/text/p[18]/font,"Dated as of September 29, 2021",t,0,"[0.0018892069796501252, 0.004730928444707274, 0.9903429923122413, 0.0044329480542663335]",7.0,6.0,0.0018892069796501252,0.004730928444707274,0.9903429923122413,0.0044329480542663335,0.0018892069796501252,7.0,e_t
12,/html/body/document/type/sequence/filename/description/text/p[23]/font,TABLE OF CONTENTS,12,/html/body/document/type/sequence/filename/description/text/p[23]/font,TABLE OF CONTENTS,t,1,"[0.00862787843627276, 0.4599166173861621, 0.079969840331165, 0.0003272648161370939]",1.0,7.0,0.00862787843627276,0.4599166173861621,0.079969840331165,0.0003272648161370939,0.00862787843627276,1.0,s_t
13,/html/body/document/type/sequence/filename/description/text/table[1]/tbody/tr[1]/td[1]/font,Article I     THE OFFER,13,,,,,,,,,,,,,,o
14,/html/body/document/type/sequence/filename/description/text/table[1]/tbody/tr[1]/td[2]/font,2,14,,,,,,,,,,,,,,o
15,/html/body/document/type/sequence/filename/description/text/table[1]/tbody/tr[2]/td[1]/font,Section 1.1.,15,,,,,,,,,,,,,,o
16,/html/body/document/type/sequence/filename/description/text/table[1]/tbody/tr[2]/td[2]/font,The Offer,16,,,,,,,,,,,,,,o
17,/html/body/document/type/sequence/filename/description/text/table[1]/tbody/tr[2]/td[3],4,17,,,,,,,,,,,,,,o
18,/html/body/document/type/sequence/filename/description/text/table[1]/tbody/tr[3]/td[1]/font,Section 1.2.,18,,,,,,,,,,,,,,o
19,/html/body/document/type/sequence/filename/description/text/table[1]/tbody/tr[3]/td[2]/font,Company Consent; Schedule     14D-9,19,,,,,,,,,,,,,,o
20,/html/body/document/type/sequence/filename/description/text/table[1]/tbody/tr[3]/td[3]/font,5,20,,,,,,,,,,,,,,o
21,/html/body/document/type/sequence/filename/description/text/table[1]/tbody/tr[4]/td[1]/font,Section 1.3.,21,,,,,,,,,,,,,,o
22,/html/body/document/type/sequence/filename/description/text/table[1]/tbody/tr[4]/td[2]/font,Stockholder Lists,22,,,,,,,,,,,,,,o
23,/html/body/document/type/sequence/filename/description/text/table[1]/tbody/tr[4]/td[3]/font,5,23,,,,,,,,,,,,,,o
24,/html/body/document/type/sequence/filename/description/text/table[1]/tbody/tr[5]/td[1]/font,Article II     THE MERGER,24,,,,,,,,,,,,,,o
25,/html/body/document/type/sequence/filename/description/text/table[1]/tbody/tr[5]/td[2]/font,5,25,,,,,,,,,,,,,,o
26,/html/body/document/type/sequence/filename/description/text/table[1]/tbody/tr[6]/td[1]/font,Section 2.1.,26,,,,,,,,,,,,,,o
