,xpaths,text,all_nodes_ordering,highlighted_xpaths,highlighted_segmented_text,highlighted_labels,segment_number_from_idx,highlighted_coordinates,num_entries_1,exploded_highlight_node_order,top,left,width,height,top_via_line_group,size,tagged_sequence
0,/html/body/document/type,EX-2.1,0,,,,,,,,,,,,,,o
1,/html/body/document/type/sequence,2,1,,,,,,,,,,,,,,o
2,/html/body/document/type/sequence/filename,nc10015594x7_ex2-1.htm,2,,,,,,,,,,,,,,o
3,/html/body/document/type/sequence/filename/description,EXHIBIT 2.1,3,,,,,,,,,,,,,,o
4,/html/body/document/type/sequence/filename/description/text/div[1]/div[1]/font,Exhibit 2.1,4,,,,,,,,,,,,,,o
5,/html/body/document/type/sequence/filename/description/text/div[1]/div[3],AGREEMENT AND PLAN OF MERGER,5,/html/body/document/type/sequence/filename/description/text/div[1]/div[3],AGREEMENT AND PLAN OF MERGER,t,0,"[0.0020405429372389724, 0.004730928444707274, 0.9903429923122413, 0.005683019623548258]",7.0,0.0,0.0020405429372389724,0.004730928444707274,0.9903429923122413,0.005683019623548258,0.0020405429372389724,7.0,b_t
6,/html/body/document/type/sequence/filename/description/text/div[1]/div[5],between,6,/html/body/document/type/sequence/filename/description/text/div[1]/div[5],between,t,0,"[0.0020405429372389724, 0.004730928444707274, 0.9903429923122413, 0.005683019623548258]",7.0,1.0,0.0020405429372389724,0.004730928444707274,0.9903429923122413,0.005683019623548258,0.0020405429372389724,7.0,i_t
7,/html/body/document/type/sequence/filename/description/text/div[1]/div[7],"IRC SUPERMAN MIDCO, LLC,",7,/html/body/document/type/sequence/filename/description/text/div[1]/div[7],"IRC SUPERMAN MIDCO, LLC,",t,0,"[0.0020405429372389724, 0.004730928444707274, 0.9903429923122413, 0.005683019623548258]",7.0,2.0,0.0020405429372389724,0.004730928444707274,0.9903429923122413,0.005683019623548258,0.0020405429372389724,7.0,i_t
8,/html/body/document/type/sequence/filename/description/text/div[1]/div[9],"SUPERMAN MERGER SUB, INC.",8,/html/body/document/type/sequence/filename/description/text/div[1]/div[9],"SUPERMAN MERGER SUB, INC.",t,0,"[0.0020405429372389724, 0.004730928444707274, 0.9903429923122413, 0.005683019623548258]",7.0,3.0,0.0020405429372389724,0.004730928444707274,0.9903429923122413,0.005683019623548258,0.0020405429372389724,7.0,i_t
9,/html/body/document/type/sequence/filename/description/text/div[1]/div[11],and,9,/html/body/document/type/sequence/filename/description/text/div[1]/div[11],and,t,0,"[0.0020405429372389724, 0.004730928444707274, 0.9903429923122413, 0.005683019623548258]",7.0,4.0,0.0020405429372389724,0.004730928444707274,0.9903429923122413,0.005683019623548258,0.0020405429372389724,7.0,i_t
10,/html/body/document/type/sequence/filename/description/text/div[1]/div[13],"AMERICAN RENAL ASSOCIATES HOLDINGS, INC.",10,/html/body/document/type/sequence/filename/description/text/div[1]/div[13],"AMERICAN RENAL ASSOCIATES HOLDINGS, INC.",t,0,"[0.0020405429372389724, 0.004730928444707274, 0.9903429923122413, 0.005683019623548258]",7.0,5.0,0.0020405429372389724,0.004730928444707274,0.9903429923122413,0.005683019623548258,0.0020405429372389724,7.0,i_t
11,/html/body/document/type/sequence/filename/description/text/div[1]/div[15],"Dated as of October 1, 2020",11,/html/body/document/type/sequence/filename/description/text/div[1]/div[15],"Dated as of October 1, 2020",t,0,"[0.0020405429372389724, 0.004730928444707274, 0.9903429923122413, 0.005683019623548258]",7.0,6.0,0.0020405429372389724,0.004730928444707274,0.9903429923122413,0.005683019623548258,0.0020405429372389724,7.0,e_t
12,/html/body/document/type/sequence/filename/description/text/div[1]/div[18]/u,TABLE OF CONTENTS,12,/html/body/document/type/sequence/filename/description/text/div[1]/div[18]/u,TABLE OF CONTENTS,t,1,"[0.00900128725899651, 0.4578344175044352, 0.0841277350680071, 0.0004195520338692145]",1.0,7.0,0.00900128725899651,0.4578344175044352,0.0841277350680071,0.0004195520338692145,0.00900128725899651,1.0,s_t
13,/html/body/document/type/sequence/filename/description/text/div[1]/div[20],Page,13,,,,,,,,,,,,,,o
14,/html/body/document/type/sequence/filename/description/text/div[1]/table[1]/tbody/tr[1]/td[1]/div,Article I THE MERGER,14,,,,,,,,,,,,,,o
15,/html/body/document/type/sequence/filename/description/text/div[1]/table[1]/tbody/tr[1]/td[2]/div,2,15,,,,,,,,,,,,,,o
16,/html/body/document/type/sequence/filename/description/text/div[1]/table[1]/tbody/tr[3]/td[2]/div,Section 1.1.,16,,,,,,,,,,,,,,o
17,/html/body/document/type/sequence/filename/description/text/div[1]/table[1]/tbody/tr[3]/td[3]/div,The Merger,17,,,,,,,,,,,,,,o
18,/html/body/document/type/sequence/filename/description/text/div[1]/table[1]/tbody/tr[3]/td[4]/div,2,18,,,,,,,,,,,,,,o
19,/html/body/document/type/sequence/filename/description/text/div[1]/table[1]/tbody/tr[4]/td[2]/div,Section 1.2.,19,,,,,,,,,,,,,,o
20,/html/body/document/type/sequence/filename/description/text/div[1]/table[1]/tbody/tr[4]/td[3]/div,Closing,20,,,,,,,,,,,,,,o
21,/html/body/document/type/sequence/filename/description/text/div[1]/table[1]/tbody/tr[4]/td[4]/div,2,21,,,,,,,,,,,,,,o
22,/html/body/document/type/sequence/filename/description/text/div[1]/table[1]/tbody/tr[5]/td[2]/div,Section 1.3.,22,,,,,,,,,,,,,,o
23,/html/body/document/type/sequence/filename/description/text/div[1]/table[1]/tbody/tr[5]/td[3]/div,Effective Time,23,,,,,,,,,,,,,,o
24,/html/body/document/type/sequence/filename/description/text/div[1]/table[1]/tbody/tr[5]/td[4]/div,2,24,,,,,,,,,,,,,,o
