,xpaths,text,all_nodes_ordering,highlighted_xpaths,highlighted_segmented_text,highlighted_labels,segment_number_from_idx,highlighted_coordinates,num_entries_1,exploded_highlight_node_order,top,left,width,height,top_via_line_group,size,tagged_sequence
0,/html/body/document/type,EX-2.1,0,,,,,,,,,,,,,,o
1,/html/body/document/type/sequence,2,1,,,,,,,,,,,,,,o
2,/html/body/document/type/sequence/filename,ex_219664.htm,2,,,,,,,,,,,,,,o
3,/html/body/document/type/sequence/filename/description,EXHIBIT 2.1,3,,,,,,,,,,,,,,o
4,/html/body/document/type/sequence/filename/description/text/title,ex_219664.htm,4,,,,,,,,,,,,,,o
5,/html/body/document/type/sequence/filename/description/text/p[1]/font/b,Exhibit 2.1,5,,,,,,,,,,,,,,o
6,/html/body/document/type/sequence/filename/description/text/p[3]/b,AGREEMENT AND PLAN OF MERGER,6,/html/body/document/type/sequence/filename/description/text/p[3]/b,AGREEMENT AND PLAN OF MERGER,t,0,"[0.0014080100125156445, 0.010404376108811356, 0.9789946777054997, 0.0051800949103045476]",7.0,0.0,0.0014080100125156445,0.010404376108811356,0.9789946777054997,0.0051800949103045476,0.0014080100125156445,7.0,b_t
7,/html/body/document/type/sequence/filename/description/text/p[5]/b,by and among,7,/html/body/document/type/sequence/filename/description/text/p[5]/b,by and among,t,0,"[0.0014080100125156445, 0.010404376108811356, 0.9789946777054997, 0.0051800949103045476]",7.0,1.0,0.0014080100125156445,0.010404376108811356,0.9789946777054997,0.0051800949103045476,0.0014080100125156445,7.0,i_t
8,/html/body/document/type/sequence/filename/description/text/p[7]/b,"ALASKA COMMUNICATIONS SYSTEMS GROUP, INC.,",8,/html/body/document/type/sequence/filename/description/text/p[7]/b,"ALASKA COMMUNICATIONS SYSTEMS GROUP, INC.,",t,0,"[0.0014080100125156445, 0.010404376108811356, 0.9789946777054997, 0.0051800949103045476]",7.0,2.0,0.0014080100125156445,0.010404376108811356,0.9789946777054997,0.0051800949103045476,0.0014080100125156445,7.0,i_t
9,/html/body/document/type/sequence/filename/description/text/p[9]/b,"PROJECT 8 BUYER, LLC,",9,/html/body/document/type/sequence/filename/description/text/p[9]/b,"PROJECT 8 BUYER, LLC,",t,0,"[0.0014080100125156445, 0.010404376108811356, 0.9789946777054997, 0.0051800949103045476]",7.0,3.0,0.0014080100125156445,0.010404376108811356,0.9789946777054997,0.0051800949103045476,0.0014080100125156445,7.0,i_t
10,/html/body/document/type/sequence/filename/description/text/p[11]/b,and,10,/html/body/document/type/sequence/filename/description/text/p[11]/b,and,t,0,"[0.0014080100125156445, 0.010404376108811356, 0.9789946777054997, 0.0051800949103045476]",7.0,4.0,0.0014080100125156445,0.010404376108811356,0.9789946777054997,0.0051800949103045476,0.0014080100125156445,7.0,i_t
11,/html/body/document/type/sequence/filename/description/text/p[13]/b,"PROJECT 8 MERGERSUB, INC.",11,/html/body/document/type/sequence/filename/description/text/p[13]/b,"PROJECT 8 MERGERSUB, INC.",t,0,"[0.0014080100125156445, 0.010404376108811356, 0.9789946777054997, 0.0051800949103045476]",7.0,5.0,0.0014080100125156445,0.010404376108811356,0.9789946777054997,0.0051800949103045476,0.0014080100125156445,7.0,i_t
12,/html/body/document/type/sequence/filename/description/text/p[15]/b,"December 31, 2020",12,/html/body/document/type/sequence/filename/description/text/p[15]/b,"December 31, 2020",t,0,"[0.0014080100125156445, 0.010404376108811356, 0.9789946777054997, 0.0051800949103045476]",7.0,6.0,0.0014080100125156445,0.010404376108811356,0.9789946777054997,0.0051800949103045476,0.0014080100125156445,7.0,e_t
13,/html/body/document/type/sequence/filename/description/text/p[18]/b,TABLE OF CONTENTS,13,/html/body/document/type/sequence/filename/description/text/p[18]/b,TABLE OF CONTENTS,t,1,"[0.00860450563204005, 0.4578344175044352, 0.0841277350680071, 0.0003824233416770964]",1.0,7.0,0.00860450563204005,0.4578344175044352,0.0841277350680071,0.0003824233416770964,0.00860450563204005,1.0,s_t
14,/html/body/document/type/sequence/filename/description/text/table[1]/tbody/tr[1]/td[3]/b,Page,14,,,,,,,,,,,,,,o
15,/html/body/document/type/sequence/filename/description/text/table[1]/tbody/tr[3]/td[1]/p/b,ARTICLE 1,15,,,,,,,,,,,,,,o
16,/html/body/document/type/sequence/filename/description/text/table[1]/tbody/tr[3]/td[1]/p,DEFINITIONS,16,,,,,,,,,,,,,,o
17,/html/body/document/type/sequence/filename/description/text/table[1]/tbody/tr[3]/td[2]/p,1,17,,,,,,,,,,,,,,o
18,/html/body/document/type/sequence/filename/description/text/table[1]/tbody/tr[4]/td[1]/p,Section 1.01,18,,,,,,,,,,,,,,o
19,/html/body/document/type/sequence/filename/description/text/table[1]/tbody/tr[4]/td[2]/p,Definitions,19,,,,,,,,,,,,,,o
20,/html/body/document/type/sequence/filename/description/text/table[1]/tbody/tr[4]/td[3]/p,1,20,,,,,,,,,,,,,,o
21,/html/body/document/type/sequence/filename/description/text/table[1]/tbody/tr[5]/td[1]/p,Section 1.02,21,,,,,,,,,,,,,,o
22,/html/body/document/type/sequence/filename/description/text/table[1]/tbody/tr[5]/td[2]/p,Other Definitional and Interpretative Provisions,22,,,,,,,,,,,,,,o
23,/html/body/document/type/sequence/filename/description/text/table[1]/tbody/tr[5]/td[3]/p,16,23,,,,,,,,,,,,,,o
24,/html/body/document/type/sequence/filename/description/text/table[1]/tbody/tr[6]/td[1]/p/b,ARTICLE 2,24,,,,,,,,,,,,,,o
25,/html/body/document/type/sequence/filename/description/text/table[1]/tbody/tr[6]/td[1]/p,THE MERGER,25,,,,,,,,,,,,,,o
26,/html/body/document/type/sequence/filename/description/text/table[1]/tbody/tr[6]/td[2]/p,17,26,,,,,,,,,,,,,,o
