,xpaths,text,all_nodes_ordering,highlighted_xpaths,highlighted_segmented_text,highlighted_labels,segment_number_from_idx,highlighted_coordinates,num_entries_1,exploded_highlight_node_order,top,left,width,height,top_via_line_group,size,tagged_sequence
0,/html/body/document/type,EX-2.1,0,,,,,,,,,,,,,,o
1,/html/body/document/type/sequence,2,1,,,,,,,,,,,,,,o
2,/html/body/document/type/sequence/filename,tm2113479d1_ex2-1.htm,2,,,,,,,,,,,,,,o
3,/html/body/document/type/sequence/filename/description,EXHIBIT 2.1,3,,,,,,,,,,,,,,o
4,/html/body/document/type/sequence/filename/description/text/p[2]/b,Exhibit 2.1,4,,,,,,,,,,,,,,o
5,/html/body/document/type/sequence/filename/description/text/p[4]/u,EXECUTION VERSION,5,,,,,,,,,,,,,,o
6,/html/body/document/type/sequence/filename/description/text/p[6],AGREEMENT AND PLAN OF MERGER,6,/html/body/document/type/sequence/filename/description/text/p[6],AGREEMENT AND PLAN OF MERGER,t,0,"[0.0025915377312498394, 0.005614035087719298, 0.9887719298245614, 0.005029122725989788]",8.0,0.0,0.0025915377312498394,0.005614035087719298,0.9887719298245614,0.005029122725989788,0.0025915377312498394,6.0,b_t
7,/html/body/document/type/sequence/filename/description/text/p[8],by and between,7,/html/body/document/type/sequence/filename/description/text/p[8],by and between,t,0,"[0.0025915377312498394, 0.005614035087719298, 0.9887719298245614, 0.005029122725989788]",8.0,1.0,0.0025915377312498394,0.005614035087719298,0.9887719298245614,0.005029122725989788,0.0025915377312498394,6.0,i_t
8,/html/body/document/type/sequence/filename/description/text/p[10]/font,STERLING BANCORP,8,/html/body/document/type/sequence/filename/description/text/p[10]/font,STERLING BANCORP,t,0,"[0.0025915377312498394, 0.005614035087719298, 0.9887719298245614, 0.005029122725989788]",8.0,2.0,0.0025915377312498394,0.005614035087719298,0.9887719298245614,0.005029122725989788,0.0025915377312498394,6.0,i_t
9,/html/body/document/type/sequence/filename/description/text/p[12],and,9,/html/body/document/type/sequence/filename/description/text/p[12],and,t,0,"[0.0025915377312498394, 0.005614035087719298, 0.9887719298245614, 0.005029122725989788]",8.0,3.0,0.0025915377312498394,0.005614035087719298,0.9887719298245614,0.005029122725989788,0.0025915377312498394,6.0,i_t
10,/html/body/document/type/sequence/filename/description/text/p[14]/font,WEBSTER FINANCIAL CORPORATION,10,/html/body/document/type/sequence/filename/description/text/p[14]/font,WEBSTER FINANCIAL CORPORATION,t,0,"[0.0025915377312498394, 0.005614035087719298, 0.9887719298245614, 0.005029122725989788]",8.0,4.0,0.0025915377312498394,0.005614035087719298,0.9887719298245614,0.005029122725989788,0.0025915377312498394,6.0,i_t
11,/html/body/document/type/sequence/filename/description/text/p[19],"Dated as of April 18, 2021",11,/html/body/document/type/sequence/filename/description/text/p[19],"Dated as of April 18, 2021",t,0,"[0.0025915377312498394, 0.005614035087719298, 0.9887719298245614, 0.005029122725989788]",8.0,5.0,0.0025915377312498394,0.005614035087719298,0.9887719298245614,0.005029122725989788,0.0025915377312498394,6.0,e_t
12,/html/body/document/type/sequence/filename/description/text/p[20],TABLE OF CONTENTS,12,/html/body/document/type/sequence/filename/description/text/p[20],TABLE OF CONTENTS,st,1,"[0.00907038205937444, 0.45256, 0.0948736842105263, 0.00038488184127472865]",1.0,6.0,0.00907038205937444,0.45256,0.0948736842105263,0.00038488184127472865,0.00907038205937444,1.0,s_st
13,/html/body/document/type/sequence/filename/description/text/table[1]/tbody/tr[1]/td/p[1],Article I,13,,,,,,,,,,,,,,o
14,/html/body/document/type/sequence/filename/description/text/table[1]/tbody/tr[1]/td/p[3],THE MERGER,14,,,,,,,,,,,,,,o
15,/html/body/document/type/sequence/filename/description/text/table[1]/tbody/tr[2]/td[1],1.1,15,,,,,,,,,,,,,,o
16,/html/body/document/type/sequence/filename/description/text/table[1]/tbody/tr[2]/td[2],The Merger,16,,,,,,,,,,,,,,o
17,/html/body/document/type/sequence/filename/description/text/table[1]/tbody/tr[2]/td[3],1,17,,,,,,,,,,,,,,o
18,/html/body/document/type/sequence/filename/description/text/table[1]/tbody/tr[3]/td[1],1.2,18,,,,,,,,,,,,,,o
19,/html/body/document/type/sequence/filename/description/text/table[1]/tbody/tr[3]/td[2],Closing,19,,,,,,,,,,,,,,o
20,/html/body/document/type/sequence/filename/description/text/table[1]/tbody/tr[3]/td[3],1,20,,,,,,,,,,,,,,o
21,/html/body/document/type/sequence/filename/description/text/table[1]/tbody/tr[4]/td[1],1.3,21,,,,,,,,,,,,,,o
22,/html/body/document/type/sequence/filename/description/text/table[1]/tbody/tr[4]/td[2],Effective Time,22,,,,,,,,,,,,,,o
23,/html/body/document/type/sequence/filename/description/text/table[1]/tbody/tr[4]/td[3],2,23,,,,,,,,,,,,,,o
24,/html/body/document/type/sequence/filename/description/text/table[1]/tbody/tr[5]/td[1],1.4,24,,,,,,,,,,,,,,o
25,/html/body/document/type/sequence/filename/description/text/table[1]/tbody/tr[5]/td[2],Effects of the Merger,25,,,,,,,,,,,,,,o
26,/html/body/document/type/sequence/filename/description/text/table[1]/tbody/tr[5]/td[3],2,26,,,,,,,,,,,,,,o
27,/html/body/document/type/sequence/filename/description/text/table[1]/tbody/tr[6]/td[1],1.5,27,,,,,,,,,,,,,,o
28,/html/body/document/type/sequence/filename/description/text/table[1]/tbody/tr[6]/td[2],Conversion of Sterling Common Stock,28,,,,,,,,,,,,,,o
29,/html/body/document/type/sequence/filename/description/text/table[1]/tbody/tr[6]/td[3],2,29,,,,,,,,,,,,,,o
30,/html/body/document/type/sequence/filename/description/text/table[1]/tbody/tr[7]/td[1],1.6,30,,,,,,,,,,,,,,o
