,xpaths,text,all_nodes_ordering,highlighted_xpaths,highlighted_segmented_text,highlighted_labels,segment_number_from_idx,highlighted_coordinates,num_entries_1,exploded_highlight_node_order,top,left,width,height,top_via_line_group,size,tagged_sequence
0,/html/body/document/type,EX-2.1,0,,,,,,,,,,,,,,o
1,/html/body/document/type/sequence,2,1,,,,,,,,,,,,,,o
2,/html/body/document/type/sequence/filename,d163730dex21.htm,2,,,,,,,,,,,,,,o
3,/html/body/document/type/sequence/filename/description,EX-2.1,3,,,,,,,,,,,,,,o
4,/html/body/document/type/sequence/filename/description/text/title,EX-2.1,4,,,,,,,,,,,,,,o
5,/html/body/document/type/sequence/filename/description/text/center[1]/div/p[1]/b,Exhibit 2.1,5,,,,,,,,,,,,,,o
6,/html/body/document/type/sequence/filename/description/text/center[1]/div/p[2],EXECUTION VERSION,6,,,,,,,,,,,,,,o
7,/html/body/document/type/sequence/filename/description/text/center[1]/div/p[5],AGREEMENT AND PLAN OF MERGER,7,/html/body/document/type/sequence/filename/description/text/center[1]/div/p[5],AGREEMENT AND PLAN OF MERGER,t,0,"[0.002139383362420012, 0.21368421052631578, 0.5726315789473684, 0.003955788248981966]",7.0,0.0,0.002139383362420012,0.21368421052631578,0.5726315789473684,0.003955788248981966,0.002139383362420012,7.0,b_t
8,/html/body/document/type/sequence/filename/description/text/center[1]/div/p[6],among,8,/html/body/document/type/sequence/filename/description/text/center[1]/div/p[6],among,t,0,"[0.002139383362420012, 0.21368421052631578, 0.5726315789473684, 0.003955788248981966]",7.0,1.0,0.002139383362420012,0.21368421052631578,0.5726315789473684,0.003955788248981966,0.002139383362420012,7.0,i_t
9,/html/body/document/type/sequence/filename/description/text/center[1]/div/p[7],"COVANTA HOLDING CORPORATION,",9,/html/body/document/type/sequence/filename/description/text/center[1]/div/p[7],"COVANTA HOLDING CORPORATION,",t,0,"[0.002139383362420012, 0.21368421052631578, 0.5726315789473684, 0.003955788248981966]",7.0,2.0,0.002139383362420012,0.21368421052631578,0.5726315789473684,0.003955788248981966,0.002139383362420012,7.0,i_t
10,/html/body/document/type/sequence/filename/description/text/center[1]/div/p[8],"COVERT INTERMEDIATE, INC.,",10,/html/body/document/type/sequence/filename/description/text/center[1]/div/p[8],"COVERT INTERMEDIATE, INC.,",t,0,"[0.002139383362420012, 0.21368421052631578, 0.5726315789473684, 0.003955788248981966]",7.0,3.0,0.002139383362420012,0.21368421052631578,0.5726315789473684,0.003955788248981966,0.002139383362420012,7.0,i_t
11,/html/body/document/type/sequence/filename/description/text/center[1]/div/p[9],and,11,/html/body/document/type/sequence/filename/description/text/center[1]/div/p[9],and,t,0,"[0.002139383362420012, 0.21368421052631578, 0.5726315789473684, 0.003955788248981966]",7.0,4.0,0.002139383362420012,0.21368421052631578,0.5726315789473684,0.003955788248981966,0.002139383362420012,7.0,i_t
12,/html/body/document/type/sequence/filename/description/text/center[1]/div/p[10],"COVERT MERGECO, INC.",12,/html/body/document/type/sequence/filename/description/text/center[1]/div/p[10],"COVERT MERGECO, INC.",t,0,"[0.002139383362420012, 0.21368421052631578, 0.5726315789473684, 0.003955788248981966]",7.0,5.0,0.002139383362420012,0.21368421052631578,0.5726315789473684,0.003955788248981966,0.002139383362420012,7.0,i_t
13,/html/body/document/type/sequence/filename/description/text/center[1]/div/p[11],"Dated as of July 14, 2021",13,/html/body/document/type/sequence/filename/description/text/center[1]/div/p[11],"Dated as of July 14, 2021",t,0,"[0.002139383362420012, 0.21368421052631578, 0.5726315789473684, 0.003955788248981966]",7.0,6.0,0.002139383362420012,0.21368421052631578,0.5726315789473684,0.003955788248981966,0.002139383362420012,7.0,e_t
14,/html/body/document/type/sequence/filename/description/text/center[2]/div/p[1]/u,TABLE OF CONTENTS,14,/html/body/document/type/sequence/filename/description/text/center[2]/div/p[1]/u,TABLE OF CONTENTS,st,1,"[0.007206825673841381, 0.45256, 0.0948736842105263, 0.00029086678301337986]",1.0,7.0,0.007206825673841381,0.45256,0.0948736842105263,0.00029086678301337986,0.007206825673841381,1.0,s_st
15,/html/body/document/type/sequence/filename/description/text/center[2]/div/table/tbody/tr[2]/td[6]/b/u,Page,15,,,,,,,,,,,,,,o
16,/html/body/document/type/sequence/filename/description/text/center[2]/div/table/tbody/tr[3]/td[1],ARTICLE I,16,,,,,,,,,,,,,,o
17,/html/body/document/type/sequence/filename/description/text/center[2]/div/table/tbody/tr[5]/td[1],DEFINITIONS,17,,,,,,,,,,,,,,o
18,/html/body/document/type/sequence/filename/description/text/center[2]/div/table/tbody/tr[7]/td[1]/p,Section 1.1,18,,,,,,,,,,,,,,o
19,/html/body/document/type/sequence/filename/description/text/center[2]/div/table/tbody/tr[7]/td[3],Definitions,19,,,,,,,,,,,,,,o
20,/html/body/document/type/sequence/filename/description/text/center[2]/div/table/tbody/tr[7]/td[6],2,20,,,,,,,,,,,,,,o
21,/html/body/document/type/sequence/filename/description/text/center[2]/div/table/tbody/tr[8]/td[1]/p,Section 1.2,21,,,,,,,,,,,,,,o
22,/html/body/document/type/sequence/filename/description/text/center[2]/div/table/tbody/tr[8]/td[3],Table of Definitions,22,,,,,,,,,,,,,,o
23,/html/body/document/type/sequence/filename/description/text/center[2]/div/table/tbody/tr[8]/td[6],15,23,,,,,,,,,,,,,,o
24,/html/body/document/type/sequence/filename/description/text/center[2]/div/table/tbody/tr[9]/td[1]/p,Section 1.3,24,,,,,,,,,,,,,,o
25,/html/body/document/type/sequence/filename/description/text/center[2]/div/table/tbody/tr[9]/td[3],Other Definitional and Interpretative Provisions,25,,,,,,,,,,,,,,o
