,highlighted_xpaths,highlighted_segmented_text,highlighted_labels,segment_number_from_idx,highlighted_coordinates,num_entries_1,exploded_highlight_node_order,top,left,width,height,top_via_line_group,size,period_space_section_title,is_section_title
18,/html/body/document/type/sequence/filename/description/text/center[5]/div/p[9],.,sst,10,"[0.04888981985756179, 0.2809319298245614, 0.04598680701754386, 0.00025136154168412233]",2,18,0.04888981985756179,0.2809319298245614,0.04598680701754386,0.00025136154168412233,0.04888981985756179,2,True,1.0
21,/html/body/document/type/sequence/filename/description/text/center[5]/div/p[10],.,sst,12,"[0.05019689987431923, 0.28101403508771927, 0.03145284210526316, 0.00025136154168412233]",2,21,0.05019689987431923,0.28101403508771927,0.03145284210526316,0.00025136154168412233,0.05019689987431923,2,True,1.0
24,/html/body/document/type/sequence/filename/description/text/center[5]/div/p[11],.,sst,14,"[0.052023460410557186, 0.28101403508771927, 0.06028505263157895, 0.00025136154168412233]",2,24,0.052023460410557186,0.28101403508771927,0.06028505263157895,0.00025136154168412233,0.052023460410557186,2,True,1.0
27,/html/body/document/type/sequence/filename/description/text/center[6]/div/p[1],.,sst,16,"[0.053774612484289906, 0.28101403508771927, 0.07810315789473685, 0.00025136154168412233]",2,27,0.053774612484289906,0.28101403508771927,0.07810315789473685,0.00025136154168412233,0.053774612484289906,2,True,1.0
32,/html/body/document/type/sequence/filename/description/text/center[6]/div/p[2],". At the Effective Time, the re",sst,18,"[0.05508169250104734, 0.28101403508771927, 0.3029108771929825, 0.00025136154168412233]",4,32,0.05508169250104734,0.28101403508771927,0.3029108771929825,0.00025136154168412233,0.05508169250104734,4,True,1.0
35,/html/body/document/type/sequence/filename/description/text/center[6]/div/p[3],.,sst,20,"[0.05716799329702556, 0.28101403508771927, 0.19648561403508774, 0.00025136154168412233]",2,35,0.05716799329702556,0.28101403508771927,0.19648561403508774,0.00025136154168412233,0.05716799329702556,2,True,1.0
38,/html/body/document/type/sequence/filename/description/text/center[6]/div/p[4],.,sst,22,"[0.05847507331378299, 0.28101403508771927, 0.07639789473684211, 0.00025136154168412233]",2,38,0.05847507331378299,0.28101403508771927,0.07639789473684211,0.00025136154168412233,0.05847507331378299,2,True,1.0
43,/html/body/document/type/sequence/filename/description/text/center[6]/div/p[7],.,sst,26,"[0.062144951822371175, 0.28101403508771927, 0.09691368421052632, 0.00025136154168412233]",2,43,0.062144951822371175,0.28101403508771927,0.09691368421052632,0.00025136154168412233,0.062144951822371175,2,True,1.0
49,/html/body/document/type/sequence/filename/description/text/center[7]/div/p[4],.,sst,29,"[0.07204859656472559, 0.27867298245614036, 0.2026701754385965, 0.00025136154168412233]",4,49,0.07204859656472559,0.27867298245614036,0.2026701754385965,0.00025136154168412233,0.07204859656472559,4,True,1.0
56,/html/body/document/type/sequence/filename/description/text/center[11]/div/p[2],.,sst,35,"[0.11319648093841642, 0.2809319298245614, 0.1354659649122807, 0.00025136154168412233]",2,56,0.11319648093841642,0.2809319298245614,0.1354659649122807,0.00025136154168412233,0.11319648093841642,2,True,1.0
62,/html/body/document/type/sequence/filename/description/text/center[12]/div/p[6],. ,sst,38,"[0.1333975701717637, 0.28101403508771927, 0.07285052631578948, 0.00025136154168412233]",4,62,0.1333975701717637,0.28101403508771927,0.07285052631578948,0.00025136154168412233,0.1333975701717637,4,True,1.0
66,/html/body/document/type/sequence/filename/description/text/center[13]/div/p[2],.,sst,41,"[0.1389945538332635, 0.28075649122807017, 0.04938049122807017, 0.00025136154168412233]",2,66,0.1389945538332635,0.28075649122807017,0.04938049122807017,0.00025136154168412233,0.1389945538332635,2,True,1.0
71,/html/body/document/type/sequence/filename/description/text/center[13]/div/p[6],.,sst,45,"[0.14578969417679094, 0.28101403508771927, 0.05100877192982456, 0.00025136154168412233]",2,71,0.14578969417679094,0.28101403508771927,0.05100877192982456,0.00025136154168412233,0.14578969417679094,2,True,1.0
75,/html/body/document/type/sequence/filename/description/text/center[14]/div/p[4],.,sst,48,"[0.15219103477167994, 0.28075649122807017, 0.21053754385964912, 0.00025136154168412233]",2,75,0.15219103477167994,0.28075649122807017,0.21053754385964912,0.00025136154168412233,0.15219103477167994,2,True,1.0
79,/html/body/document/type/sequence/filename/description/text/center[15]/div/p[1],.,sst,52,"[0.1591034771679933, 0.28101403508771927, 0.1502357894736842, 0.00025136154168412233]",2,79,0.1591034771679933,0.28101403508771927,0.1502357894736842,0.00025136154168412233,0.1591034771679933,2,True,1.0
82,/html/body/document/type/sequence/filename/description/text/center[15]/div/p[5],.,sst,54,"[0.16822790113112693, 0.28101403508771927, 0.054813614035087714, 0.00025136154168412233]",2,82,0.16822790113112693,0.28101403508771927,0.054813614035087714,0.00025136154168412233,0.16822790113112693,2,True,1.0
87,/html/body/document/type/sequence/filename/description/text/center[17]/div/p[4],.,sst,58,"[0.1856891495601173, 0.28101403508771927, 0.14731929824561404, 0.00025136154168412233]",2,87,0.1856891495601173,0.28101403508771927,0.14731929824561404,0.00025136154168412233,0.1856891495601173,2,True,1.0
91,/html/body/document/type/sequence/filename/description/text/center[18]/div/p[4],.,sst,61,"[0.20144951822371177, 0.28075649122807017, 0.10884842105263158, 0.00025136154168412233]",2,91,0.20144951822371177,0.28075649122807017,0.10884842105263158,0.00025136154168412233,0.20144951822371177,2,True,1.0
