,highlighted_xpaths,highlighted_segmented_text,highlighted_labels,segment_number_from_idx,highlighted_coordinates,num_entries_1,exploded_highlight_node_order,top,left,width,height,top_via_line_group,size,period_space_section_title,is_section_title
17,/html/body/document/type/sequence/filename/description/text/p[67],.,sst,140,"[0.08065431458927183, 0.12979583333333333, 0.07352986111111111, 0.00038870173620108835]",2,17,0.08065431458927183,0.12979583333333333,0.07352986111111111,0.00038870173620108835,0.08065431458927183,2,True,1.0
33,/html/body/document/type/sequence/filename/description/text/p[357],.,sst,141,"[0.24889582793469808, 0.12979583333333333, 0.05269638888888889, 0.00038870173620108835]",2,33,0.24889582793469808,0.12979583333333333,0.05269638888888889,0.00038870173620108835,0.24889582793469808,2,True,1.0
39,/html/body/document/type/sequence/filename/description/text/p[397],.,sst,142,"[0.26897382741642917, 0.12962777777777776, 0.04558916666666667, 0.00038870173620108835]",2,39,0.26897382741642917,0.12962777777777776,0.04558916666666667,0.00038870173620108835,0.26897382741642917,2,True,1.0
42,/html/body/document/type/sequence/filename/description/text/p[399],.,ssst,197,"[0.2697771443379114, 0.1318138888888889, 0.07912361111111112, 0.00038870173620108835]",2,42,0.2697771443379114,0.1318138888888889,0.07912361111111112,0.00038870173620108835,0.2697771443379114,2,True,1.0
45,/html/body/document/type/sequence/filename/description/text/p[401],.,ssst,199,"[0.27098211972013475, 0.13340416666666666, 0.057709444444444445, 0.00038870173620108835]",2,45,0.27098211972013475,0.13340416666666666,0.057709444444444445,0.00038870173620108835,0.27098211972013475,2,True,1.0
48,/html/body/document/type/sequence/filename/description/text/p[403],.,ssst,201,"[0.27218709510235817, 0.13390277777777776, 0.08642013888888889, 0.00038870173620108835]",2,48,0.27218709510235817,0.13390277777777776,0.08642013888888889,0.00038870173620108835,0.27218709510235817,2,True,1.0
52,/html/body/document/type/sequence/filename/description/text/p[406],.,ssst,203,"[0.2757968385592122, 0.1322701388888889, 0.08089166666666667, 0.00038870173620108835]",2,52,0.2757968385592122,0.1322701388888889,0.08089166666666667,0.00038870173620108835,0.2757968385592122,2,True,1.0
55,/html/body/document/type/sequence/filename/description/text/p[408],.,sst,143,"[0.2766001554806945, 0.13039791666666667, 0.031125208333333335, 0.00038870173620108835]",2,55,0.2766001554806945,0.13039791666666667,0.031125208333333335,0.00038870173620108835,0.2766001554806945,2,True,1.0
58,/html/body/document/type/sequence/filename/description/text/p[410],.,sst,144,"[0.2786084477844001, 0.12979583333333333, 0.10163333333333334, 0.00038870173620108835]",2,58,0.2786084477844001,0.12979583333333333,0.10163333333333334,0.00038870173620108835,0.2786084477844001,2,True,1.0
61,/html/body/document/type/sequence/filename/description/text/p[416],.,sst,145,"[0.2822233739310702, 0.13104375000000001, 0.19593611111111112, 0.00038870173620108835]",2,61,0.2822233739310702,0.13104375000000001,0.19593611111111112,0.00038870173620108835,0.2822233739310702,2,True,1.0
