,highlighted_xpaths,highlighted_segmented_text,highlighted_labels,segment_number_from_idx,highlighted_coordinates,num_entries_1,exploded_highlight_node_order,top,left,width,height,top_via_line_group,size,period_space_section_title,is_section_title
47,/html/body/document/type/sequence/filename/description/text/center[8]/div/p[7],.,sst,19,"[0.0924942043768546, 0.2505319298245614, 0.038706105263157896, 0.00034773738872403563]",2,47,0.0924942043768546,0.2505319298245614,0.038706105263157896,0.00034773738872403563,0.0924942043768546,2,True,1.0
50,/html/body/document/type/sequence/filename/description/text/center[8]/div/p[8],.,ssst,21,"[0.09303899295252226, 0.2779438596491228, 0.1094519298245614, 0.00034773738872403563]",2,50,0.09303899295252226,0.2779438596491228,0.1094519298245614,0.00034773738872403563,0.09303899295252226,2,True,1.0
53,/html/body/document/type/sequence/filename/description/text/center[8]/div/p[9],.,ssst,23,"[0.09538042470326409, 0.2783824561403509, 0.1305536842105263, 0.00034773738872403563]",2,53,0.09538042470326409,0.2783824561403509,0.1305536842105263,0.00034773738872403563,0.09538042470326409,2,True,1.0
57,/html/body/document/type/sequence/filename/description/text/center[9]/div/p[2],.,ssst,26,"[0.10257858864985163, 0.2779438596491228, 0.14322947368421052, 0.00034773738872403563]",2,57,0.10257858864985163,0.2779438596491228,0.14322947368421052,0.00034773738872403563,0.10257858864985163,2,True,1.0
65,/html/body/document/type/sequence/filename/description/text/center[10]/div/p[3],.,ssst,33,"[0.12095071402077151, 0.2769080701754386, 0.025219298245614034, 0.00034773738872403563]",2,65,0.12095071402077151,0.2769080701754386,0.025219298245614034,0.00034773738872403563,0.12095071402077151,2,True,1.0
69,/html/body/document/type/sequence/filename/description/text/center[11]/div/p[1],.,ssst,36,"[0.12443967915430267, 0.2782070175438596, 0.04938049122807017, 0.00034773738872403563]",2,69,0.12443967915430267,0.2782070175438596,0.04938049122807017,0.00034773738872403563,0.12443967915430267,2,True,1.0
74,/html/body/document/type/sequence/filename/description/text/center[11]/div/p[3],.,ssst,40,"[0.127685228115727, 0.2763873684210526, 0.10764771929824561, 0.00034773738872403563]",2,74,0.127685228115727,0.2763873684210526,0.10764771929824561,0.00034773738872403563,0.127685228115727,2,True,1.0
79,/html/body/document/type/sequence/filename/description/text/center[11]/div/p[5],.,sst,44,"[0.13200876298219585, 0.250619649122807, 0.06964364912280702, 0.00034773738872403563]",2,79,0.13200876298219585,0.250619649122807,0.06964364912280702,0.00034773738872403563,0.13200876298219585,2,True,1.0
83,/html/body/document/type/sequence/filename/description/text/center[11]/div/p[6],. ,ssst,46,"[0.1325535515578635, 0.2779438596491228, 0.06287284210526316, 0.00034773738872403563]",3,83,0.1325535515578635,0.2779438596491228,0.06287284210526316,0.00034773738872403563,0.1325535515578635,3,True,1.0
87,/html/body/document/type/sequence/filename/description/text/center[12]/div/p[2],.,ssst,49,"[0.14298567321958458, 0.2784701754385965, 0.06808112280701754, 0.00034773738872403563]",2,87,0.14298567321958458,0.2784701754385965,0.06808112280701754,0.00034773738872403563,0.14298567321958458,2,True,1.0
91,/html/body/document/type/sequence/filename/description/text/center[13]/div/p[1],.,ssst,52,"[0.14856106268545993, 0.2779438596491228, 0.057072350877192986, 0.00034773738872403563]",2,91,0.14856106268545993,0.2779438596491228,0.057072350877192986,0.00034773738872403563,0.14856106268545993,2,True,1.0
96,/html/body/document/type/sequence/filename/description/text/center[13]/div/p[3],.,sst,57,"[0.15019542841246292, 0.250619649122807, 0.14782315789473685, 0.00034773738872403563]",2,96,0.15019542841246292,0.250619649122807,0.14782315789473685,0.00034773738872403563,0.15019542841246292,2,True,1.0
99,/html/body/document/type/sequence/filename/description/text/center[13]/div/p[4],.,sst,59,"[0.15200366283382788, 0.250619649122807, 0.07810315789473685, 0.00034773738872403563]",2,99,0.15200366283382788,0.250619649122807,0.07810315789473685,0.00034773738872403563,0.15200366283382788,2,True,1.0
102,/html/body/document/type/sequence/filename/description/text/center[13]/div/p[5],.,sst,61,"[0.15362643731454007, 0.250619649122807, 0.09207789473684211, 0.00034773738872403563]",2,102,0.15362643731454007,0.250619649122807,0.09207789473684211,0.00034773738872403563,0.15362643731454007,2,True,1.0
106,/html/body/document/type/sequence/filename/description/text/center[14]/div/p[1],.,sst,64,"[0.16065073256676557, 0.250619649122807, 0.239840701754386, 0.00034773738872403563]",2,106,0.16065073256676557,0.250619649122807,0.239840701754386,0.00034773738872403563,0.16065073256676557,2,True,1.0
109,/html/body/document/type/sequence/filename/description/text/center[14]/div/p[6],.,sst,67,"[0.16804594770029674, 0.250619649122807, 0.08288350877192982, 0.00034773738872403563]",2,109,0.16804594770029674,0.250619649122807,0.08288350877192982,0.00034773738872403563,0.16804594770029674,2,True,1.0
113,/html/body/document/type/sequence/filename/description/text/center[15]/div/p[4],.,sst,70,"[0.1774348571958457, 0.250619649122807, 0.1808280701754386, 0.00034773738872403563]",2,113,0.1774348571958457,0.250619649122807,0.1808280701754386,0.00034773738872403563,0.1774348571958457,2,True,1.0
123,/html/body/document/type/sequence/filename/description/text/center[18]/div/p[2],.,sst,77,"[0.21546573627596438, 0.2505319298245614, 0.17271929824561402, 0.00034773738872403563]",2,123,0.21546573627596438,0.2505319298245614,0.17271929824561402,0.00034773738872403563,0.21546573627596438,2,True,1.0
133,/html/body/document/type/sequence/filename/description/text/center[20]/div/p[2],.,sst,85,"[0.23535561943620176, 0.250619649122807, 0.15369543859649124, 0.00034773738872403563]",2,133,0.23535561943620176,0.250619649122807,0.15369543859649124,0.00034773738872403563,0.23535561943620176,2,True,1.0
139,/html/body/document/type/sequence/filename/description/text/center[21]/div/p[3],.,sst,90,"[0.2503083271513353, 0.2503621052631579, 0.15484070175438597, 0.00034773738872403563]",2,139,0.2503083271513353,0.2503621052631579,0.15484070175438597,0.00034773738872403563,0.2503083271513353,2,True,1.0
143,/html/body/document/type/sequence/filename/description/text/center[21]/div/p[4],.,sst,92,"[0.25480573071216617, 0.250619649122807, 0.11433122807017544, 0.00034773738872403563]",3,143,0.25480573071216617,0.250619649122807,0.11433122807017544,0.00034773738872403563,0.25480573071216617,3,True,1.0
147,/html/body/document/type/sequence/filename/description/text/center[22]/div/p[3],.,sst,95,"[0.2620154859050445, 0.250619649122807, 0.13096491228070176, 0.00034773738872403563]",2,147,0.2620154859050445,0.250619649122807,0.13096491228070176,0.00034773738872403563,0.2620154859050445,2,True,1.0
151,/html/body/document/type/sequence/filename/description/text/center[23]/div/p[4],.,sst,98,"[0.27642340504451035, 0.250619649122807, 0.08262035087719298, 0.00034773738872403563]",2,151,0.27642340504451035,0.250619649122807,0.08262035087719298,0.00034773738872403563,0.27642340504451035,2,True,1.0
154,/html/body/document/type/sequence/filename/description/text/center[23]/div/p[5],.,sst,100,"[0.2787648367952522, 0.2503621052631579, 0.07897473684210526, 0.00034773738872403563]",2,154,0.2787648367952522,0.2503621052631579,0.07897473684210526,0.00034773738872403563,0.2787648367952522,2,True,1.0
159,/html/body/document/type/sequence/filename/description/text/center[24]/div/p[1],.,sst,104,"[0.28219584569732936, 0.24827298245614035, 0.055778526315789466, 0.00034773738872403563]",3,159,0.28219584569732936,0.24827298245614035,0.055778526315789466,0.00034773738872403563,0.28219584569732936,3,True,1.0
162,/html/body/document/type/sequence/filename/description/text/center[24]/div/p[4],.,sst,106,"[0.2856268545994065, 0.2552961403508772, 0.07836631578947369, 0.00034773738872403563]",2,162,0.2856268545994065,0.2552961403508772,0.07836631578947369,0.00034773738872403563,0.2856268545994065,2,True,1.0
168,/html/body/document/type/sequence/filename/description/text/center[26]/div/p[1],.,sst,110,"[0.3074415801186943, 0.2526042105263158, 0.04054273684210526, 0.00034773738872403563]",3,168,0.3074415801186943,0.2526042105263158,0.04054273684210526,0.00034773738872403563,0.3074415801186943,3,True,1.0
