,highlighted_xpaths,highlighted_segmented_text,highlighted_labels,segment_number_from_idx,highlighted_coordinates,num_entries_1,exploded_highlight_node_order,top,left,width,height,top_via_line_group,size
0,/html/body/document/type/sequence/filename/description/text/p[8]/b,AGREEMENT AND PLAN OF MERGER,t,0,"[0.0036537963202902305, 0.4156520833333333, 0.16869583333333332, 0.00038870173620108835]",1,0,0.0036537963202902305,0.4156520833333333,0.16869583333333332,0.00038870173620108835,0.0036537963202902305,1
1,/html/body/document/type/sequence/filename/description/text/p[10]/b,BY AND AMONG,t,1,"[0.00445711324177248, 0.46365555555555554, 0.07268888888888889, 0.00038870173620108835]",1,1,0.00445711324177248,0.46365555555555554,0.07268888888888889,0.00038870173620108835,0.00445711324177248,1
2,/html/body/document/type/sequence/filename/description/text/p[12]/b,QAD Inc.,t,2,"[0.005260430163254729, 0.4809680555555556, 0.03805881944444444, 0.00038870173620108835]",1,2,0.005260430163254729,0.4809680555555556,0.03805881944444444,0.00038870173620108835,0.005260430163254729,1
3,/html/body/document/type/sequence/filename/description/text/p[14]/b,"PROJECT QUICK PARENT, LLC",t,3,"[0.006063747084736978, 0.43030625, 0.13938819444444445, 0.00038870173620108835]",1,3,0.006063747084736978,0.43030625,0.13938819444444445,0.00038870173620108835,0.006063747084736978,1
4,/html/body/document/type/sequence/filename/description/text/p[16]/b,AND,t,4,"[0.006867064006219227, 0.48996874999999995, 0.0200575, 0.00038870173620108835]",1,4,0.006867064006219227,0.48996874999999995,0.0200575,0.00038870173620108835,0.006867064006219227,1
5,/html/body/document/type/sequence/filename/description/text/p[18]/b,"PROJECT QUICK MERGER SUB, INC.",t,5,"[0.007670380927701477, 0.4175347222222222, 0.16493055555555555, 0.00038870173620108835]",1,5,0.007670380927701477,0.4175347222222222,0.16493055555555555,0.00038870173620108835,0.007670380927701477,1
6,/html/body/document/type/sequence/filename/description/text/p[20]/b,"Dated as of June 27, 2021",t,6,"[0.008473697849183726, 0.4498534722222222, 0.10028749999999999, 0.00038870173620108835]",1,6,0.008473697849183726,0.4498534722222222,0.10028749999999999,0.00038870173620108835,0.008473697849183726,1
7,/html/body/document/type/sequence/filename/description/text/p[28]/u,TABLE OF CONTENTS,t,7,"[0.014398574760300596, 0.4530541666666667, 0.09388541666666667, 0.00038870173620108835]",1,7,0.014398574760300596,0.4530541666666667,0.09388541666666667,0.00038870173620108835,0.014398574760300596,1
8,/html/body/document/type/sequence/filename/description/text/div[2]/div[1]/div/div,i,n,8,"[0.02925991189427313, 0.49870902777777776, 0.0025770416666666667, 0.00038870173620108835]",1,8,0.02925991189427313,0.49870902777777776,0.0025770416666666667,0.00038870173620108835,0.02925991189427313,1
9,/html/body/document/type/sequence/filename/description/text/div[3]/div[1]/div/div,ii,n,9,"[0.045723503498315624, 0.49742291666666666, 0.005148652777777778, 0.00038870173620108835]",1,9,0.045723503498315624,0.49742291666666666,0.005148652777777778,0.00038870173620108835,0.045723503498315624,1
