,highlighted_xpaths,highlighted_segmented_text,highlighted_labels,segment_number_from_idx,highlighted_coordinates,num_entries_1,exploded_highlight_node_order,top,left,width,height,top_via_line_group,size
0,/html/body/document/type/sequence/filename/description/text/center[1]/div/p[3]/b,AGREEMENT AND PLAN OF MERGER,t,0,"[0.0014383055314498763, 0.4156520833333333, 0.16869583333333332, 0.0002410567929804262]",1,0,0.0014383055314498763,0.4156520833333333,0.16869583333333332,0.0002410567929804262,0.0014383055314498763,1
1,/html/body/document/type/sequence/filename/description/text/center[1]/div/p[4]/b,among,t,1,"[0.0019445247967087712, 0.48662638888888887, 0.026746944444444445, 0.0002410567929804262]",1,1,0.0019445247967087712,0.48662638888888887,0.026746944444444445,0.0002410567929804262,0.0019445247967087712,1
2,/html/body/document/type/sequence/filename/description/text/center[1]/div/p[5]/b,"GRAY TELEVISION,
INC.,",t,2,"[0.002450744061967666, 0.4439666666666667, 0.11206041666666666, 0.0002410567929804262]",1,2,0.002450744061967666,0.4439666666666667,0.11206041666666666,0.0002410567929804262,0.002450744061967666,1
3,/html/body/document/type/sequence/filename/description/text/center[1]/div/p[6]/b,"GRAY HAWKEYE STATIONS, INC.",t,3,"[0.0029569633272265613, 0.4257972222222222, 0.14840486111111112, 0.0002410567929804262]",1,3,0.0029569633272265613,0.4257972222222222,0.14840486111111112,0.0002410567929804262,0.0029569633272265613,1
4,/html/body/document/type/sequence/filename/description/text/center[1]/div/p[7]/b,and,t,4,"[0.003463182592485456, 0.4925347222222222, 0.014925138888888889, 0.0002410567929804262]",1,4,0.003463182592485456,0.4925347222222222,0.014925138888888889,0.0002410567929804262,0.003463182592485456,1
5,/html/body/document/type/sequence/filename/description/text/center[1]/div/p[8]/b,"MEREDITH
CORPORATION",t,5,"[0.003969401857744351, 0.4382375, 0.12351875, 0.0002410567929804262]",1,5,0.003969401857744351,0.4382375,0.12351875,0.0002410567929804262,0.003969401857744351,1
6,/html/body/document/type/sequence/filename/description/text/center[1]/div/p[9]/b,"Dated as of May 3, 2021",t,6,"[0.004475621123003246, 0.4526909722222222, 0.09461805555555555, 0.0002410567929804262]",1,6,0.004475621123003246,0.4526909722222222,0.09461805555555555,0.0002410567929804262,0.004475621123003246,1
7,/html/body/document/type/sequence/filename/description/text/center[2]/div/p[1]/b/u,TABLE OF CONTENTS,t,7,"[0.005600552823578568, 0.45061874999999996, 0.09876319444444444, 0.0002410567929804262]",1,7,0.005600552823578568,0.45061874999999996,0.09876319444444444,0.0002410567929804262,0.005600552823578568,1
8,/html/body/document/type/sequence/filename/description/text/center[2]/div/p[4],i,n,8,"[0.017540899302542344, 0.49870902777777776, 0.0025770416666666667, 0.0002410567929804262]",1,8,0.017540899302542344,0.49870902777777776,0.0025770416666666667,0.0002410567929804262,0.017540899302542344,1
9,/html/body/document/type/sequence/filename/description/text/center[3]/div/p[2],ii,n,9,"[0.030670459293542892, 0.49742291666666666, 0.005148652777777778, 0.0002410567929804262]",1,9,0.030670459293542892,0.49742291666666666,0.005148652777777778,0.0002410567929804262,0.030670459293542892,1
10,/html/body/document/type/sequence/filename/description/text/center[4]/div/p[3],iii,n,10,"[0.043237553434255775, 0.4961375, 0.007720277777777778, 0.0002410567929804262]",1,10,0.043237553434255775,0.4961375,0.007720277777777778,0.0002410567929804262,0.043237553434255775,1
11,/html/body/document/type/sequence/filename/description/text/center[5]/div/p[1]/b,AGREEMENT AND PLAN OF MERGER,t,11,"[0.04392054768103365, 0.4156520833333333, 0.16869583333333332, 0.0002410567929804262]",1,11,0.04392054768103365,0.4156520833333333,0.16869583333333332,0.0002410567929804262,0.04392054768103365,1
12,/html/body/document/type/sequence/filename/description/text/center[5]/div/p[3]/u,R E C I T A L S,t,12,"[0.04568829749622345, 0.4706326388888889, 0.058729375, 0.0002410567929804262]",1,12,0.04568829749622345,0.4706326388888889,0.058729375,0.0002410567929804262,0.04568829749622345,1
13,/html/body/document/type/sequence/filename/description/text/center[5]/div/p[11],1,n,13,"[0.05464757496866262, 0.4976833333333333, 0.00463325, 0.0002410567929804262]",1,13,0.05464757496866262,0.4976833333333333,0.00463325,0.0002410567929804262,0.05464757496866262,1
14,/html/body/document/type/sequence/filename/description/text/center[6]/div/p[4],ARTICLE I,sn,14,"[0.05785363031530229, 0.47803819444444445, 0.04392361111111111, 0.0002410567929804262]",1,14,0.05785363031530229,0.47803819444444445,0.04392361111111111,0.0002410567929804262,0.05785363031530229,1
15,/html/body/document/type/sequence/filename/description/text/center[6]/div/p[5]/u,DEFINITIONS,st,15,"[0.05835984958056118, 0.4712020833333333, 0.05759548611111111, 0.0002410567929804262]",1,15,0.05835984958056118,0.4712020833333333,0.05759548611111111,0.0002410567929804262,0.05835984958056118,1
16,/html/body/document/type/sequence/filename/description/text/center[6]/div/p[6],Section 1.1,ssn,16,"[0.058866068845820074, 0.2393284722222222, 0.041655833333333336, 0.0002410567929804262]",1,16,0.058866068845820074,0.2393284722222222,0.041655833333333336,0.0002410567929804262,0.058866068845820074,1
17,/html/body/document/type/sequence/filename/description/text/center[6]/div/p[6]/u,Definitions,sst,17,"[0.058866068845820074, 0.2832951388888889, 0.041655833333333336, 0.0002410567929804262]",1,17,0.058866068845820074,0.2832951388888889,0.041655833333333336,0.0002410567929804262,0.058866068845820074,1
18,/html/body/document/type/sequence/filename/description/text/center[6]/div/p[15],2,n,18,"[0.06559155336997397, 0.4976833333333333, 0.00463325, 0.0002410567929804262]",1,18,0.06559155336997397,0.4976833333333333,0.00463325,0.0002410567929804262,0.06559155336997397,1
19,/html/body/document/type/sequence/filename/description/text/center[7]/div/p[9],3,n,19,"[0.07598110114743034, 0.4976833333333333, 0.00463325, 0.0002410567929804262]",1,19,0.07598110114743034,0.4976833333333333,0.00463325,0.0002410567929804262,0.07598110114743034,1
20,/html/body/document/type/sequence/filename/description/text/center[8]/div/p[9],4,n,20,"[0.08686883296371292, 0.4976833333333333, 0.00463325, 0.0002410567929804262]",1,20,0.08686883296371292,0.4976833333333333,0.00463325,0.0002410567929804262,0.08686883296371292,1
21,/html/body/document/type/sequence/filename/description/text/center[9]/div/p[8],5,n,21,"[0.0967521614759104, 0.4976833333333333, 0.00463325, 0.0002410567929804262]",1,21,0.0967521614759104,0.4976833333333333,0.00463325,0.0002410567929804262,0.0967521614759104,1
22,/html/body/document/type/sequence/filename/description/text/center[10]/div/p[14],6,n,22,"[0.10743097740494327, 0.4976833333333333, 0.00463325, 0.0002410567929804262]",1,22,0.10743097740494327,0.4976833333333333,0.00463325,0.0002410567929804262,0.10743097740494327,1
23,/html/body/document/type/sequence/filename/description/text/center[11]/div/p[17],7,n,23,"[0.1183829910326873, 0.4976833333333333, 0.00463325, 0.0002410567929804262]",1,23,0.1183829910326873,0.4976833333333333,0.00463325,0.0002410567929804262,0.1183829910326873,1
24,/html/body/document/type/sequence/filename/description/text/center[12]/div/p[11],8,n,24,"[0.1285395172435959, 0.4976833333333333, 0.00463325, 0.0002410567929804262]",1,24,0.1285395172435959,0.4976833333333333,0.00463325,0.0002410567929804262,0.1285395172435959,1
25,/html/body/document/type/sequence/filename/description/text/center[13]/div/p[9],9,n,25,"[0.1389290650210523, 0.4976833333333333, 0.00463325, 0.0002410567929804262]",1,25,0.1389290650210523,0.4976833333333333,0.00463325,0.0002410567929804262,0.1389290650210523,1
26,/html/body/document/type/sequence/filename/description/text/center[14]/div/p[15],10,n,26,"[0.14986500819593096, 0.4953666666666666, 0.009261041666666667, 0.0002410567929804262]",1,26,0.14986500819593096,0.4953666666666666,0.009261041666666667,0.0002410567929804262,0.14986500819593096,1
27,/html/body/document/type/sequence/filename/description/text/center[15]/div/p[10],11,n,27,"[0.16001349918040692, 0.49554027777777776, 0.008913819444444445, 0.0002410567929804262]",1,27,0.16001349918040692,0.49554027777777776,0.008913819444444445,0.0002410567929804262,0.16001349918040692,1
28,/html/body/document/type/sequence/filename/description/text/center[16]/div/p[11],12,n,28,"[0.17066820943014174, 0.4953666666666666, 0.009261041666666667, 0.0002410567929804262]",1,28,0.17066820943014174,0.4953666666666666,0.009261041666666667,0.0002410567929804262,0.17066820943014174,1
29,/html/body/document/type/sequence/filename/description/text/center[17]/div/p[14],13,n,29,"[0.18184520939800083, 0.4953666666666666, 0.009261041666666667, 0.0002410567929804262]",1,29,0.18184520939800083,0.4953666666666666,0.009261041666666667,0.0002410567929804262,0.18184520939800083,1
30,/html/body/document/type/sequence/filename/description/text/center[18]/div/p[8],Section 1.2,ssn,30,"[0.18781538263748274, 0.2393284722222222, 0.041655833333333336, 0.0002410567929804262]",1,30,0.18781538263748274,0.2393284722222222,0.041655833333333336,0.0002410567929804262,0.18781538263748274,1
31,/html/body/document/type/sequence/filename/description/text/center[18]/div/p[8]/u,Table of Definitions,sst,31,"[0.18781538263748274, 0.2831270833333333, 0.07441944444444444, 0.0002410567929804262]",1,31,0.18781538263748274,0.2831270833333333,0.07441944444444444,0.0002410567929804262,0.18781538263748274,1
32,/html/body/document/type/sequence/filename/description/text/center[18]/div/p[11],14,n,32,"[0.1937855558769646, 0.4953666666666666, 0.009261041666666667, 0.0002410567929804262]",1,32,0.1937855558769646,0.4953666666666666,0.009261041666666667,0.0002410567929804262,0.1937855558769646,1
33,/html/body/document/type/sequence/filename/description/text/center[19]/div/p[2],15,n,33,"[0.2073650885481953, 0.4953666666666666, 0.009261041666666667, 0.0002410567929804262]",1,33,0.2073650885481953,0.4953666666666666,0.009261041666666667,0.0002410567929804262,0.2073650885481953,1
34,/html/body/document/type/sequence/filename/description/text/center[20]/div/p[1],Section 1.3,ssn,34,"[0.2105470382155369, 0.2393284722222222, 0.041655833333333336, 0.0002410567929804262]",1,34,0.2105470382155369,0.2393284722222222,0.041655833333333336,0.0002410567929804262,0.2105470382155369,1
35,/html/body/document/type/sequence/filename/description/text/center[20]/div/p[1]/u[1],Other Definitional and Interpretative Provisions,sst,35,"[0.2105470382155369, 0.2832951388888889, 0.26352013888888887, 0.0002410567929804262]",2,35,0.2105470382155369,0.2832951388888889,0.26352013888888887,0.0002410567929804262,0.2105470382155369,2
36,/html/body/document/type/sequence/filename/description/text/center[20]/div/p[1]/u[2],; Rules of Construction,sst,35,"[0.2105470382155369, 0.2832951388888889, 0.26352013888888887, 0.0002410567929804262]",2,36,0.2105470382155369,0.2832951388888889,0.26352013888888887,0.0002410567929804262,0.2105470382155369,2
37,/html/body/document/type/sequence/filename/description/text/center[20]/div/p[3],16,n,36,"[0.21671809211583581, 0.4953666666666666, 0.009261041666666667, 0.0002410567929804262]",1,37,0.21671809211583581,0.4953666666666666,0.009261041666666667,0.0002410567929804262,0.21671809211583581,1
38,/html/body/document/type/sequence/filename/description/text/center[21]/div/p[1],ARTICLE II,sn,37,"[0.2174010863626137, 0.4764972222222222, 0.04700520833333333, 0.0002410567929804262]",1,38,0.2174010863626137,0.4764972222222222,0.04700520833333333,0.0002410567929804262,0.2174010863626137,1
39,/html/body/document/type/sequence/filename/description/text/center[21]/div/p[2]/u,THE DISTRIBUTION; THE MERGER; EFFECT ON THE CAPITAL STOCK; EXCHANGE OF CERTIFICATES,st,38,"[0.21790730562787258, 0.2847708333333333, 0.43045277777777774, 0.0002410567929804262]",1,39,0.21790730562787258,0.2847708333333333,0.43045277777777774,0.0002410567929804262,0.21790730562787258,1
40,/html/body/document/type/sequence/filename/description/text/center[21]/div/p[3],Section 2.1,ssn,39,"[0.21841352489313148, 0.2393284722222222, 0.041655833333333336, 0.0002410567929804262]",1,40,0.21841352489313148,0.2393284722222222,0.041655833333333336,0.0002410567929804262,0.21841352489313148,1
