,highlighted_xpaths,highlighted_segmented_text,highlighted_labels,segment_number_from_idx,highlighted_coordinates,num_entries_1,exploded_highlight_node_order,top,left,width,height,top_via_line_group,size
0,/html/body/document/type/sequence/filename/description/text/center[1]/div/p[3]/b,TRANSACTION AGREEMENT,t,0,"[0.0006252037097395478, 0.21368421052631578, 0.5726315789473684, 0.001955613499659249]",11,0,0.0006252037097395478,0.21368421052631578,0.5726315789473684,0.001955613499659249,0.0006252037097395478,11
1,/html/body/document/type/sequence/filename/description/text/center[1]/div/p[4],dated as of,t,0,"[0.0006252037097395478, 0.21368421052631578, 0.5726315789473684, 0.001955613499659249]",11,1,0.0006252037097395478,0.21368421052631578,0.5726315789473684,0.001955613499659249,0.0006252037097395478,11
2,/html/body/document/type/sequence/filename/description/text/center[1]/div/p[5],"June 7, 2021",t,0,"[0.0006252037097395478, 0.21368421052631578, 0.5726315789473684, 0.001955613499659249]",11,2,0.0006252037097395478,0.21368421052631578,0.5726315789473684,0.001955613499659249,0.0006252037097395478,11
3,/html/body/document/type/sequence/filename/description/text/center[1]/div/p[6],by and among,t,0,"[0.0006252037097395478, 0.21368421052631578, 0.5726315789473684, 0.001955613499659249]",11,3,0.0006252037097395478,0.21368421052631578,0.5726315789473684,0.001955613499659249,0.0006252037097395478,11
4,/html/body/document/type/sequence/filename/description/text/center[1]/div/p[7]/b,"CONTANGO
OIL & GAS COMPANY,",t,0,"[0.0006252037097395478, 0.21368421052631578, 0.5726315789473684, 0.001955613499659249]",11,4,0.0006252037097395478,0.21368421052631578,0.5726315789473684,0.001955613499659249,0.0006252037097395478,11
5,/html/body/document/type/sequence/filename/description/text/center[1]/div/p[8]/b,"INDEPENDENCE ENERGY LLC,",t,0,"[0.0006252037097395478, 0.21368421052631578, 0.5726315789473684, 0.001955613499659249]",11,5,0.0006252037097395478,0.21368421052631578,0.5726315789473684,0.001955613499659249,0.0006252037097395478,11
6,/html/body/document/type/sequence/filename/description/text/center[1]/div/p[9]/b,"IE OPCO LLC,",t,0,"[0.0006252037097395478, 0.21368421052631578, 0.5726315789473684, 0.001955613499659249]",11,6,0.0006252037097395478,0.21368421052631578,0.5726315789473684,0.001955613499659249,0.0006252037097395478,11
7,/html/body/document/type/sequence/filename/description/text/center[1]/div/p[10]/b,"IE PUBCO
INC.,",t,0,"[0.0006252037097395478, 0.21368421052631578, 0.5726315789473684, 0.001955613499659249]",11,7,0.0006252037097395478,0.21368421052631578,0.5726315789473684,0.001955613499659249,0.0006252037097395478,11
8,/html/body/document/type/sequence/filename/description/text/center[1]/div/p[11]/b,IE L MERGER SUB LLC,t,0,"[0.0006252037097395478, 0.21368421052631578, 0.5726315789473684, 0.001955613499659249]",11,8,0.0006252037097395478,0.21368421052631578,0.5726315789473684,0.001955613499659249,0.0006252037097395478,11
9,/html/body/document/type/sequence/filename/description/text/center[1]/div/p[12]/b,and,t,0,"[0.0006252037097395478, 0.21368421052631578, 0.5726315789473684, 0.001955613499659249]",11,9,0.0006252037097395478,0.21368421052631578,0.5726315789473684,0.001955613499659249,0.0006252037097395478,11
10,/html/body/document/type/sequence/filename/description/text/center[1]/div/p[13]/b,"IE C MERGER SUB
INC.",t,0,"[0.0006252037097395478, 0.21368421052631578, 0.5726315789473684, 0.001955613499659249]",11,10,0.0006252037097395478,0.21368421052631578,0.5726315789473684,0.001955613499659249,0.0006252037097395478,11
11,/html/body/document/type/sequence/filename/description/text/center[2]/div/p[1]/b/u,TABLE OF CONTENTS,st,1,"[0.0029067527926753384, 0.45009894736842104, 0.09980280701754385, 8.889152271178405e-05]",1,11,0.0029067527926753384,0.45009894736842104,0.09980280701754385,8.889152271178405e-05,0.0029067527926753384,1
12,/html/body/document/type/sequence/filename/description/text/center[2]/div/p[4],i,n,2,"[0.007075765207858011, 0.4986954385964912, 0.0026041684210526316, 8.889152271178405e-05]",1,12,0.007075765207858011,0.4986954385964912,0.0026041684210526316,8.889152271178405e-05,0.007075765207858011,1
13,/html/body/document/type/sequence/filename/description/text/center[3]/div/p[2],ii,n,3,"[0.011579602358588403, 0.4973957894736842, 0.005202849122807018, 8.889152271178405e-05]",1,13,0.011579602358588403,0.4973957894736842,0.005202849122807018,8.889152271178405e-05,0.011579602358588403,1
14,/html/body/document/type/sequence/filename/description/text/center[4]/div/p[2],iii,n,4,"[0.01604195679871996, 0.49609684210526317, 0.007801543859649123, 8.889152271178405e-05]",1,14,0.01604195679871996,0.49609684210526317,0.007801543859649123,8.889152271178405e-05,0.01604195679871996,1
15,/html/body/document/type/sequence/filename/description/text/center[5]/div/p[4],iv,n,5,"[0.018202020800616316, 0.49635929824561403, 0.007280701754385965, 8.889152271178405e-05]",1,15,0.018202020800616316,0.49635929824561403,0.007280701754385965,8.889152271178405e-05,0.018202020800616316,1
16,/html/body/document/type/sequence/filename/description/text/center[6]/div/p[1]/b,TRANSACTION AGREEMENT,st,6,"[0.01845388011496637, 0.43385403508771925, 0.1322863157894737, 8.889152271178405e-05]",1,16,0.01845388011496637,0.43385403508771925,0.1322863157894737,8.889152271178405e-05,0.01845388011496637,1
17,/html/body/document/type/sequence/filename/description/text/center[6]/div/p[10],1,n,7,"[0.021387300364455242, 0.49765894736842103, 0.0046820210526315785, 8.889152271178405e-05]",1,17,0.021387300364455242,0.49765894736842103,0.0046820210526315785,8.889152271178405e-05,0.021387300364455242,1
18,/html/body/document/type/sequence/filename/description/text/center[7]/div/p[11],2,n,8,"[0.02457850602980829, 0.49765894736842103, 0.0046820210526315785, 8.889152271178405e-05]",1,18,0.02457850602980829,0.49765894736842103,0.0046820210526315785,8.889152271178405e-05,0.02457850602980829,1
19,/html/body/document/type/sequence/filename/description/text/center[8]/div/p[5]/b,ARTICLE I,sn,9,"[0.026222999199976296, 0.4758610526315789, 0.048278526315789466, 8.889152271178405e-05]",1,19,0.026222999199976296,0.4758610526315789,0.048278526315789466,8.889152271178405e-05,0.026222999199976296,1
20,/html/body/document/type/sequence/filename/description/text/center[8]/div/p[6]/b,"CERTAIN
DEFINITIONS",st,10,"[0.02631485377344514, 0.4468421052631579, 0.10631578947368421, 8.889152271178405e-05]",1,20,0.02631485377344514,0.4468421052631579,0.10631578947368421,8.889152271178405e-05,0.02631485377344514,1
21,/html/body/document/type/sequence/filename/description/text/center[8]/div/p[7]/b[1],1.1,ssn,11,"[0.026454117159026933, 0.23658456140350875, 0.014035087719298246, 8.889152271178405e-05]",1,21,0.026454117159026933,0.23658456140350875,0.014035087719298246,8.889152271178405e-05,0.026454117159026933,1
