,xpaths,text,all_nodes_ordering
0,/html/body/document/type,EX-2.1,0
1,/html/body/document/type/sequence,2,1
2,/html/body/document/type/sequence/filename,d918265dex21.htm,2
3,/html/body/document/type/sequence/filename/description,EX-2.1,3
4,/html/body/document/type/sequence/filename/description/text/title,EX-2.1,4
5,/html/body/document/type/sequence/filename/description/text/center[1]/div/p[1]/b,Exhibit 2.1,5
6,/html/body/document/type/sequence/filename/description/text/center[1]/div/p[2],Execution Version,6
7,/html/body/document/type/sequence/filename/description/text/center[1]/div/p[6],AGREEMENT AND PLAN OF MERGER,7
8,/html/body/document/type/sequence/filename/description/text/center[1]/div/p[7],among,8
9,/html/body/document/type/sequence/filename/description/text/center[1]/div/p[8],"DOMTAR CORPORATION,",9
10,/html/body/document/type/sequence/filename/description/text/center[1]/div/p[9],"KARTA HALTEN B.V.,",10
11,/html/body/document/type/sequence/filename/description/text/center[1]/div/p[10],and,11
12,/html/body/document/type/sequence/filename/description/text/center[1]/div/p[11],PEARL MERGER SUB INC.,12
13,/html/body/document/type/sequence/filename/description/text/center[1]/div/p[12],and,13
14,/html/body/document/type/sequence/filename/description/text/center[1]/div/p[13],PAPER EXCELLENCE B.V.,14
15,/html/body/document/type/sequence/filename/description/text/center[1]/div/p[14],and,15
16,/html/body/document/type/sequence/filename/description/text/center[1]/div/p[15],HERVEY INVESTMENTS B.V.,16
17,/html/body/document/type/sequence/filename/description/text/center[1]/div/p[16],"Dated as
of May 10, 2021",17
18,/html/body/document/type/sequence/filename/description/text/center[2]/div/p[1]/u,TABLE OF CONTENTS,18
19,/html/body/document/type/sequence/filename/description/text/center[2]/div/table/tbody/tr[2]/td[5],Page,19
20,/html/body/document/type/sequence/filename/description/text/center[2]/div/table/tbody/tr[3]/td[1],ARTICLE I,20
21,/html/body/document/type/sequence/filename/description/text/center[2]/div/table/tbody/tr[5]/td[1],DEFINITIONS,21
22,/html/body/document/type/sequence/filename/description/text/center[2]/div/table/tbody/tr[7]/td[1]/p,Section 1.1,22
23,/html/body/document/type/sequence/filename/description/text/center[2]/div/table/tbody/tr[7]/td[3]/u,Definitions,23
24,/html/body/document/type/sequence/filename/description/text/center[2]/div/table/tbody/tr[7]/td[6],6,24
