,highlighted_xpaths,highlighted_segmented_text,highlighted_labels,segment_number_from_idx,highlighted_coordinates,num_entries_1,exploded_highlight_node_order,top,left,width,height,top_via_line_group,size
0,/html/body/document/type/sequence/filename/description/text/center[1]/div/p[3]/b,AGREEMENT AND PLAN OF MERGER,t,0,"[0.0014997905320485966, 0.21368421052631578, 0.5726315789473684, 0.003946376204440721]",8,0,0.0014997905320485966,0.21368421052631578,0.5726315789473684,0.003946376204440721,0.0014997905320485966,8
1,/html/body/document/type/sequence/filename/description/text/center[1]/div/p[4]/b,by and among,t,0,"[0.0014997905320485966, 0.21368421052631578, 0.5726315789473684, 0.003946376204440721]",8,1,0.0014997905320485966,0.21368421052631578,0.5726315789473684,0.003946376204440721,0.0014997905320485966,8
2,/html/body/document/type/sequence/filename/description/text/center[1]/div/p[5]/b,"THE
GOODYEAR TIRE & RUBBER COMPANY,",t,0,"[0.0014997905320485966, 0.21368421052631578, 0.5726315789473684, 0.003946376204440721]",8,2,0.0014997905320485966,0.21368421052631578,0.5726315789473684,0.003946376204440721,0.0014997905320485966,8
3,/html/body/document/type/sequence/filename/description/text/center[1]/div/p[6]/b,"VULCAN MERGER SUB INC.,",t,0,"[0.0014997905320485966, 0.21368421052631578, 0.5726315789473684, 0.003946376204440721]",8,3,0.0014997905320485966,0.21368421052631578,0.5726315789473684,0.003946376204440721,0.0014997905320485966,8
4,/html/body/document/type/sequence/filename/description/text/center[1]/div/p[7]/b,and,t,0,"[0.0014997905320485966, 0.21368421052631578, 0.5726315789473684, 0.003946376204440721]",8,4,0.0014997905320485966,0.21368421052631578,0.5726315789473684,0.003946376204440721,0.0014997905320485966,8
5,/html/body/document/type/sequence/filename/description/text/center[1]/div/p[8]/b,"COOPER
TIRE & RUBBER COMPANY",t,0,"[0.0014997905320485966, 0.21368421052631578, 0.5726315789473684, 0.003946376204440721]",8,5,0.0014997905320485966,0.21368421052631578,0.5726315789473684,0.003946376204440721,0.0014997905320485966,8
6,/html/body/document/type/sequence/filename/description/text/center[1]/div/p[9]/b,dated as of,t,0,"[0.0014997905320485966, 0.21368421052631578, 0.5726315789473684, 0.003946376204440721]",8,6,0.0014997905320485966,0.21368421052631578,0.5726315789473684,0.003946376204440721,0.0014997905320485966,8
7,/html/body/document/type/sequence/filename/description/text/center[1]/div/p[10]/b,"February 22, 2021",t,0,"[0.0014997905320485966, 0.21368421052631578, 0.5726315789473684, 0.003946376204440721]",8,7,0.0014997905320485966,0.21368421052631578,0.5726315789473684,0.003946376204440721,0.0014997905320485966,8
8,/html/body/document/type/sequence/filename/description/text/center[2]/div/p[1]/b,TABLE OF CONTENTS,st,1,"[0.005906996229576875, 0.45009894736842104, 0.09980280701754385, 0.00025136154168412233]",1,8,0.005906996229576875,0.45009894736842104,0.09980280701754385,0.00025136154168412233,0.005906996229576875,1
9,/html/body/document/type/sequence/filename/description/text/center[2]/div/p[4],i,n,2,"[0.019790532048596564, 0.4986954385964912, 0.0026041684210526316, 0.00025136154168412233]",1,9,0.019790532048596564,0.4986954385964912,0.0026041684210526316,0.00025136154168412233,0.019790532048596564,1
