,highlighted_xpaths,highlighted_segmented_text,highlighted_labels,segment_number_from_idx,highlighted_coordinates,num_entries_1,exploded_highlight_node_order,top,left,width,height,top_via_line_group,size
0,/html/body/document/type/sequence/filename/description/text/center[1]/div/p[6],A,t,0,"[0.002137841545248953, 0.4304631944444444, 0.13906805555555557, 0.00027805583361138915]",8,0,0.002137841545248953,0.4304631944444444,0.13906805555555557,0.00027805583361138915,0.002137841545248953,8
1,/html/body/document/type/sequence/filename/description/text/center[1]/div/p[6]/small[1],GREEMENT,t,0,"[0.002137841545248953, 0.4304631944444444, 0.13906805555555557, 0.00027805583361138915]",8,1,0.002137841545248953,0.4304631944444444,0.13906805555555557,0.00027805583361138915,0.002137841545248953,8
2,/html/body/document/type/sequence/filename/description/text/center[1]/div/p[6]/small[2],AND,t,0,"[0.002137841545248953, 0.4304631944444444, 0.13906805555555557, 0.00027805583361138915]",8,2,0.002137841545248953,0.4304631944444444,0.13906805555555557,0.00027805583361138915,0.002137841545248953,8
3,/html/body/document/type/sequence/filename/description/text/center[1]/div/p[6],P,t,0,"[0.002137841545248953, 0.4304631944444444, 0.13906805555555557, 0.00027805583361138915]",8,3,0.002137841545248953,0.4304631944444444,0.13906805555555557,0.00027805583361138915,0.002137841545248953,8
4,/html/body/document/type/sequence/filename/description/text/center[1]/div/p[6]/small[3],LAN,t,0,"[0.002137841545248953, 0.4304631944444444, 0.13906805555555557, 0.00027805583361138915]",8,4,0.002137841545248953,0.4304631944444444,0.13906805555555557,0.00027805583361138915,0.002137841545248953,8
5,/html/body/document/type/sequence/filename/description/text/center[1]/div/p[6]/small[4],OF,t,0,"[0.002137841545248953, 0.4304631944444444, 0.13906805555555557, 0.00027805583361138915]",8,5,0.002137841545248953,0.4304631944444444,0.13906805555555557,0.00027805583361138915,0.002137841545248953,8
6,/html/body/document/type/sequence/filename/description/text/center[1]/div/p[6],M,t,0,"[0.002137841545248953, 0.4304631944444444, 0.13906805555555557, 0.00027805583361138915]",8,6,0.002137841545248953,0.4304631944444444,0.13906805555555557,0.00027805583361138915,0.002137841545248953,8
7,/html/body/document/type/sequence/filename/description/text/center[1]/div/p[6]/small[5],ERGER,t,0,"[0.002137841545248953, 0.4304631944444444, 0.13906805555555557, 0.00027805583361138915]",8,7,0.002137841545248953,0.4304631944444444,0.13906805555555557,0.00027805583361138915,0.002137841545248953,8
8,/html/body/document/type/sequence/filename/description/text/center[1]/div/p[7]/small[1],DATED,t,1,"[0.002573462351240129, 0.43586180555555554, 0.12827152777777778, 0.00027805583361138915]",6,8,0.002573462351240129,0.43586180555555554,0.12827152777777778,0.00027805583361138915,0.002573462351240129,6
9,/html/body/document/type/sequence/filename/description/text/center[1]/div/p[7]/small[2],AS,t,1,"[0.002573462351240129, 0.43586180555555554, 0.12827152777777778, 0.00027805583361138915]",6,9,0.002573462351240129,0.43586180555555554,0.12827152777777778,0.00027805583361138915,0.002573462351240129,6
