,highlighted_xpaths,highlighted_segmented_text,highlighted_labels,segment_number_from_idx,highlighted_coordinates,num_entries_1,exploded_highlight_node_order,top,left,width,height,top_via_line_group,size
0,/html/body/document/type/sequence/filename/description/text/center[1]/div/p[3]/b,AGREEMENT AND PLAN OF REORGANIZATION,t,0,"[0.002304952917786371, 0.21368421052631578, 0.5726315789473684, 0.003768761879792882]",6,0,0.002304952917786371,0.21368421052631578,0.5726315789473684,0.003768761879792882,0.002304952917786371,6
1,/html/body/document/type/sequence/filename/description/text/center[1]/div/p[4],"dated as of June 2, 2021",t,0,"[0.002304952917786371, 0.21368421052631578, 0.5726315789473684, 0.003768761879792882]",6,1,0.002304952917786371,0.21368421052631578,0.5726315789473684,0.003768761879792882,0.002304952917786371,6
2,/html/body/document/type/sequence/filename/description/text/center[1]/div/p[5],"by
and between",t,0,"[0.002304952917786371, 0.21368421052631578, 0.5726315789473684, 0.003768761879792882]",6,2,0.002304952917786371,0.21368421052631578,0.5726315789473684,0.003768761879792882,0.002304952917786371,6
3,/html/body/document/type/sequence/filename/description/text/center[1]/div/p[6]/b,"UNITED BANKSHARES, INC.",t,0,"[0.002304952917786371, 0.21368421052631578, 0.5726315789473684, 0.003768761879792882]",6,3,0.002304952917786371,0.21368421052631578,0.5726315789473684,0.003768761879792882,0.002304952917786371,6
4,/html/body/document/type/sequence/filename/description/text/center[1]/div/p[7],and,t,0,"[0.002304952917786371, 0.21368421052631578, 0.5726315789473684, 0.003768761879792882]",6,4,0.002304952917786371,0.21368421052631578,0.5726315789473684,0.003768761879792882,0.002304952917786371,6
5,/html/body/document/type/sequence/filename/description/text/center[1]/div/p[8]/b,"COMMUNITY BANKERS TRUST
CORPORATION",t,0,"[0.002304952917786371, 0.21368421052631578, 0.5726315789473684, 0.003768761879792882]",6,5,0.002304952917786371,0.21368421052631578,0.5726315789473684,0.003768761879792882,0.002304952917786371,6
6,/html/body/document/type/sequence/filename/description/text/center[2]/div/p[1]/u,Table of Contents,st,1,"[0.0066745319088505825, 0.46680912280701753, 0.06637607017543859, 0.0003277184243298158]",1,6,0.0066745319088505825,0.46680912280701753,0.06637607017543859,0.0003277184243298158,0.0066745319088505825,1
7,/html/body/document/type/sequence/filename/description/text/center[2]/div/p[4],i,n,2,"[0.021716807585589127, 0.4986954385964912, 0.0026041684210526316, 0.0003277184243298158]",1,7,0.021716807585589127,0.4986954385964912,0.0026041684210526316,0.0003277184243298158,0.021716807585589127,1
8,/html/body/document/type/sequence/filename/description/text/center[3]/div/p[4],ii,n,3,"[0.03493478403355837, 0.4973957894736842, 0.005202849122807018, 0.0003277184243298158]",1,8,0.03493478403355837,0.4973957894736842,0.005202849122807018,0.0003277184243298158,0.03493478403355837,1
9,/html/body/document/type/sequence/filename/description/text/center[4]/div/p[2]/b,RECITALS,st,4,"[0.037239736951344735, 0.47643087719298244, 0.04713817543859649, 0.0003277184243298158]",1,9,0.037239736951344735,0.47643087719298244,0.04713817543859649,0.0003277184243298158,0.037239736951344735,1
10,/html/body/document/type/sequence/filename/description/text/center[4]/div/p[3],A.,ssn,5,"[0.03792794564243735, 0.23658456140350875, 0.009095368421052632, 0.0003277184243298158]",1,10,0.03792794564243735,0.23658456140350875,0.009095368421052632,0.0003277184243298158,0.03792794564243735,1
11,/html/body/document/type/sequence/filename/description/text/center[4]/div/p[3]/u,CBTC,sst,6,"[0.03792794564243735, 0.24802105263157895, 0.024435298245614037, 0.0003277184243298158]",1,11,0.03792794564243735,0.24802105263157895,0.024435298245614037,0.0003277184243298158,0.03792794564243735,1
12,/html/body/document/type/sequence/filename/description/text/center[4]/div/p[4],B.,ssn,7,"[0.03861615433352997, 0.23658456140350875, 0.008580070175438596, 0.0003277184243298158]",1,12,0.03861615433352997,0.23658456140350875,0.008580070175438596,0.0003277184243298158,0.03861615433352997,1
13,/html/body/document/type/sequence/filename/description/text/center[4]/div/p[4]/u,United,sst,8,"[0.03861615433352997, 0.24750526315789473, 0.025460491228070176, 0.0003277184243298158]",1,13,0.03861615433352997,0.24750526315789473,0.025460491228070176,0.0003277184243298158,0.03861615433352997,1
14,/html/body/document/type/sequence/filename/description/text/center[4]/div/p[5],C.,ssn,9,"[0.03930436302462258, 0.23658456140350875, 0.008580070175438596, 0.0003277184243298158]",1,14,0.03930436302462258,0.23658456140350875,0.008580070175438596,0.0003277184243298158,0.03930436302462258,1
15,/html/body/document/type/sequence/filename/description/text/center[4]/div/p[5]/u,Intentions of the Parties,sst,10,"[0.03930436302462258, 0.24750526315789473, 0.08911157894736842, 0.0003277184243298158]",1,15,0.03930436302462258,0.24750526315789473,0.08911157894736842,0.0003277184243298158,0.03930436302462258,1
16,/html/body/document/type/sequence/filename/description/text/center[4]/div/p[6],D,ssn,11,"[0.04066985645933014, 0.23658456140350875, 0.006759866666666666, 0.0003277184243298158]",1,16,0.04066985645933014,0.23658456140350875,0.006759866666666666,0.0003277184243298158,0.04066985645933014,1
17,/html/body/document/type/sequence/filename/description/text/center[4]/div/p[6]/u,"Board
Action",sst,12,"[0.04066985645933014, 0.24802105263157895, 0.05248905263157894, 0.0003277184243298158]",2,17,0.04066985645933014,0.24802105263157895,0.05248905263157894,0.0003277184243298158,0.04066985645933014,2
18,/html/body/document/type/sequence/filename/description/text/center[4]/div/p[6],. The respect,sst,12,"[0.04066985645933014, 0.24802105263157895, 0.05248905263157894, 0.0003277184243298158]",2,18,0.04066985645933014,0.24802105263157895,0.05248905263157894,0.0003277184243298158,0.04066985645933014,2
19,/html/body/document/type/sequence/filename/description/text/center[4]/div/p[7],E.,ssn,13,"[0.04169670752223023, 0.23658456140350875, 0.008053754385964913, 0.0003277184243298158]",1,19,0.04169670752223023,0.23658456140350875,0.008053754385964913,0.0003277184243298158,0.04169670752223023,1
20,/html/body/document/type/sequence/filename/description/text/center[4]/div/p[7]/u,Support Agreements,sst,14,"[0.04169670752223023, 0.24697894736842105, 0.0789859649122807, 0.0003277184243298158]",2,20,0.04169670752223023,0.24697894736842105,0.0789859649122807,0.0003277184243298158,0.04169670752223023,2
21,/html/body/document/type/sequence/filename/description/text/center[4]/div/p[7],.,sst,14,"[0.04169670752223023, 0.24697894736842105, 0.0789859649122807, 0.0003277184243298158]",2,21,0.04169670752223023,0.24697894736842105,0.0789859649122807,0.0003277184243298158,0.04169670752223023,2
22,/html/body/document/type/sequence/filename/description/text/center[4]/div/p[9]/b,ARTICLE I,sn,15,"[0.04443861833912303, 0.4758610526315789, 0.048278526315789466, 0.0003277184243298158]",1,22,0.04443861833912303,0.4758610526315789,0.048278526315789466,0.0003277184243298158,0.04443861833912303,1
23,/html/body/document/type/sequence/filename/description/text/center[4]/div/p[10]/b,Certain Definitions,st,16,"[0.04512682703021564, 0.4616722807017544, 0.07665052631578947, 0.0003277184243298158]",1,23,0.04512682703021564,0.4616722807017544,0.07665052631578947,0.0003277184243298158,0.04512682703021564,1
24,/html/body/document/type/sequence/filename/description/text/center[4]/div/p[11]/b[1],1.01,ssn,17,"[0.04581503572130825, 0.23658456140350875, 0.01637059649122807, 0.0003277184243298158]",1,24,0.04581503572130825,0.23658456140350875,0.01637059649122807,0.0003277184243298158,0.04581503572130825,1
