,xpaths,text,all_nodes_ordering
0,/html/body/document/type,EX-2.1,0
1,/html/body/document/type/sequence,2,1
2,/html/body/document/type/sequence/filename,d158023dex21.htm,2
3,/html/body/document/type/sequence/filename/description,EX-2.1,3
4,/html/body/document/type/sequence/filename/description/text/title,EX-2.1,4
5,/html/body/document/type/sequence/filename/description/text/center[1]/div/p[1]/b,Exhibit 2.1,5
6,/html/body/document/type/sequence/filename/description/text/center[1]/div/p[2]/b/i,Execution Version,6
7,/html/body/document/type/sequence/filename/description/text/center[1]/div/p[3]/b,AGREEMENT AND PLAN OF REORGANIZATION,7
8,/html/body/document/type/sequence/filename/description/text/center[1]/div/p[4],"dated as of June 2, 2021",8
9,/html/body/document/type/sequence/filename/description/text/center[1]/div/p[5],"by
and between",9
10,/html/body/document/type/sequence/filename/description/text/center[1]/div/p[6]/b,"UNITED BANKSHARES, INC.",10
11,/html/body/document/type/sequence/filename/description/text/center[1]/div/p[7],and,11
12,/html/body/document/type/sequence/filename/description/text/center[1]/div/p[8]/b,"COMMUNITY BANKERS TRUST
CORPORATION",12
13,/html/body/document/type/sequence/filename/description/text/center[2]/div/p[1]/u,Table of Contents,13
14,/html/body/document/type/sequence/filename/description/text/center[2]/div/table/tbody/tr[2]/td[5],Page,14
15,/html/body/document/type/sequence/filename/description/text/center[2]/div/table/tbody/tr[4]/td[1]/p,ARTICLE I,15
16,/html/body/document/type/sequence/filename/description/text/center[2]/div/table/tbody/tr[4]/td[3],Certain Definitions,16
17,/html/body/document/type/sequence/filename/description/text/center[2]/div/table/tbody/tr[4]/td[6],1,17
18,/html/body/document/type/sequence/filename/description/text/center[2]/div/table/tbody/tr[5]/td[1]/p,1.01,18
19,/html/body/document/type/sequence/filename/description/text/center[2]/div/table/tbody/tr[5]/td[3],Certain Definitions,19
20,/html/body/document/type/sequence/filename/description/text/center[2]/div/table/tbody/tr[5]/td[6],1,20
21,/html/body/document/type/sequence/filename/description/text/center[2]/div/table/tbody/tr[7]/td[1]/p,ARTICLE II,21
22,/html/body/document/type/sequence/filename/description/text/center[2]/div/table/tbody/tr[7]/td[3],The Merger,22
23,/html/body/document/type/sequence/filename/description/text/center[2]/div/table/tbody/tr[7]/td[6],9,23
