,xpaths,text,all_nodes_ordering
0,/html/body/document/type,EX-2.1,0
1,/html/body/document/type/sequence,2,1
2,/html/body/document/type/sequence/filename,d104875dex21.htm,2
3,/html/body/document/type/sequence/filename/description,EX-2.1,3
4,/html/body/document/type/sequence/filename/description/text/title,EX-2.1,4
5,/html/body/document/type/sequence/filename/description/text/center[1]/div/p[1],Exhibit 2.1,5
6,/html/body/document/type/sequence/filename/description/text/center[1]/div/p[4]/b,AGREEMENT AND PLAN OF MERGER,6
7,/html/body/document/type/sequence/filename/description/text/center[1]/div/p[5],among:,7
8,/html/body/document/type/sequence/filename/description/text/center[1]/div/p[6]/b,C,8
9,/html/body/document/type/sequence/filename/description/text/center[1]/div/p[6]/b/small[1],ONSTELLATION,9
10,/html/body/document/type/sequence/filename/description/text/center[1]/div/p[6]/b,P,10
11,/html/body/document/type/sequence/filename/description/text/center[1]/div/p[6]/b/small[2],HARMACEUTICALS,11
12,/html/body/document/type/sequence/filename/description/text/center[1]/div/p[6]/b,", I",12
13,/html/body/document/type/sequence/filename/description/text/center[1]/div/p[6]/b/small[3],NC,13
14,/html/body/document/type/sequence/filename/description/text/center[1]/div/p[6]/b,".,",14
15,/html/body/document/type/sequence/filename/description/text/center[1]/div/p[7],a Delaware corporation;,15
16,/html/body/document/type/sequence/filename/description/text/center[1]/div/p[8]/b,M,16
17,/html/body/document/type/sequence/filename/description/text/center[1]/div/p[8]/b/small[1],ORPHO,17
18,/html/body/document/type/sequence/filename/description/text/center[1]/div/p[8]/b,S,18
19,/html/body/document/type/sequence/filename/description/text/center[1]/div/p[8]/b/small[2],YS,19
20,/html/body/document/type/sequence/filename/description/text/center[1]/div/p[8]/b,"AG,",20
21,/html/body/document/type/sequence/filename/description/text/center[1]/div/p[9],a German stock corporation (,21
22,/html/body/document/type/sequence/filename/description/text/center[1]/div/p[9]/i,Aktiengesellschaft,22
23,/html/body/document/type/sequence/filename/description/text/center[1]/div/p[9],); and,23
24,/html/body/document/type/sequence/filename/description/text/center[1]/div/p[10]/b,M,24
25,/html/body/document/type/sequence/filename/description/text/center[1]/div/p[10]/b/small[1],ORPHO,25
26,/html/body/document/type/sequence/filename/description/text/center[1]/div/p[10]/b,S,26
27,/html/body/document/type/sequence/filename/description/text/center[1]/div/p[10]/b/small[2],YS,27
